
<<<<< Begin of task (2aa41f31-7ff5-4944-8329-a7d8bdf82b4d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_100-98cm_20um_redo\9c16_100-98cm_20um_redo_Rec\VOI\9c16_100-98cm_20um_redo_rec_voi_0145.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 941
Total Z-position range, 130, 1070
Number of images inside VOI, 941
Z-position range of VOI, 130, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:17:33 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:17:33 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:17:33 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6719 speckles removed
[ 01/27/21 17:17:36 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:17:36 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9805 speckles removed
[ 01/27/21 17:17:38 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:18:14 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_100-98cm_20um_redo\9c16_100-98cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_100-98cm_20um_redo_rec_voi_1070.bmp,22.03278,201,93.99345,33.10849,35.22425,36.26756,415.77027,12.55781,0.16472,0.45796,0.01146,156,45,10.63368,-0.07569,24.30990,50.25128,60.88496,53.46254,64.77575,,,,,,,,,,,,51.05509,0.20820,0.15926,0.29288,2.21170,1.69992,12.12569,
9c16_100-98cm_20um_redo_rec_voi_1069.bmp,22.01219,208,93.99345,32.89994,35.00237,36.26756,411.18521,12.49806,0.15817,0.44877,0.09249,166,42,10.70401,-0.94431,24.54826,50.38951,61.09352,53.60959,64.99763,,,,,,,,,,,,49.87915,0.21730,0.16002,0.29716,2.18731,1.72696,12.19246,
9c16_100-98cm_20um_redo_rec_voi_1068.bmp,21.99160,216,93.99345,32.76139,34.85497,36.26756,412.36295,12.58686,0.15167,0.43945,0.25224,173,43,10.65371,-2.67071,24.53918,50.57835,61.23206,53.81050,65.14503,,,,,,,,,,,,46.68692,0.21242,0.15890,0.29698,2.19357,1.74500,11.88859,
9c16_100-98cm_20um_redo_rec_voi_1067.bmp,21.97101,210,93.99345,32.68730,34.77614,36.26756,411.29927,12.58285,0.15565,0.44518,0.12033,167,43,10.63564,-1.25086,24.54967,50.67052,61.30616,53.90856,65.22386,,,,,,,,,,,,41.70048,0.20648,0.15895,0.29811,2.18791,1.73752,12.53734,
9c16_100-98cm_20um_redo_rec_voi_1066.bmp,21.95042,207,93.99345,32.72297,34.81409,36.26756,412.96399,12.62000,0.15808,0.44864,-0.03408,158,49,10.62795,0.39145,24.51610,50.64254,61.27049,53.87879,65.18591,,,,,,,,,,,,46.50531,0.19771,0.15848,0.29674,2.19677,1.74583,12.79693,
9c16_100-98cm_20um_redo_rec_voi_1065.bmp,21.92982,212,93.99345,32.59502,34.67797,36.26756,414.54428,12.71802,0.15375,0.44245,0.36306,164,48,10.57363,-3.78229,24.49376,50.82480,61.39843,54.07271,65.32203,,,,,,,,,,,,52.45073,0.19288,0.15726,0.29622,2.20518,1.74777,12.56689,
9c16_100-98cm_20um_redo_rec_voi_1064.bmp,21.90923,205,93.99345,32.50010,34.57698,36.26756,410.36983,12.62673,0.15854,0.44928,-0.15143,157,48,10.84579,1.68932,25.02149,50.64757,61.49336,53.88415,65.42302,,,,,,,,,,,,63.32156,0.17843,0.15839,0.29970,2.18297,1.74561,11.69267,
9c16_100-98cm_20um_redo_rec_voi_1063.bmp,21.88864,212,93.99345,32.32408,34.38972,36.26756,408.04861,12.62367,0.15247,0.44061,-0.13924,165,47,10.76157,1.54543,24.97715,50.90780,61.66937,54.16101,65.61028,,,,,,,,,,,,74.77176,0.16243,0.15843,0.30226,2.17062,1.73780,11.70223,
