
<<<<< Begin of task (81d7d224-f58c-4b8a-9565-54fe6cf985c3) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_102-100cm_20um\9c16_102-100cm_20um_Rec\VOI\9c16_102-100cm_20um_rec_voi_0066.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 1021
Total Z-position range, 50, 1070
Number of images inside VOI, 1021
Z-position range of VOI, 50, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:21:50 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:21:51 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:21:51 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6783 speckles removed
[ 01/27/21 17:21:54 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:21:54 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
10130 speckles removed
[ 01/27/21 17:21:56 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:22:34 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:38
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_102-100cm_20um\9c16_102-100cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_102-100cm_20um_rec_voi_1070.bmp,22.03278,194,93.99345,28.09214,29.88734,36.26756,352.69614,12.55498,0.14480,0.42938,1.29413,164,30,8.99537,-11.60438,24.25445,56.90594,65.90131,60.54245,70.11266,,,,,,,,,,,,143.12265,0.19058,0.15930,0.37370,1.87617,1.70264,11.49321,
9c16_102-100cm_20um_rec_voi_1069.bmp,22.01219,185,93.99345,28.17191,29.97220,36.26756,355.98041,12.63601,0.15228,0.44033,1.07246,152,33,9.11542,-9.76443,24.44643,56.70613,65.82155,60.32987,70.02780,,,,,,,,,,,,140.54123,0.18963,0.15828,0.36980,1.89364,1.69735,10.98300,
9c16_102-100cm_20um_rec_voi_1068.bmp,21.99160,190,93.99345,28.30748,30.11644,36.26756,360.94112,12.75073,0.14899,0.43554,0.53104,153,37,9.22794,-4.88645,24.58462,56.45803,65.68597,60.06592,69.88356,,,,,,,,,,,,131.81480,0.20203,0.15685,0.36397,1.92003,1.70461,10.62898,
9c16_102-100cm_20um_rec_voi_1067.bmp,21.97101,203,93.99345,28.56072,30.38586,36.26756,362.39886,12.68872,0.14069,0.42324,1.03155,167,36,9.32636,-9.59677,24.61621,56.10637,65.43273,59.69179,69.61414,,,,,,,,,,,,124.36214,0.23531,0.15762,0.36111,1.92779,1.70649,10.22879,
9c16_102-100cm_20um_rec_voi_1066.bmp,21.95042,198,93.99345,28.82514,30.66718,36.26756,366.23022,12.70524,0.14558,0.43053,0.60553,161,37,9.40979,-5.67220,24.61045,55.75853,65.16831,59.32171,69.33282,,,,,,,,,,,,120.68472,0.23240,0.15742,0.35589,1.94817,1.66746,9.87081,
9c16_102-100cm_20um_rec_voi_1065.bmp,21.92982,217,93.99345,29.05161,30.90812,36.26756,375.24111,12.91636,0.13388,0.41287,0.96930,173,44,9.54716,-9.21271,24.73437,55.39468,64.94184,58.93461,69.09188,,,,,,,,,,,,122.36030,0.21012,0.15484,0.34613,1.99610,1.71323,9.36766,
9c16_102-100cm_20um_rec_voi_1064.bmp,21.90923,208,93.99345,29.27464,31.14540,36.26756,380.89708,13.01116,0.14074,0.42332,0.62824,167,41,9.67272,-6.04784,24.83537,55.04609,64.71882,58.56375,68.85460,,,,,,,,,,,,122.48597,0.19833,0.15371,0.33982,2.02619,1.71572,10.23999,
9c16_102-100cm_20um_rec_voi_1063.bmp,21.88864,201,93.99345,29.41753,31.29742,36.26756,384.20754,13.06050,0.14636,0.43168,0.49740,150,51,9.75191,-4.82064,24.89672,54.82402,64.57593,58.32749,68.70258,,,,,,,,,,,,121.84745,0.17964,0.15313,0.33615,2.04380,1.71695,10.53680,
