
<<<<< Begin of task (c0831831-2bfb-4224-8be0-75d698a58d2b) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_104-102cm_20um\9c16_104-102cm_20um_Rec\VOI\9c16_104-102cm_20um_rec_voi_0066.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 990
Total Z-position range, 50, 1039
Number of images inside VOI, 990
Z-position range of VOI, 50, 1039
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:27:41 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:27:42 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:27:42 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6785 speckles removed
[ 01/27/21 17:27:47 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:27:47 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
11391 speckles removed
[ 01/27/21 17:27:50 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:28:52 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:02
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_104-102cm_20um\9c16_104-102cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_104-102cm_20um_rec_voi_1039.bmp,21.39445,260,93.99345,28.22846,30.03237,36.26756,398.50961,14.11730,0.10857,0.37180,1.79322,237,23,10.23448,-18.33166,26.60867,55.53052,65.76500,59.07913,69.96763,,,,,,,,,,,,163.49794,0.44356,0.14167,0.33005,2.11988,1.72725,9.08231,
9c16_104-102cm_20um_rec_voi_1038.bmp,21.37386,252,93.99345,28.53528,30.35879,36.26756,401.14374,14.05782,0.11324,0.37970,1.48308,223,29,10.31271,-15.29484,26.54631,55.14547,65.45818,58.66948,69.64121,,,,,,,,,,,,164.63006,0.44096,0.14227,0.32636,2.13389,1.73150,8.57812,
9c16_104-102cm_20um_rec_voi_1037.bmp,21.35327,243,93.99345,29.03195,30.88720,36.26756,406.35825,13.99693,0.11947,0.39002,1.41161,215,28,10.47563,-14.78823,26.51549,54.48588,64.96151,57.96774,69.11280,,,,,,,,,,,,164.93680,0.43765,0.14289,0.31973,2.16163,1.73519,8.92860,
9c16_104-102cm_20um_rec_voi_1036.bmp,21.33267,252,93.99345,29.65619,31.55134,36.26756,413.03379,13.92741,0.11768,0.38709,1.04178,217,35,10.59536,-11.03923,26.32286,53.74191,64.33726,57.17622,68.44866,,,,,,,,,,,,165.16473,0.42758,0.14360,0.31154,2.19714,1.74092,8.89948,
9c16_104-102cm_20um_rec_voi_1035.bmp,21.31208,252,93.99345,30.18026,32.10890,36.26756,417.90507,13.84697,0.11976,0.39050,0.37800,217,35,12.53089,-4.72027,29.33868,51.28231,63.81319,54.55944,67.89110,,,,,,,,,,,,164.00752,0.41737,0.14444,0.30540,2.22305,1.74018,9.67989,
9c16_104-102cm_20um_rec_voi_1034.bmp,21.29149,245,93.99345,30.81542,32.78464,36.26756,421.07493,13.66442,0.12578,0.40018,0.77538,204,41,10.77689,-8.32859,25.91077,52.40115,63.17803,55.74979,67.21536,,,,,,,,,,,,163.41458,0.40681,0.14637,0.30008,2.23992,1.74382,9.91992,
9c16_104-102cm_20um_rec_voi_1033.bmp,21.27090,246,93.99345,31.34479,33.34784,36.26756,427.08327,13.62533,0.12742,0.40278,0.44510,210,36,11.30323,-5.01505,26.50354,51.34543,62.64866,54.62660,66.65216,,,,,,,,,,,,163.32547,0.39587,0.14679,0.29338,2.27188,1.74948,10.13229,
9c16_104-102cm_20um_rec_voi_1032.bmp,21.25031,247,93.99345,31.63852,33.66034,36.26756,430.24071,13.59864,0.12809,0.40384,0.81805,220,27,10.96334,-8.94169,25.73442,51.39159,62.35493,54.67571,66.33966,,,,,,,,,,,,162.41668,0.38614,0.14707,0.28986,2.28867,1.73214,10.39395,
