
<<<<< Begin of task (ee78fb84-882b-40e5-ad38-8734df41ff30) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_106.5-104.5cm_20um\9c16_106.5-104.5cm_20um_Rec\VOI\9c16_106.5-104.5cm_20um_rec_voi_0115.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 546, 594
Total number of images, 971
Total Z-position range, 100, 1070
Number of images inside VOI, 971
Z-position range of VOI, 100, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:34:35 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:34:36 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:34:36 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5518 speckles removed
[ 01/27/21 17:34:39 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:34:39 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
15543 speckles removed
[ 01/27/21 17:34:42 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:35:23 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:41
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_106.5-104.5cm_20um\9c16_106.5-104.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_106.5-104.5cm_20um_rec_voi_1070.bmp,22.03278,354,137.51504,26.33135,19.14798,46.92423,431.91336,16.40301,0.07438,0.30774,3.06941,333,21,10.77402,-33.04561,29.03629,100.40966,111.18368,73.01722,80.85202,,,,,,,,,,,,171.20986,0.06634,0.12193,0.51484,1.57042,1.71898,0.18532,
9c16_106.5-104.5cm_20um_rec_voi_1069.bmp,22.01219,339,137.51504,26.56694,19.31930,46.92423,430.74354,16.21352,0.07837,0.31588,2.79669,320,19,10.97574,-30.68185,29.23537,99.97235,110.94809,72.69921,80.68070,,,,,,,,,,,,127.57805,0.06655,0.12335,0.51515,1.56617,1.71784,0.18532,
9c16_106.5-104.5cm_20um_rec_voi_1068.bmp,21.99160,338,137.51504,26.74269,19.44710,46.92423,430.98892,16.11614,0.07912,0.31739,2.90012,326,12,11.13342,-32.27591,29.39431,99.63892,110.77234,72.45675,80.55290,,,,,,,,,,,,95.01199,0.10357,0.12410,0.51404,1.56706,1.72147,0.18532,
9c16_106.5-104.5cm_20um_rec_voi_1067.bmp,21.97101,334,137.51504,26.87768,19.54527,46.92423,431.37798,16.04967,0.08047,0.32009,2.81593,322,12,10.93986,-30.79212,28.92801,99.69749,110.63735,72.49934,80.45473,,,,,,,,,,,,91.36862,0.15022,0.12461,0.51295,1.56848,1.72329,0.18532,
9c16_106.5-104.5cm_20um_rec_voi_1066.bmp,21.95042,340,137.51504,27.01761,19.64702,46.92423,431.46206,15.96966,0.07946,0.31808,2.69855,324,16,11.02005,-29.72465,28.97143,99.47738,110.49743,72.33927,80.35298,,,,,,,,,,,,84.78553,0.17345,0.12524,0.51220,1.56878,1.72413,0.18532,
9c16_106.5-104.5cm_20um_rec_voi_1065.bmp,21.92982,339,137.51504,27.06499,19.68148,46.92423,429.15068,15.85630,0.07984,0.31883,2.89057,328,11,11.04984,-31.92490,28.99092,99.40021,110.45005,72.28316,80.31852,,,,,,,,,,,,80.71204,0.17823,0.12613,0.51474,1.56038,1.72450,0.14414,
9c16_106.5-104.5cm_20um_rec_voi_1064.bmp,21.90923,335,137.51504,27.01056,19.64189,46.92423,427.07413,15.81138,0.08063,0.32041,2.94967,314,21,10.94045,-32.25143,28.82782,99.56403,110.50448,72.40229,80.35811,,,,,,,,,,,,86.23836,0.16764,0.12649,0.51750,1.55283,1.72337,0.08237,
9c16_106.5-104.5cm_20um_rec_voi_1063.bmp,21.88864,335,137.51504,27.08841,19.69851,46.92423,422.93501,15.61313,0.08086,0.32087,2.91511,312,23,10.96096,-31.93111,28.80719,99.46566,110.42662,72.33076,80.30149,,,,,,,,,,,,89.26796,0.16003,0.12810,0.52219,1.53778,1.71832,0.06177,
