
<<<<< Begin of task (fcbe3851-9e55-48fa-9331-a2d651144b45) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_108-106cm_20um\9c16_108-106cm_20um_Rec\VOI\9c16_108-106cm_20um_rec_voi_0110.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 573, 611
Total number of images, 1021
Total Z-position range, 50, 1070
Number of images inside VOI, 1021
Z-position range of VOI, 50, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:48:23 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:48:24 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:48:24 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5347 speckles removed
[ 01/27/21 17:48:30 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:48:30 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
13749 speckles removed
[ 01/27/21 17:48:34 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:49:41 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:07
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_108-106cm_20um\9c16_108-106cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_108-106cm_20um_rec_voi_1070.bmp,22.03278,368,148.44546,27.65070,18.62684,48.73627,456.91182,16.52442,0.07514,0.30930,3.08744,359,9,11.89599,-36.72951,30.08088,108.89877,120.79477,73.35945,81.37316,,,,,,,,,,,,55.00172,0.37548,0.12103,0.52874,1.53899,1.74833,0.00000,
9c16_108-106cm_20um_rec_voi_1069.bmp,22.01219,366,148.44546,27.70502,18.66344,48.73627,459.38779,16.58139,0.07570,0.31045,2.94152,357,9,0.18153,4.64381,0.65095,120.55891,120.74044,81.21428,81.33656,,,,,,,,,,,,54.98105,0.38594,0.12062,0.52566,1.54733,1.74910,0.00000,
9c16_108-106cm_20um_rec_voi_1068.bmp,21.99160,371,148.44546,27.69713,18.65812,48.73627,458.44387,16.55204,0.07466,0.30831,2.57673,366,5,13.38319,-34.46437,32.57811,107.36515,120.74834,72.32632,81.34188,,,,,,,,,,,,54.42005,0.39954,0.12083,0.52677,1.54415,1.74715,0.06177,
9c16_108-106cm_20um_rec_voi_1067.bmp,21.97101,363,148.44546,27.72713,18.67832,48.73627,461.25186,16.63540,0.07638,0.31186,2.65404,343,20,12.00146,-31.83239,30.20863,108.71687,120.71834,73.23691,81.32168,,,,,,,,,,,,54.13548,0.40576,0.12023,0.52344,1.55361,1.74967,0.08237,
9c16_108-106cm_20um_rec_voi_1066.bmp,21.95042,388,148.44546,27.77541,18.71085,48.73627,463.82190,16.69901,0.07159,0.30190,2.79647,365,23,9.56889,-26.74294,25.62344,111.10116,120.67005,74.84308,81.28915,,,,,,,,,,,,50.82618,0.41194,0.11977,0.52033,1.56226,1.74981,0.12355,
9c16_108-106cm_20um_rec_voi_1065.bmp,21.92982,386,148.44546,27.83864,18.75345,48.73627,464.13859,16.67246,0.07212,0.30303,3.31438,369,17,12.10132,-40.10942,30.29878,108.50551,120.60682,73.09453,81.24655,,,,,,,,,,,,49.65619,0.40130,0.11996,0.51970,1.56333,1.75109,0.00000,
9c16_108-106cm_20um_rec_voi_1064.bmp,21.90923,374,148.44546,27.69559,18.65708,48.73627,457.82456,16.53059,0.07405,0.30706,3.28003,359,15,11.95583,-39.21718,30.15234,108.79404,120.74987,73.28890,81.34292,,,,,,,,,,,,49.46495,0.40989,0.12099,0.52749,1.54206,1.74942,0.00000,
9c16_108-106cm_20um_rec_voi_1063.bmp,21.88864,381,148.44546,27.56653,18.57014,48.73627,457.43721,16.59393,0.07235,0.30352,3.36282,362,19,11.94656,-40.17523,30.23443,108.93237,120.87893,73.38208,81.42986,,,,,,,,,,,,48.74791,0.40879,0.12053,0.52851,1.54076,1.75422,0.00000,
