
<<<<< Begin of task (5a9c7dc9-4e86-44ab-9cfc-61af11b5943e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_11-9cm_20um\9c16_11-9cm_20um_Rec\VOI\9c16_11-9cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1026
Total Z-position range, 80, 1105
Number of images inside VOI, 1026
Z-position range of VOI, 80, 1105
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 15:07:00 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/24/20 15:07:01 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 15:07:01 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3930 speckles removed
[ 12/24/20 15:07:03 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:07:03 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 15:07:06 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:07:42 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_11-9cm_20um\9c16_11-9cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_11-9cm_20um_rec_voi_1105.bmp,22.75348,294,95.03969,28.22872,29.70204,36.46641,304.40336,10.78346,0.09602,0.34964,-2.82153,233,61,7.65674,21.73571,21.33660,59.15423,66.81096,62.24160,70.29796,,,,,,,,,,,,98.44116,0.35542,0.18547,0.43896,1.60145,1.60989,7.39831,
9c16_11-9cm_20um_rec_voi_1104.bmp,22.73289,284,95.03969,28.21855,29.69133,36.46641,301.28296,10.67677,0.09936,0.35568,-2.62172,229,55,7.61614,20.08961,21.25354,59.20500,66.82114,62.29503,70.30867,,,,,,,,,,,,99.04769,0.35866,0.18732,0.44358,1.58504,1.60582,7.52892,
9c16_11-9cm_20um_rec_voi_1103.bmp,22.71230,276,95.03969,28.20079,29.67265,36.46641,299.86897,10.63335,0.10218,0.36069,-2.39761,220,56,7.68265,18.52552,21.41002,59.15624,66.83889,62.24372,70.32735,,,,,,,,,,,,99.49210,0.35992,0.18809,0.44579,1.57760,1.60281,7.89354,
9c16_11-9cm_20um_rec_voi_1102.bmp,22.69171,262,95.03969,28.07804,29.54349,36.46641,292.24037,10.40815,0.10717,0.36939,-1.58017,213,49,7.43922,11.84398,20.94537,59.52242,66.96164,62.62902,70.45651,,,,,,,,,,,,100.93673,0.35896,0.19216,0.45826,1.53746,1.60129,7.94678,
9c16_11-9cm_20um_rec_voi_1101.bmp,22.67111,249,95.03969,28.00040,29.46179,36.46641,288.91441,10.31823,0.11245,0.37839,-2.01807,183,66,7.38325,14.99386,20.86629,59.65604,67.03929,62.76960,70.53821,,,,,,,,,,,,102.20345,0.36075,0.19383,0.46408,1.51997,1.59880,7.91766,
9c16_11-9cm_20um_rec_voi_1100.bmp,22.65052,263,95.03969,27.97554,29.43564,36.46641,285.45541,10.20375,0.10637,0.36802,-0.95979,208,55,7.33052,7.11417,20.76278,59.73363,67.06415,62.85125,70.56436,,,,,,,,,,,,102.45792,0.37760,0.19601,0.46987,1.50177,1.59853,7.54805,
9c16_11-9cm_20um_rec_voi_1099.bmp,22.62993,250,95.03969,27.92010,29.37731,36.46641,281.34491,10.07679,0.11168,0.37709,0.07903,195,55,7.84521,-0.55788,21.93524,59.27438,67.11959,62.36803,70.62269,,,,,,,,,,,,102.24333,0.38902,0.19848,0.47713,1.48014,1.52146,7.45716,
9c16_11-9cm_20um_rec_voi_1098.bmp,22.60934,235,95.03969,27.84113,29.29421,36.46641,276.07594,9.91612,0.11847,0.38839,-1.35095,180,55,7.11502,9.69284,20.35412,60.08354,67.19856,63.21942,70.70579,,,,,,,,,,,,102.81925,0.39459,0.20169,0.48681,1.45242,1.59626,7.08048,
