
<<<<< Begin of task (1a4564fd-67f4-4a44-a0c7-e0d6b53fe678) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_12-10cm_20um_redo\9c16_12-10cm_20um_redo_Rec\VOI\9c16_12-10cm_20um_redo_rec_voi_0041.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1063
Total Z-position range, 40, 1102
Number of images inside VOI, 1063
Z-position range of VOI, 40, 1102
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 15:11:53 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/24/20 15:11:53 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 15:11:53 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4552 speckles removed
[ 12/24/20 15:11:56 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:11:56 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 15:11:58 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:12:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_12-10cm_20um_redo\9c16_12-10cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_12-10cm_20um_redo_rec_voi_1102.bmp,22.69171,296,95.03969,32.79812,34.50992,36.46641,362.20303,11.04341,0.11080,0.37561,-4.93441,197,99,8.90867,44.12039,21.36023,53.33290,62.24157,56.11645,65.49008,,,,,,,,,,,,159.12464,0.21016,0.18110,0.34368,1.90554,1.66016,11.74006,
9c16_12-10cm_20um_redo_rec_voi_1101.bmp,22.67111,293,95.03969,32.53667,34.23482,36.46641,355.84610,10.93677,0.11105,0.37602,-4.32050,207,86,8.75592,37.98215,21.20458,53.74710,62.50302,56.55227,65.76518,,,,,,,,,,,,162.58102,0.22084,0.18287,0.35129,1.87209,1.65031,11.93641,
9c16_12-10cm_20um_redo_rec_voi_1100.bmp,22.65052,273,95.03969,32.27548,33.96000,36.46641,344.73302,10.68096,0.11823,0.38798,-3.90715,203,70,8.49664,33.34405,20.83933,54.26757,62.76421,57.09990,66.04000,,,,,,,,,,,,162.80799,0.22979,0.18725,0.36413,1.81363,1.64620,12.17747,
9c16_12-10cm_20um_redo_rec_voi_1099.bmp,22.62993,255,95.03969,32.01048,33.68117,36.46641,334.90518,10.46236,0.12553,0.39979,-4.19962,180,75,8.26561,34.86453,20.52237,54.76360,63.02921,57.62182,66.31883,,,,,,,,,,,,158.76449,0.23696,0.19116,0.37640,1.76192,1.64004,11.95907,
9c16_12-10cm_20um_redo_rec_voi_1098.bmp,22.60934,252,95.03969,31.73996,33.39654,36.46641,329.53800,10.38243,0.12595,0.40046,-4.44003,166,86,8.10136,36.12328,20.33406,55.19836,63.29972,58.07928,66.60346,,,,,,,,,,,,156.30077,0.24041,0.19263,0.38417,1.73369,1.63656,11.94201,
9c16_12-10cm_20um_redo_rec_voi_1097.bmp,22.58875,229,95.03969,31.57057,33.21830,36.46641,323.76020,10.25513,0.13786,0.41897,-4.54030,138,91,7.94299,36.21564,20.10194,55.52612,63.46911,58.42414,66.78170,,,,,,,,,,,,152.74764,0.23396,0.19502,0.39207,1.70329,1.63184,11.94554,
9c16_12-10cm_20um_redo_rec_voi_1096.bmp,22.56816,203,95.03969,31.58854,33.23721,36.46641,315.37482,9.98384,0.15561,0.44511,-4.17624,110,93,7.86471,32.98032,19.93426,55.58644,63.45115,58.48760,66.76279,,,,,,,,,,,,150.82774,0.23133,0.20032,0.40239,1.65917,1.62745,11.78185,
9c16_12-10cm_20um_redo_rec_voi_1095.bmp,22.54757,197,95.03969,31.58276,33.23113,36.46641,308.14236,9.75666,0.16032,0.45180,-3.69263,111,86,8.03691,29.80718,20.28515,55.42001,63.45692,58.31250,66.76887,,,,,,,,,,,,150.65142,0.23105,0.20499,0.41187,1.62112,1.62365,11.55284,
