
<<<<< Begin of task (633f842e-e158-48cc-96c3-c718361312f7) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_14-12cm_20um_redo\9c16_14-12cm_20um_redo_Rec\VOI\9c16_14-12cm_20um_redo_rec_voi_0043.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1050
Total Z-position range, 41, 1090
Number of images inside VOI, 1050
Z-position range of VOI, 41, 1090
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 15:16:55 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/24/20 15:16:56 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 15:16:56 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7967 speckles removed
[ 12/24/20 15:16:58 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:16:58 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 15:17:01 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:17:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:34
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_14-12cm_20um_redo\9c16_14-12cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_14-12cm_20um_redo_rec_voi_1090.bmp,22.44461,19,95.03969,3.40587,3.58363,36.46641,29.90114,8.77929,0.17926,0.47774,-2.53035,10,9,0.11416,3.75106,3.24324,91.51965,91.63381,96.29624,96.41637,,,,,,,,,,,,135.21022,0.96670,0.22781,6.12912,0.15731,1.22323,1.03146,
9c16_14-12cm_20um_redo_rec_voi_1089.bmp,22.42402,21,95.03969,3.60065,3.78858,36.46641,31.28515,8.68875,0.17146,0.46724,-1.59500,16,5,0.06546,2.36412,1.78543,91.37358,91.43904,96.14255,96.21142,,,,,,,,,,,,134.27904,0.96327,0.23018,5.84552,0.16459,1.23614,1.07264,
9c16_14-12cm_20um_redo_rec_voi_1088.bmp,22.40343,15,95.03969,3.79914,3.99742,36.46641,32.82269,8.63951,0.25328,0.56787,0.30627,10,5,0.04950,1.69727,1.28624,91.19105,91.24055,95.95049,96.00258,,,,,,,,,,,,133.44041,0.96070,0.23149,5.55960,0.17268,1.24506,1.11383,
9c16_14-12cm_20um_redo_rec_voi_1087.bmp,22.38284,15,95.03969,3.99471,4.20320,36.46641,33.63514,8.41992,0.26631,0.58231,-0.00000,8,7,0.07457,2.76182,1.83256,90.97040,91.04498,95.71833,95.79680,,,,,,,,,,,,132.80467,0.95848,0.23753,5.41368,0.17695,1.27196,1.18413,
9c16_14-12cm_20um_redo_rec_voi_1086.bmp,22.36224,15,95.03969,4.16956,4.38718,36.46641,33.88310,8.12630,0.27797,0.59491,-0.00000,8,7,0.05740,2.53178,1.35794,90.81273,90.87013,95.55243,95.61282,,,,,,,,,,,,132.26789,0.95686,0.24611,5.36374,0.17826,1.26844,1.13442,
9c16_14-12cm_20um_redo_rec_voi_1085.bmp,22.34165,17,95.03969,4.35416,4.58141,36.46641,34.91060,8.01775,0.25613,0.57106,-0.00000,11,6,0.04404,2.28176,1.00140,90.64148,90.68553,95.37224,95.41859,,,,,,,,,,,,131.72690,0.95405,0.24945,5.19530,0.18366,1.28058,0.99984,
9c16_14-12cm_20um_redo_rec_voi_1084.bmp,22.32106,22,95.03969,4.48449,4.71854,36.46641,35.91276,8.00821,0.20384,0.50945,-0.00000,16,6,0.03032,1.63197,0.67149,90.52488,90.55520,95.24956,95.28146,,,,,,,,,,,,131.18974,0.95219,0.24974,5.04307,0.18894,1.28418,0.87983,
9c16_14-12cm_20um_redo_rec_voi_1083.bmp,22.30047,30,95.03969,4.62287,4.86415,36.46641,41.92145,9.06826,0.15410,0.44295,-0.00000,20,10,0.05560,3.26600,1.18837,90.36121,90.41681,95.07735,95.13585,,,,,,,,,,,,130.61905,0.94980,0.22055,4.31363,0.22055,1.30624,0.88586,
