
<<<<< Begin of task (b35ab8b5-521a-4aac-80bf-c05c8f0ec795) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_16-14cm_20um\9c16_16-14cm_20um_Rec\VOI\9c16_16-14cm_20um_rec_voi_0035.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1073
Total Z-position range, 34, 1106
Number of images inside VOI, 1073
Z-position range of VOI, 34, 1106
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 15:23:35 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/24/20 15:23:36 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 15:23:36 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
12075 speckles removed
[ 12/24/20 15:23:38 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:23:38 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 15:23:41 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:24:26 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_16-14cm_20um\9c16_16-14cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_16-14cm_20um_rec_voi_1106.bmp,22.77407,345,95.03969,45.28380,47.64725,36.46641,526.45431,11.62567,0.13126,0.40881,-9.26001,141,204,13.05157,121.09591,22.37333,36.70432,49.75589,38.61999,52.35275,,,,,,,,,,,,46.37929,0.23937,0.17203,0.18902,2.76966,1.75865,14.54538,
9c16_16-14cm_20um_rec_voi_1105.bmp,22.75348,326,95.03969,45.31433,47.67937,36.46641,516.11008,11.38956,0.13900,0.42069,-8.81447,145,181,12.66185,111.83328,21.83975,37.06351,49.72536,38.99793,52.32063,,,,,,,,,,,,46.16518,0.24273,0.17560,0.19269,2.71523,1.65384,14.48921,
9c16_16-14cm_20um_rec_voi_1104.bmp,22.73289,314,95.03969,45.37538,47.74362,36.46641,509.97213,11.23896,0.14451,0.42894,-9.18493,116,198,12.75492,117.38225,21.94195,36.90938,49.66430,38.83576,52.25638,,,,,,,,,,,,46.21373,0.25056,0.17795,0.19477,2.68294,1.75924,14.61026,
9c16_16-14cm_20um_rec_voi_1103.bmp,22.71230,289,95.03969,45.26112,47.62338,36.46641,497.70836,10.99638,0.15661,0.44655,-8.75995,107,182,12.38598,108.71515,21.48588,37.39259,49.77857,39.34418,52.37662,,,,,,,,,,,,44.53202,0.24323,0.18188,0.20003,2.61842,1.75572,14.59673,
9c16_16-14cm_20um_rec_voi_1102.bmp,22.69171,289,95.03969,45.18967,47.54821,36.46641,490.21866,10.84802,0.15637,0.44620,-8.28217,109,180,12.16338,100.94353,21.20791,37.68663,49.85002,39.65358,52.45179,,,,,,,,,,,,43.03708,0.23431,0.18437,0.20338,2.57902,1.75338,14.84383,
9c16_16-14cm_20um_rec_voi_1101.bmp,22.67111,297,95.03969,45.11303,47.46757,36.46641,485.20799,10.75538,0.15190,0.43977,-8.15708,131,166,12.11780,99.04569,21.17355,37.80885,49.92666,39.78217,52.53243,,,,,,,,,,,,39.73116,0.23255,0.18595,0.20579,2.55266,1.75065,15.07076,
9c16_16-14cm_20um_rec_voi_1100.bmp,22.65052,289,95.03969,44.97618,47.32358,36.46641,481.32581,10.70179,0.15563,0.44514,-8.17734,121,168,12.07604,98.98231,21.16664,37.98747,50.06350,39.97011,52.67642,,,,,,,,,,,,36.40639,0.23761,0.18688,0.20802,2.53224,1.75041,15.39066,
9c16_16-14cm_20um_rec_voi_1099.bmp,22.62993,291,95.03969,44.79974,47.13793,36.46641,474.37355,10.58876,0.15395,0.44274,-7.97841,112,179,11.97634,95.78646,21.09399,38.26360,50.23994,40.26065,52.86207,,,,,,,,,,,,34.17725,0.25946,0.18888,0.21182,2.49566,1.75038,15.89588,
