
<<<<< Begin of task (6220fe79-dcb6-4b13-9f19-866fea2d1426) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_18-16cm_20um\9c16_18-16cm_20um_Rec\VOI\9c16_18-16cm_20um_rec_voi_0019.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1070
Total Z-position range, 18, 1087
Number of images inside VOI, 1070
Z-position range of VOI, 18, 1087
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 15:28:36 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/24/20 15:28:37 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 15:28:37 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
11392 speckles removed
[ 12/24/20 15:28:39 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:28:39 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 15:28:42 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 15:29:25 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_18-16cm_20um\9c16_18-16cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_18-16cm_20um_rec_voi_1087.bmp,22.38284,398,95.03969,35.14457,36.97883,36.46641,422.38181,12.01841,0.08830,0.33531,-4.62798,292,106,10.85390,50.33151,23.59621,49.04123,59.89512,51.60079,63.02117,,,,,,,,,,,,44.81571,0.19184,0.16641,0.28361,2.22213,1.71473,14.99718,
9c16_18-16cm_20um_rec_voi_1086.bmp,22.36224,375,95.03969,35.15177,36.98642,36.46641,417.02411,11.86353,0.09374,0.34547,-5.12484,266,109,10.79491,55.39734,23.49442,49.09301,59.88791,51.65527,63.01358,,,,,,,,,,,,46.63334,0.20933,0.16858,0.28722,2.19395,1.62523,14.96452,
9c16_18-16cm_20um_rec_voi_1085.bmp,22.34165,385,95.03969,35.12607,36.95937,36.46641,409.47753,11.65737,0.09124,0.34083,-4.36049,289,96,10.60166,46.29495,23.18432,49.31195,59.91362,51.88564,63.04063,,,,,,,,,,,,50.15428,0.22286,0.17157,0.29263,2.15424,1.70790,14.90378,
9c16_18-16cm_20um_rec_voi_1084.bmp,22.32106,370,95.03969,35.16476,37.00008,36.46641,408.22085,11.60881,0.09504,0.34786,-4.43765,269,101,10.33104,45.91431,22.70769,49.54389,59.87493,52.12968,62.99992,,,,,,,,,,,,54.60302,0.23272,0.17228,0.29335,2.14763,1.71302,15.22618,
9c16_18-16cm_20um_rec_voi_1083.bmp,22.30047,355,95.03969,35.11981,36.95279,36.46641,400.53522,11.40482,0.09893,0.35491,-3.69181,263,92,10.15074,37.56562,22.42238,49.76914,59.91987,52.36669,63.04721,,,,,,,,,,,,56.72596,0.25023,0.17536,0.29920,2.10720,1.70409,15.07351,
9c16_18-16cm_20um_rec_voi_1082.bmp,22.27988,341,95.03969,35.07370,36.90427,36.46641,393.03138,11.20587,0.10286,0.36188,-3.38222,255,86,10.18365,34.49554,22.50165,49.78233,59.96598,52.38058,63.09573,,,,,,,,,,,,59.57889,0.27025,0.17848,0.30515,2.06772,1.69982,14.81892,
9c16_18-16cm_20um_rec_voi_1081.bmp,22.25929,333,95.03969,34.88772,36.70858,36.46641,386.86402,11.08883,0.10477,0.36523,-2.98210,251,82,9.97239,29.78799,22.22997,50.17957,60.15196,52.79855,63.29142,,,,,,,,,,,,60.10273,0.29083,0.18036,0.31097,2.03528,1.69758,14.80333,
9c16_18-16cm_20um_rec_voi_1080.bmp,22.23870,324,95.03969,34.72072,36.53286,36.46641,382.43249,11.01453,0.10716,0.36938,-3.09256,237,87,9.89305,30.64369,22.17487,50.42592,60.31897,53.05775,63.46714,,,,,,,,,,,,60.06892,0.29645,0.18158,0.31545,2.01196,1.68494,14.29914,
