
<<<<< Begin of task (d5543dda-0481-4bea-a933-c9a4a12dfd5e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_24-22cm_20um\9c16_24-22cm_20um_Rec\VOI\9c16_24-22cm_20um_rec_voi_0064.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 548, 577
Total number of images, 891
Total Z-position range, 50, 940
Number of images inside VOI, 891
Z-position range of VOI, 50, 940
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 14:50:00 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 14:50:01 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 14:50:01 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5568 speckles removed
[ 01/28/21 14:50:04 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:50:04 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
10080 speckles removed
[ 01/28/21 14:50:07 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:51:32 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:25
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_24-22cm_20um\9c16_24-22cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_24-22cm_20um_rec_voi_0940.bmp,19.35590,111,134.06872,44.46929,33.16902,46.30649,354.06016,7.96190,0.40062,0.71421,-1.95233,85,26,9.53227,18.65747,17.65184,80.06717,89.59944,59.72099,66.83098,,,,,,,,,,,,145.92020,0.33956,0.25120,0.50613,1.32044,1.70374,0.18532,
9c16_24-22cm_20um_rec_voi_0939.bmp,19.33531,102,134.06872,44.70646,33.34593,46.30649,354.99874,7.94066,0.43830,0.74703,-2.10006,73,29,9.44837,19.90381,17.44696,79.91389,89.36226,59.60666,66.65407,,,,,,,,,,,,146.87544,0.32933,0.25187,0.50345,1.32394,1.70298,0.22651,
9c16_24-22cm_20um_rec_voi_0938.bmp,19.31472,100,134.06872,44.93225,33.51434,46.30649,353.95039,7.87742,0.44932,0.75637,-2.21010,78,22,10.18291,22.56963,18.47569,78.95357,89.13648,58.89037,66.48566,,,,,,,,,,,,148.46785,0.31937,0.25389,0.50367,1.32003,1.69985,0.24710,
9c16_24-22cm_20um_rec_voi_0937.bmp,19.29413,103,134.06872,45.12284,33.65650,46.30649,352.26897,7.80689,0.43809,0.74685,-3.08059,81,22,11.62145,35.87246,20.48039,77.32444,88.94589,57.67522,66.34350,,,,,,,,,,,,148.66249,0.30746,0.25618,0.50499,1.31376,1.70443,0.26769,
9c16_24-22cm_20um_rec_voi_0936.bmp,19.27354,91,134.06872,45.20695,33.71924,46.30649,350.44486,7.75201,0.49678,0.79531,-2.34163,62,29,9.59243,22.52830,17.50463,79.26935,88.86177,59.12591,66.28076,,,,,,,,,,,,148.37872,0.29606,0.25800,0.50714,1.30696,1.70306,0.28828,
9c16_24-22cm_20um_rec_voi_0935.bmp,19.25294,96,134.06872,45.31841,33.80237,46.30649,353.09141,7.79135,0.47207,0.77528,-1.68276,59,37,9.24146,15.61273,16.93820,79.50886,88.75031,59.30455,66.19763,,,,,,,,,,,,147.17312,0.28233,0.25670,0.50270,1.31683,1.70599,0.30887,
9c16_24-22cm_20um_rec_voi_0934.bmp,19.23235,107,134.06872,45.37268,33.84285,46.30649,354.87226,7.82128,0.42404,0.73479,-2.22182,77,30,11.25272,25.06900,19.87222,77.44332,88.69604,57.76389,66.15715,,,,,,,,,,,,146.95624,0.26207,0.25571,0.49988,1.32347,1.70702,0.32946,
9c16_24-22cm_20um_rec_voi_0933.bmp,19.21176,104,134.06872,45.40872,33.86974,46.30649,356.78837,7.85727,0.43662,0.74560,-2.82542,75,29,11.18759,31.68565,19.76734,77.47241,88.66000,57.78560,66.13026,,,,,,,,,,,,147.58919,0.24782,0.25454,0.49699,1.33062,1.71198,0.37064,
