
<<<<< Begin of task (fa7c85e1-5663-4567-b964-1741ead74902) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_26-24cm_20um\9c16_26-24cm_20um_Rec\VOI\9c16_26-24cm_20um_rec_voi_0301.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 577, 548
Total number of images, 761
Total Z-position range, 300, 1060
Number of images inside VOI, 761
Z-position range of VOI, 300, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:01:20 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 15:01:21 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:01:21 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4328 speckles removed
[ 01/28/21 15:01:23 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:01:23 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4407 speckles removed
[ 01/28/21 15:01:24 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:01:58 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:34
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_26-24cm_20um\9c16_26-24cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_26-24cm_20um_rec_voi_1060.bmp,21.82687,85,134.06872,34.67005,25.85991,46.30649,279.67511,8.06676,0.40788,0.72065,-0.38636,64,21,7.14894,2.76205,17.09496,92.24973,99.39867,68.80780,74.14009,,,,,,,,,,,,20.80037,0.09183,0.24793,0.71082,1.04303,1.63798,0.00000,
9c16_26-24cm_20um_rec_voi_1059.bmp,21.80628,85,134.06872,34.92212,26.04793,46.30649,282.90492,8.10102,0.41085,0.72326,-0.58946,56,29,7.24381,4.26997,17.17929,91.90279,99.14660,68.54902,73.95207,,,,,,,,,,,,4.53164,0.12157,0.24688,0.70092,1.05507,1.64181,0.00000,
9c16_26-24cm_20um_rec_voi_1058.bmp,21.78568,82,134.06872,35.07471,26.16174,46.30649,284.48950,8.11096,0.42774,0.73798,-0.58854,58,24,7.27153,4.27960,17.17160,91.72248,98.99401,68.41453,73.83826,,,,,,,,,,,,177.27478,0.13798,0.24658,0.69594,1.06098,1.63837,0.00000,
9c16_26-24cm_20um_rec_voi_1057.bmp,21.76509,86,134.06872,35.21924,26.26954,46.30649,284.89926,8.08931,0.40953,0.72210,0.07170,68,18,7.22028,-0.51773,17.01310,91.62920,98.84948,68.34495,73.73046,,,,,,,,,,,,162.49359,0.16155,0.24724,0.69393,1.06251,1.64636,0.00000,
9c16_26-24cm_20um_rec_voi_1056.bmp,21.74450,89,134.06872,35.22158,26.27128,46.30649,284.94458,8.09006,0.39575,0.70985,0.22904,71,18,7.23697,-1.65757,17.04479,91.61017,98.84715,68.33076,73.72872,,,,,,,,,,,,149.41374,0.16924,0.24722,0.69380,1.06268,1.64113,0.00000,
9c16_26-24cm_20um_rec_voi_1055.bmp,21.72391,93,134.06872,35.20064,26.25567,46.30649,287.63574,8.17132,0.37850,0.69421,0.11011,75,18,7.31213,-0.80515,17.19984,91.55596,98.86808,68.29032,73.74433,,,,,,,,,,,,141.44085,0.18020,0.24476,0.68745,1.07272,1.64661,0.00000,
9c16_26-24cm_20um_rec_voi_1054.bmp,21.70332,100,134.06872,35.10524,26.18451,46.30649,290.00364,8.26098,0.35105,0.66856,0.16763,77,23,7.37870,-1.23696,17.36820,91.58479,98.96348,68.31182,73.81549,,,,,,,,,,,,134.30276,0.19502,0.24210,0.68250,1.08155,1.63085,0.00000,
9c16_26-24cm_20um_rec_voi_1053.bmp,21.68273,100,134.06872,35.00804,26.11201,46.30649,287.66036,8.21698,0.35008,0.66763,0.02134,77,23,7.41829,-0.15829,17.48511,91.64240,99.06069,68.35479,73.88799,,,,,,,,,,,,125.41102,0.20281,0.24340,0.68873,1.07281,1.64048,0.00000,
