
<<<<< Begin of task (19a2a461-997b-4f71-b8e1-6f4cc777ca3e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_27-25cm_20um\9c16_27-25cm_20um_Rec\VOI\9c16_27-25cm_20um_rec_voi_0052.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 573, 544
Total number of images, 1011
Total Z-position range, 50, 1060
Number of images inside VOI, 1011
Z-position range of VOI, 50, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:10:16 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 15:10:16 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:10:16 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5251 speckles removed
[ 01/28/21 15:10:19 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:10:19 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7220 speckles removed
[ 01/28/21 15:10:21 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:11:06 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:45
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_27-25cm_20um\9c16_27-25cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_27-25cm_20um_rec_voi_1060.bmp,21.82687,93,132.16748,35.18728,26.62325,45.97703,282.51101,8.02878,0.37836,0.69408,-1.50823,60,33,7.31271,11.02959,17.20638,89.66749,96.98020,67.84384,73.37675,,,,,,,,,,,,110.07049,0.11935,0.24910,0.68656,1.06876,1.64272,0.00000,
9c16_27-25cm_20um_rec_voi_1059.bmp,21.80628,87,132.16748,35.11865,26.57132,45.97703,280.73929,7.99402,0.40366,0.71691,-1.23417,62,25,7.24323,8.93961,17.09846,89.80561,97.04884,67.94834,73.42868,,,,,,,,,,,,130.88027,0.18594,0.25019,0.69138,1.06206,1.63860,0.00000,
9c16_27-25cm_20um_rec_voi_1058.bmp,21.78568,89,132.16748,35.03300,26.50652,45.97703,279.07028,7.96593,0.39363,0.70794,-1.13560,64,25,7.25844,8.24279,17.16290,89.87605,97.13448,68.00163,73.49348,,,,,,,,,,,,132.77157,0.23247,0.25107,0.69613,1.05574,1.63326,0.00000,
9c16_27-25cm_20um_rec_voi_1057.bmp,21.76509,92,132.16748,35.07789,26.54048,45.97703,277.89218,7.92215,0.38128,0.69675,-0.84104,72,20,7.20379,6.05924,17.03762,89.88580,97.08959,68.00901,73.45952,,,,,,,,,,,,133.48134,0.26750,0.25246,0.69876,1.05129,1.63235,0.00000,
9c16_27-25cm_20um_rec_voi_1056.bmp,21.74450,94,132.16748,34.92827,26.42728,45.97703,274.68442,7.86424,0.37158,0.68783,-0.48165,77,17,7.11724,3.42804,16.92748,90.12197,97.23921,68.18770,73.57272,,,,,,,,,,,,133.35794,0.30902,0.25432,0.70801,1.03915,1.63041,0.00000,
9c16_27-25cm_20um_rec_voi_1055.bmp,21.72391,94,132.16748,34.91740,26.41906,45.97703,275.96316,7.90331,0.37146,0.68772,-0.47358,71,23,7.06700,3.34689,16.83244,90.18308,97.25008,68.23394,73.58094,,,,,,,,,,,,132.56900,0.32774,0.25306,0.70480,1.04399,1.63091,0.00000,
9c16_27-25cm_20um_rec_voi_1054.bmp,21.70332,93,132.16748,35.04848,26.51823,45.97703,278.78614,7.95430,0.37687,0.69270,-0.44203,71,22,7.17056,3.16974,16.98419,89.94845,97.11901,68.05641,73.48177,,,,,,,,,,,,132.78844,0.34043,0.25144,0.69673,1.05467,1.63156,0.00000,
9c16_27-25cm_20um_rec_voi_1053.bmp,21.68273,83,132.16748,35.07969,26.54185,45.97703,277.63923,7.91453,0.42265,0.73357,-0.74443,59,24,7.13712,5.31331,16.90587,89.95067,97.08779,68.05810,73.45815,,,,,,,,,,,,132.94885,0.35257,0.25270,0.69938,1.05033,1.63016,0.00000,
