
<<<<< Begin of task (70ef41fe-6a0a-48c8-8eda-d5cf550d832e) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_29-27cm_20um\9c16_29-27cm_20um_Rec\VOI\9c16_29-27cm_20um_rec_voi_0086.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 664, 593
Total number of images, 931
Total Z-position range, 70, 1000
Number of images inside VOI, 931
Z-position range of VOI, 70, 1000
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:21:16 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 15:21:17 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:21:17 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7263 speckles removed
[ 01/28/21 15:21:22 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:21:22 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
15262 speckles removed
[ 01/28/21 15:21:25 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:22:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:10
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_29-27cm_20um\9c16_29-27cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_29-27cm_20um_rec_voi_1000.bmp,20.59138,81,166.95286,32.01583,19.17657,51.74262,245.18098,7.65812,0.39526,0.70941,-0.22766,58,23,7.53791,1.71607,19.05739,127.39912,134.93703,76.30844,80.82343,,,,,,,,,,,,139.20479,0.44374,0.26116,1.10071,0.73428,1.61371,0.00000,
9c16_29-27cm_20um_rec_voi_0999.bmp,20.57079,77,166.95286,32.34168,19.37174,51.74262,246.63358,7.62587,0.42002,0.73129,-1.79867,59,18,7.96796,14.33192,19.76688,126.64323,134.61118,75.85568,80.62826,,,,,,,,,,,,138.89108,0.43170,0.26227,1.09159,0.73863,1.61412,0.00000,
9c16_29-27cm_20um_rec_voi_0998.bmp,20.55020,82,166.95286,32.63663,19.54841,51.74262,248.63170,7.61818,0.39801,0.71187,-1.32432,64,18,7.73433,10.24312,19.15815,126.58191,134.31624,75.81895,80.45159,,,,,,,,,,,,139.06401,0.42213,0.26253,1.08044,0.74462,1.60939,0.00000,
9c16_29-27cm_20um_rec_voi_0997.bmp,20.52961,84,166.95286,32.78148,19.63517,51.74262,246.62823,7.52340,0.39026,0.70490,-0.73853,63,21,7.76730,5.73664,19.15544,126.40409,134.17138,75.71244,80.36483,,,,,,,,,,,,139.93089,0.40917,0.26584,1.08805,0.73862,1.61691,0.00000,
9c16_29-27cm_20um_rec_voi_0996.bmp,20.50902,87,166.95286,32.88838,19.69920,51.74262,248.29517,7.54963,0.37803,0.69377,-0.90917,63,24,8.06034,7.32828,19.68398,126.00415,134.06448,75.47289,80.30080,,,,,,,,,,,,139.54989,0.39552,0.26491,1.07988,0.74361,1.61889,0.00000,
9c16_29-27cm_20um_rec_voi_0995.bmp,20.48843,89,166.95286,32.94716,19.73441,51.74262,251.18104,7.62375,0.37019,0.68655,-0.55827,64,25,7.55996,4.22065,18.66328,126.44575,134.00570,75.73739,80.26559,,,,,,,,,,,,138.94761,0.38664,0.26234,1.06700,0.75225,1.62181,0.00000,
9c16_29-27cm_20um_rec_voi_0994.bmp,20.46784,83,166.95286,33.00933,19.77165,51.74262,252.69859,7.65537,0.39770,0.71160,-0.02751,58,25,7.04320,0.19373,17.58491,126.90033,133.94353,76.00968,80.22835,,,,,,,,,,,,138.32793,0.38011,0.26125,1.06011,0.75680,1.62272,0.00000,
9c16_29-27cm_20um_rec_voi_0993.bmp,20.44724,82,166.95286,33.14289,19.85165,51.74262,253.97990,7.66318,0.40418,0.71737,1.03055,60,22,6.74370,4.54219,16.90718,127.06628,133.80997,76.10907,80.14835,,,,,,,,,,,,136.29029,0.37550,0.26099,1.05371,0.76063,1.62503,0.00000,
