
<<<<< Begin of task (971c523b-726c-4c05-941b-2aa27b0bbe39) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_31-29cm_20m\9c16_31-29cm_20m_Rec\VOI\9c16_31-29cm_20m_rec_voi_0153.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 584, 552
Total number of images, 941
Total Z-position range, 120, 1060
Number of images inside VOI, 941
Z-position range of VOI, 120, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:39:22 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 15:39:23 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:39:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2587 speckles removed
[ 01/28/21 15:39:26 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:39:26 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5992 speckles removed
[ 01/28/21 15:39:27 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:40:00 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_31-29cm_20m\9c16_31-29cm_20m_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_31-29cm_20m_rec_voi_1060.bmp,21.82687,106,136.68568,36.96540,27.04409,46.75950,291.45710,7.88459,0.34873,0.66635,0.73351,91,15,7.45364,-5.43932,16.78028,92.26664,99.72028,67.50278,72.95591,,,,,,,,,,,,109.71449,0.27646,0.25366,0.68429,1.06616,1.65902,0.00000,
9c16_31-29cm_20m_rec_voi_1059.bmp,21.80628,101,136.68568,37.07893,27.12715,46.75950,293.95683,7.92787,0.36712,0.68369,0.48368,85,16,7.54300,-3.64848,16.90424,92.06375,99.60675,67.35435,72.87285,,,,,,,,,,,,113.11471,0.26124,0.25227,0.67770,1.07530,1.64901,0.00000,
9c16_31-29cm_20m_rec_voi_1058.bmp,21.78568,111,136.68568,37.12091,27.15786,46.75950,297.91673,8.02558,0.33442,0.65253,0.49179,92,19,7.65372,-3.76410,17.09387,91.91106,99.56478,67.24264,72.84214,,,,,,,,,,,,117.41162,0.25364,0.24920,0.66841,1.08979,1.66032,0.00000,
9c16_31-29cm_20m_rec_voi_1057.bmp,21.76509,99,136.68568,37.29480,27.28508,46.75950,297.36808,7.97345,0.37672,0.69257,0.55401,79,20,7.57888,-4.19884,16.88936,91.81200,99.39088,67.17017,72.71492,,,,,,,,,,,,120.92951,0.23728,0.25083,0.66847,1.08778,1.66425,0.00000,
9c16_31-29cm_20m_rec_voi_1056.bmp,21.74450,97,136.68568,37.38496,27.35104,46.75950,297.61846,7.96092,0.38541,0.70052,0.30976,77,20,7.64741,-2.36888,16.98203,91.65332,99.30073,67.05407,72.64896,,,,,,,,,,,,126.19375,0.23001,0.25123,0.66730,1.08870,1.66397,0.00000,
9c16_31-29cm_20m_rec_voi_1055.bmp,21.72391,100,136.68568,37.44940,27.39819,46.75950,297.80782,7.95227,0.37449,0.69052,0.38756,75,25,7.59229,-2.94252,16.85614,91.64399,99.23628,67.04725,72.60181,,,,,,,,,,,,131.70264,0.21860,0.25150,0.66645,1.08939,1.66386,0.00000,
9c16_31-29cm_20m_rec_voi_1054.bmp,21.70332,102,136.68568,37.49027,27.42809,46.75950,297.74166,7.94184,0.36755,0.68409,0.57212,78,24,7.58460,-4.33945,16.82668,91.61081,99.19541,67.02298,72.57191,,,,,,,,,,,,135.45994,0.20836,0.25183,0.66632,1.08915,1.66725,0.00000,
9c16_31-29cm_20m_rec_voi_1053.bmp,21.68273,100,136.68568,37.49869,27.43425,46.75950,296.20533,7.89908,0.37499,0.69098,0.67448,79,21,7.53409,-5.08160,16.73024,91.65289,99.18699,67.05376,72.56575,,,,,,,,,,,,139.81577,0.19588,0.25319,0.66972,1.08353,1.66732,0.00000,
