
<<<<< Begin of task (11196ff4-45f2-473a-a375-e099cf099e58) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_33-31cm_20um_redo\9c16_33-31cm_20um_redo_Rec\VOI\9c16_33-31cm_20um_redo_rec_voi_0062.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 1011
Total Z-position range, 60, 1070
Number of images inside VOI, 1011
Z-position range of VOI, 60, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:47:34 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 15:47:35 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:47:35 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1632 speckles removed
[ 01/28/21 15:47:37 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:47:37 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5391 speckles removed
[ 01/28/21 15:47:39 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:48:11 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_33-31cm_20um_redo\9c16_33-31cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_33-31cm_20um_redo_rec_voi_1070.bmp,22.03278,74,93.99345,28.17228,29.97260,36.26756,223.32612,7.92716,0.38071,0.69623,0.73086,53,21,6.96757,-5.06510,19.82812,58.85361,65.82118,62.61458,70.02740,,,,,,,,,,,,85.11261,0.42585,0.25230,0.58946,1.18799,1.56093,10.08586,
9c16_33-31cm_20um_redo_rec_voi_1069.bmp,22.01219,71,93.99345,27.73243,29.50464,36.26756,217.76337,7.85230,0.39060,0.70521,-0.32079,52,19,6.42230,2.09021,18.80355,59.83873,66.26103,63.66266,70.49536,,,,,,,,,,,,86.54835,0.43667,0.25470,0.60856,1.15840,1.55503,9.91010,
9c16_33-31cm_20um_redo_rec_voi_1068.bmp,21.99160,75,93.99345,27.35273,29.10067,36.26756,213.84051,7.81789,0.36470,0.68144,0.61036,59,16,7.40498,-4.49233,21.30458,59.23574,66.64073,63.02113,70.89933,,,,,,,,,,,,88.52156,0.43910,0.25582,0.62328,1.13753,1.54683,10.40722,
9c16_33-31cm_20um_redo_rec_voi_1067.bmp,21.97101,71,93.99345,27.06764,28.79737,36.26756,209.50497,7.74005,0.38123,0.69671,0.34673,56,15,6.44133,-2.20537,19.22270,60.48449,66.92582,64.34968,71.20263,,,,,,,,,,,,90.22633,0.43334,0.25840,0.63889,1.11447,1.53685,10.44737,
9c16_33-31cm_20um_redo_rec_voi_1066.bmp,21.95042,71,93.99345,26.86793,28.58490,36.26756,208.02945,7.74267,0.37842,0.69413,0.69285,54,17,6.36856,-4.38548,19.16134,60.75697,67.12552,64.63957,71.41510,,,,,,,,,,,,91.40030,0.41701,0.25831,0.64535,1.10662,1.53445,10.11998,
9c16_33-31cm_20um_redo_rec_voi_1065.bmp,21.92982,71,93.99345,26.55263,28.24945,36.26756,207.74153,7.82376,0.37398,0.69005,0.50895,51,20,6.53683,-3.31145,19.75503,60.90399,67.44082,64.79599,71.75055,,,,,,,,,,,,93.47424,0.39719,0.25563,0.64928,1.10509,1.53481,9.84023,
9c16_33-31cm_20um_redo_rec_voi_1064.bmp,21.90923,73,93.99345,26.37047,28.05564,36.26756,210.09445,7.96704,0.36124,0.67819,-0.47369,56,17,6.34561,3.06653,19.39599,61.27738,67.62299,65.19324,71.94436,,,,,,,,,,,,95.93326,0.37852,0.25103,0.64374,1.11760,1.53974,9.88890,
9c16_33-31cm_20um_redo_rec_voi_1063.bmp,21.88864,68,93.99345,26.32351,28.00568,36.26756,212.28591,8.06450,0.38711,0.70206,-0.05507,50,18,8.18277,0.50921,23.71385,59.48718,67.66994,63.28864,71.99432,,,,,,,,,,,,98.34918,0.35892,0.24800,0.63754,1.12926,1.42450,9.69255,
