
<<<<< Begin of task (91f66c2f-5b59-4aee-97ce-bda392f67b0d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_35-33cm_20um\9c16_35-33cm_20um_Rec\VOI\9c16_35-33cm_20um_rec_voi_0100.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 629, 592
Total number of images, 641
Total Z-position range, 100, 740
Number of images inside VOI, 641
Z-position range of VOI, 100, 740
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 13:39:51 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 13:39:52 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 13:39:52 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2601 speckles removed
[ 01/28/21 13:39:54 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 13:39:54 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4818 speckles removed
[ 01/28/21 13:39:55 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 13:40:23 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:28
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_35-33cm_20um\9c16_35-33cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_35-33cm_20um_rec_voi_0740.bmp,15.23762,86,157.88594,36.59313,23.17694,50.26004,295.22936,8.06789,0.42550,0.73605,-1.26533,46,40,7.67725,9.74949,17.34173,113.61556,121.29281,71.96053,76.82306,,,,,,,,,,,,123.57855,0.21807,0.24790,0.82169,0.93495,1.59190,0.16473,
9c16_35-33cm_20um_rec_voi_0739.bmp,15.21703,82,157.88594,36.64894,23.21229,50.26004,293.02462,7.99545,0.44694,0.75436,-1.67783,46,36,8.55473,14.39002,18.92485,112.68228,121.23700,71.36942,76.78771,,,,,,,,,,,,119.52077,0.22106,0.25014,0.82749,0.92796,1.64788,0.14414,
9c16_35-33cm_20um_rec_voi_0738.bmp,15.19644,84,157.88594,36.60145,23.18221,50.26004,293.35701,8.01490,0.43573,0.74484,-1.17173,55,29,8.36191,9.79824,18.59717,112.92258,121.28449,71.52162,76.81779,,,,,,,,,,,,118.50378,0.20825,0.24954,0.82687,0.92902,1.65349,0.00000,
9c16_35-33cm_20um_rec_voi_0737.bmp,15.17585,87,157.88594,36.50562,23.12152,50.26004,294.35417,8.06326,0.41960,0.73093,-1.33216,62,25,9.54398,12.71409,20.72544,111.83633,121.38032,70.83362,76.87848,,,,,,,,,,,,121.69560,0.18562,0.24804,0.82472,0.93217,1.64691,0.00000,
9c16_35-33cm_20um_rec_voi_0736.bmp,15.15526,89,157.88594,36.54071,23.14374,50.26004,295.49195,8.08665,0.41057,0.72302,-0.48364,64,25,7.81908,3.78163,17.62650,113.52615,121.34523,71.90390,76.85626,,,,,,,,,,,,120.67177,0.15215,0.24732,0.82131,0.93578,1.64521,0.00000,
9c16_35-33cm_20um_rec_voi_0735.bmp,15.13467,79,157.88594,36.54686,23.14763,50.26004,292.29211,7.99774,0.46262,0.76748,-0.79925,49,30,7.60766,6.08044,17.22963,113.73142,121.33908,72.03392,76.85237,,,,,,,,,,,,110.45481,0.13379,0.25007,0.83026,0.92564,1.64162,0.00000,
9c16_35-33cm_20um_rec_voi_0734.bmp,15.11408,82,157.88594,36.79167,23.30269,50.26004,292.01710,7.93704,0.44868,0.75583,-1.54436,54,28,8.85646,13.67785,19.40158,112.23781,121.09427,71.08791,76.69731,,,,,,,,,,,,96.28284,0.10234,0.25198,0.82936,0.92477,1.64250,0.00000,
9c16_35-33cm_20um_rec_voi_0733.bmp,15.09348,86,157.88594,37.08015,23.48540,50.26004,291.53790,7.86237,0.43116,0.74093,-0.63248,61,25,7.72590,4.88650,17.24299,113.07989,120.80579,71.62125,76.51460,,,,,,,,,,,,83.86695,0.09746,0.25438,0.82875,0.92325,1.64368,0.00000,
