
<<<<< Begin of task (0cb7a88e-cc4c-41c5-9897-e676108c9ba2) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_35-33cm_20um_redo3\9c16_35-33cm_20um_redo3_Rec\VOI\9c16_35-33cm_20um_redo3_rec_voi_0053.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 679, 651
Total number of images, 951
Total Z-position range, 50, 1000
Number of images inside VOI, 951
Z-position range of VOI, 50, 1000
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:52:27 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 15:52:28 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:52:28 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2565 speckles removed
[ 01/28/21 15:52:31 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:52:31 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6163 speckles removed
[ 01/28/21 15:52:33 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:53:11 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:38
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\35-18cm\9c16_35-33cm_20um_redo3\9c16_35-33cm_20um_redo3_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_35-33cm_20um_redo3_rec_voi_1000.bmp,20.59138,92,187.42256,41.51190,22.14883,54.74896,331.49792,7.98561,0.45122,0.75796,-2.40942,54,38,8.86494,21.35933,17.59725,137.04572,145.91066,73.12125,77.85117,,,,,,,,,,,,2.95184,0.43772,0.25045,0.88031,0.88436,1.67028,0.00000,
9c16_35-33cm_20um_redo3_rec_voi_0999.bmp,20.57079,95,187.42256,41.45609,22.11905,54.74896,332.14600,8.01199,0.43638,0.74540,-1.85663,57,38,10.39231,19.29484,20.04365,135.57415,145.96647,72.33609,77.88095,,,,,,,,,,,,2.48024,0.44437,0.24963,0.87893,0.88609,1.67374,0.00000,
9c16_35-33cm_20um_redo3_rec_voi_0998.bmp,20.55020,85,187.42256,41.39859,22.08837,54.74896,331.25032,8.00149,0.48704,0.78748,-2.67988,56,29,9.55437,25.60459,18.75136,136.46960,146.02397,72.81386,77.91163,,,,,,,,,,,,1.78710,0.44532,0.24995,0.88165,0.88370,1.67331,0.00000,
9c16_35-33cm_20um_redo3_rec_voi_0997.bmp,20.52961,84,187.42256,41.30690,22.03945,54.74896,333.07821,8.06350,0.49175,0.79127,-2.45270,39,45,9.27585,22.75163,18.33798,136.83981,146.11566,73.01139,77.96055,,,,,,,,,,,,0.82152,0.44979,0.24803,0.87737,0.88858,1.66958,0.00000,
9c16_35-33cm_20um_redo3_rec_voi_0996.bmp,20.50902,88,187.42256,41.14397,21.95252,54.74896,336.59167,8.18083,0.46755,0.77155,-2.39008,37,51,10.17559,24.32100,19.82790,136.10299,146.27859,72.61826,78.04748,,,,,,,,,,,,179.03367,0.45059,0.24447,0.86918,0.89795,1.67515,0.00000,
9c16_35-33cm_20um_redo3_rec_voi_0995.bmp,20.48843,86,187.42256,40.97527,21.86251,54.74896,334.81238,8.17108,0.47646,0.77887,-2.96543,41,45,9.74194,28.88936,19.20835,136.70535,146.44729,72.93964,78.13749,,,,,,,,,,,,177.96266,0.44761,0.24477,0.87480,0.89320,1.67274,0.00000,
9c16_35-33cm_20um_redo3_rec_voi_0994.bmp,20.46784,79,187.42256,41.03119,21.89234,54.74896,332.81305,8.11122,0.51938,0.81320,-3.64042,40,39,10.14141,36.91894,19.81804,136.24996,146.39137,72.69667,78.10766,,,,,,,,,,,,176.68894,0.44665,0.24657,0.87972,0.88787,1.64405,0.00000,
9c16_35-33cm_20um_redo3_rec_voi_0993.bmp,20.44724,81,187.42256,41.02822,21.89076,54.74896,332.80185,8.11154,0.50652,0.80307,-2.53412,36,45,8.97205,22.73628,17.94401,137.42228,146.39434,73.32217,78.10924,,,,,,,,,,,,175.78140,0.44880,0.24656,0.87977,0.88784,1.67192,0.00000,
