
<<<<< Begin of task (e3214ecc-c1ec-4a93-890f-7f8ba5a786ad) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_37-35cm_20um\9c16_37-35cm_20um_Rec\VOI\9c16_37-35cm_20um_rec_voi_0111.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 580, 618
Total number of images, 971
Total Z-position range, 80, 1050
Number of images inside VOI, 971
Z-position range of VOI, 80, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 13:49:05 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 13:49:06 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 13:49:06 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5146 speckles removed
[ 01/28/21 13:49:09 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 13:49:09 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7936 speckles removed
[ 01/28/21 13:49:11 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 13:49:59 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:48
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_37-35cm_20um\9c16_37-35cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_37-35cm_20um_rec_voi_1050.bmp,21.62095,85,151.98039,38.31665,25.21158,49.31283,295.25384,7.70563,0.45078,0.75760,-1.48653,51,34,7.94135,11.80535,17.16752,105.72239,113.66374,69.56318,74.78842,,,,,,,,,,,,165.04004,0.36431,0.25955,0.76994,0.97136,1.64425,0.00000,
9c16_37-35cm_20um_rec_voi_1049.bmp,21.60036,77,151.98039,38.19587,25.13210,49.31283,293.53330,7.68495,0.49605,0.79473,-1.94672,45,32,8.01152,15.59638,17.33819,105.77301,113.78453,69.59648,74.86790,,,,,,,,,,,,163.91673,0.36402,0.26025,0.77528,0.96569,1.64400,0.00000,
9c16_37-35cm_20um_rec_voi_1048.bmp,21.57977,73,151.98039,38.17721,25.11982,49.31283,293.04910,7.67602,0.52298,0.81601,-1.83060,43,30,8.19766,15.00740,17.67695,105.60552,113.80319,69.48628,74.88018,,,,,,,,,,,,161.77156,0.36676,0.26055,0.77668,0.96410,1.64319,0.00000,
9c16_37-35cm_20um_rec_voi_1047.bmp,21.55918,73,151.98039,37.99128,24.99749,49.31283,294.74758,7.75830,0.52043,0.81402,-1.41213,39,34,7.50505,10.59813,16.49594,106.48406,113.98911,70.06434,75.00251,,,,,,,,,,,,160.06847,0.36542,0.25779,0.77347,0.96969,1.63138,0.00000,
9c16_37-35cm_20um_rec_voi_1046.bmp,21.53859,76,151.98039,37.86254,24.91278,49.31283,297.64052,7.86108,0.49819,0.79644,-2.77958,31,45,9.37603,26.06260,19.84824,104.74183,114.11785,68.91798,75.08722,,,,,,,,,,,,158.83275,0.37010,0.25442,0.76682,0.97921,1.64461,0.00000,
9c16_37-35cm_20um_rec_voi_1045.bmp,21.51800,82,151.98039,37.76688,24.84984,49.31283,302.22851,8.00248,0.46057,0.76578,-2.62794,39,43,8.69767,22.85726,18.71894,105.51585,114.21352,69.42728,75.15016,,,,,,,,,,,,159.47960,0.37391,0.24992,0.75581,0.99430,1.64690,0.00000,
9c16_37-35cm_20um_rec_voi_1044.bmp,21.49741,78,151.98039,37.65743,24.77782,49.31283,299.52200,7.95386,0.48279,0.78403,-2.09443,46,32,9.12517,19.11205,19.50548,105.19779,114.32296,69.21800,75.22218,,,,,,,,,,,,160.43283,0.38201,0.25145,0.76337,0.98540,1.64537,0.00000,
9c16_37-35cm_20um_rec_voi_1043.bmp,21.47681,79,151.98039,37.50611,24.67826,49.31283,298.32563,7.95405,0.47476,0.77749,-1.83475,49,30,7.85406,14.41121,17.31488,106.62022,114.47428,70.15393,75.32174,,,,,,,,,,,,161.69238,0.38764,0.25144,0.76745,0.98146,1.64495,0.00000,
