
<<<<< Begin of task (a6decc96-fd27-4a97-9490-ab00caf53808) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_38.5-36.5cm_20um\9c16_38.5-36.5cm_20um_Rec\VOI\9c16_38.5-36.5cm_20um_rec_voi_0126.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 638, 548
Total number of images, 811
Total Z-position range, 50, 860
Number of images inside VOI, 811
Z-position range of VOI, 50, 860
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 14:03:40 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 14:03:41 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 14:03:41 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3507 speckles removed
[ 01/28/21 14:03:43 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:03:43 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5599 speckles removed
[ 01/28/21 14:03:45 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:04:27 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:42
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_38.5-36.5cm_20um\9c16_38.5-36.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_38.5-36.5cm_20um_rec_voi_0860.bmp,17.70859,91,148.24237,41.27965,27.84606,48.81864,324.22705,7.85440,0.45362,0.75998,-1.47440,59,32,8.46198,12.50803,17.01186,98.50074,106.96271,66.44574,72.15394,,,,,,,,,,,,14.75562,0.30097,0.25463,0.65980,1.09357,1.59991,0.02059,
9c16_38.5-36.5cm_20um_rec_voi_0859.bmp,17.68800,90,148.24237,41.16501,27.76872,48.81864,321.17695,7.80218,0.45739,0.76313,-1.32280,56,34,8.29481,10.97256,16.77081,98.78254,107.07735,66.63584,72.23128,,,,,,,,,,,,14.18242,0.29578,0.25634,0.66678,1.08328,1.69122,0.00000,
9c16_38.5-36.5cm_20um_rec_voi_0858.bmp,17.66741,88,148.24237,41.01555,27.66790,48.81864,319.70972,7.79484,0.46609,0.77035,-1.02554,54,34,8.26980,8.48110,16.77942,98.95702,107.22681,66.75353,72.33210,,,,,,,,,,,,15.19309,0.27010,0.25658,0.67078,1.07833,1.69121,0.00000,
9c16_38.5-36.5cm_20um_rec_voi_0857.bmp,17.64682,91,148.24237,40.88411,27.57924,48.81864,320.75392,7.84544,0.44928,0.75633,-1.18816,57,34,8.29640,9.85770,16.86929,99.06185,107.35825,66.82425,72.42076,,,,,,,,,,,,19.28357,0.23502,0.25493,0.66941,1.08186,1.69415,0.00000,
9c16_38.5-36.5cm_20um_rec_voi_0856.bmp,17.62623,97,148.24237,40.78076,27.50952,48.81864,320.45322,7.85795,0.42042,0.73164,-1.20772,64,33,8.34230,10.07532,16.98245,99.11931,107.46161,66.86301,72.49048,,,,,,,,,,,,26.07277,0.19711,0.25452,0.67069,1.08084,1.68569,0.00000,
9c16_38.5-36.5cm_20um_rec_voi_0855.bmp,17.60563,96,148.24237,40.77048,27.50258,48.81864,321.72818,7.89120,0.42469,0.73535,-1.16471,63,33,8.37209,9.75121,17.03633,99.09980,107.47189,66.84985,72.49742,,,,,,,,,,,,35.69269,0.18743,0.25345,0.66809,1.08514,1.69694,0.00000,
9c16_38.5-36.5cm_20um_rec_voi_0854.bmp,17.58504,97,148.24237,40.73332,27.47752,48.81864,324.10643,7.95679,0.41993,0.73121,-1.30004,55,42,8.39668,10.91603,17.09074,99.11236,107.50904,66.85832,72.52248,,,,,,,,,,,,47.42254,0.19323,0.25136,0.66342,1.09316,1.70016,0.00000,
9c16_38.5-36.5cm_20um_rec_voi_0853.bmp,17.56445,101,148.24237,40.68621,27.44573,48.81864,327.93607,8.06013,0.40283,0.71617,-1.22290,65,36,8.50888,10.40564,17.29620,99.04728,107.55616,66.81442,72.55427,,,,,,,,,,,,54.80804,0.21187,0.24813,0.65596,1.10608,1.69968,0.00000,
