
<<<<< Begin of task (c0a08a3e-b9a1-4c36-9ede-1ad1d296470c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_40-38cm_20um\9c16_40-38cm_20um_Rec\VOI\9c16_40-38cm_20um_rec_voi_0135.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 951
Total Z-position range, 90, 1040
Number of images inside VOI, 951
Z-position range of VOI, 90, 1040
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 14:13:30 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 14:13:31 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 14:13:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2990 speckles removed
[ 01/28/21 14:13:33 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:13:33 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5410 speckles removed
[ 01/28/21 14:13:35 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:14:08 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_40-38cm_20um\9c16_40-38cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_40-38cm_20um_rec_voi_1040.bmp,21.41504,86,93.99345,34.32639,36.51998,36.26756,277.22776,8.07623,0.39914,0.71289,-1.00760,53,33,7.07786,7.16532,17.09453,52.58920,59.66706,55.94985,63.48002,,,,,,,,,,,,150.31368,0.34187,0.24764,0.43046,1.47472,1.62286,13.06651,
9c16_40-38cm_20um_rec_voi_1039.bmp,21.39445,85,93.99345,34.04910,36.22496,36.26756,275.71692,8.09763,0.40058,0.71416,-1.89034,56,29,7.79645,14.76323,18.63149,52.14791,59.94436,55.48037,63.77504,,,,,,,,,,,,148.49725,0.34444,0.24699,0.43483,1.46668,1.62049,12.95502,
9c16_40-38cm_20um_rec_voi_1038.bmp,21.37386,89,93.99345,33.70777,35.86183,36.26756,273.04953,8.10049,0.37874,0.69442,-1.02474,58,31,7.08025,7.28973,17.35865,53.20543,60.28568,56.60547,64.13817,,,,,,,,,,,,146.34406,0.34239,0.24690,0.44157,1.45249,1.61746,12.72955,
9c16_40-38cm_20um_rec_voi_1037.bmp,21.35327,86,93.99345,33.34170,35.47236,36.26756,268.82997,8.06288,0.38769,0.70259,-0.53419,57,29,7.10171,3.82538,17.55963,53.55004,60.65176,56.97210,64.52764,,,,,,,,,,,,144.04145,0.34574,0.24805,0.45123,1.43005,1.62947,12.17669,
9c16_40-38cm_20um_rec_voi_1036.bmp,21.33267,89,93.99345,32.99682,35.10544,36.26756,265.25327,8.03875,0.37075,0.68706,-0.82879,61,28,7.23501,6.02941,17.98330,53.76162,60.99663,57.19720,64.89456,,,,,,,,,,,,142.07380,0.34623,0.24879,0.45991,1.41102,1.60812,11.83327,
9c16_40-38cm_20um_rec_voi_1035.bmp,21.31208,79,93.99345,32.81625,34.91333,36.26756,265.75953,8.09841,0.41540,0.72725,-1.07330,54,25,6.81429,7.34797,17.19455,54.36292,61.17721,57.83692,65.08667,,,,,,,,,,,,141.18166,0.34413,0.24696,0.46040,1.41371,1.60680,11.53250,
9c16_40-38cm_20um_rec_voi_1034.bmp,21.29149,81,93.99345,32.63403,34.71947,36.26756,266.86975,8.17765,0.40289,0.71622,-0.66840,59,22,6.76649,4.54290,17.17360,54.59294,61.35942,58.08164,65.28053,,,,,,,,,,,,138.41015,0.33204,0.24457,0.45985,1.41962,1.60809,11.48383,
9c16_40-38cm_20um_rec_voi_1033.bmp,21.27090,85,93.99345,32.40422,34.47498,36.26756,267.86984,8.26651,0.38123,0.69670,-0.56566,62,23,7.62027,4.37246,19.03902,53.96896,61.58923,57.41779,65.52502,,,,,,,,,,,,134.54218,0.31769,0.24194,0.45984,1.42494,1.61107,11.36028,
