
<<<<< Begin of task (b2cfa6c9-f428-4326-b978-967e2d732622) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_43-41cm_20um\9c16_43-41cm_20um_Rec\VOI\9c16_43-41cm_20um_rec_voi_0121.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 554, 554
Total number of images, 751
Total Z-position range, 60, 810
Number of images inside VOI, 751
Z-position range of VOI, 60, 810
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 14:29:03 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 14:29:04 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 14:29:04 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1967 speckles removed
[ 01/28/21 14:29:06 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:29:06 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4137 speckles removed
[ 01/28/21 14:29:08 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:29:48 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_43-41cm_20um\9c16_43-41cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_43-41cm_20um_rec_voi_0810.bmp,16.67902,73,101.92108,38.67006,37.94118,37.79011,284.13227,7.34760,0.52973,0.82126,-1.38098,46,27,7.31441,10.10136,15.90625,55.93661,63.25102,54.88228,62.05882,,,,,,,,,,,,149.62300,0.56026,0.27220,0.44522,1.39388,1.67205,2.57210,
9c16_43-41cm_20um_rec_voi_0809.bmp,16.65843,69,101.92108,38.78799,38.05689,37.79011,282.18291,7.27501,0.56214,0.84602,-1.61079,40,29,8.32963,13.41733,17.67838,54.80346,63.13309,53.77048,61.94311,,,,,,,,,,,,148.53428,0.55435,0.27491,0.44746,1.38432,1.67346,2.61329,
9c16_43-41cm_20um_rec_voi_0808.bmp,16.63784,71,101.92108,38.86611,38.13354,37.79011,280.81096,7.22509,0.54741,0.83486,-1.35135,43,28,7.62955,10.31020,16.40916,55.42542,63.05497,54.38072,61.86646,,,,,,,,,,,,147.99257,0.54695,0.27681,0.44909,1.37759,1.67012,2.72124,
9c16_43-41cm_20um_rec_voi_0807.bmp,16.61725,78,101.92108,38.78460,38.05356,37.79011,282.04351,7.27205,0.49724,0.79568,-1.16779,52,26,7.78261,9.08885,16.71265,55.35387,63.13648,54.31052,61.94644,,,,,,,,,,,,147.74245,0.53658,0.27503,0.44771,1.38364,1.66924,2.96127,
9c16_43-41cm_20um_rec_voi_0806.bmp,16.59666,77,101.92108,38.57148,37.84446,37.79011,281.77850,7.30536,0.50093,0.79862,-0.74049,46,31,7.33306,5.43015,15.97459,56.01654,63.34960,54.96070,62.15554,,,,,,,,,,,,147.50858,0.52536,0.27377,0.44964,1.38234,1.66864,3.14556,
9c16_43-41cm_20um_rec_voi_0805.bmp,16.57606,77,101.92108,38.47566,37.75044,37.79011,281.89549,7.32659,0.49968,0.79763,-0.58221,48,29,7.17581,4.17796,15.71868,56.26961,63.44542,55.20901,62.24956,,,,,,,,,,,,147.62386,0.51213,0.27298,0.45013,1.38291,1.66992,2.65240,
9c16_43-41cm_20um_rec_voi_0804.bmp,16.55547,78,101.92108,38.35985,37.63682,37.79011,282.32887,7.36001,0.49179,0.79131,-0.73845,49,29,7.55005,5.57540,16.44536,56.01118,63.56123,54.95544,62.36318,,,,,,,,,,,,148.18842,0.49638,0.27174,0.45026,1.38504,1.66913,2.75182,
9c16_43-41cm_20um_rec_voi_0803.bmp,16.53488,81,101.92108,38.21956,37.49917,37.79011,282.09918,7.38102,0.47185,0.77510,-1.56165,54,27,8.18404,12.78096,17.63665,55.51748,63.70152,54.47105,62.50083,,,,,,,,,,,,149.07444,0.47792,0.27097,0.45163,1.38391,1.66734,2.80757,
