
<<<<< Begin of task (6559dd30-9f9d-4103-aaf9-a4076be9c18a) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_45-43cm_20um\9c16_45-43cm_20um_Rec\VOI\9c16_45-43cm_20um_rec_voi_0474.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 540, 561
Total number of images, 601
Total Z-position range, 470, 1070
Number of images inside VOI, 601
Z-position range of VOI, 470, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 14:34:27 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 14:34:27 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 14:34:27 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1422 speckles removed
[ 01/28/21 14:34:30 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:34:30 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2316 speckles removed
[ 01/28/21 14:34:31 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:34:52 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:21
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_45-43cm_20um\9c16_45-43cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_45-43cm_20um_rec_voi_1070.bmp,22.03278,63,128.44811,29.78488,23.18826,45.31810,233.31676,7.83340,0.47278,0.77586,-2.35962,35,28,8.08599,19.15116,21.35148,90.57725,98.66323,70.51660,76.81174,,,,,,,,,,,,100.42997,0.39924,0.25532,0.84574,0.90821,1.56510,0.37064,
9c16_45-43cm_20um_rec_voi_1069.bmp,22.01219,62,128.44811,29.96789,23.33073,45.31810,230.68314,7.69768,0.48335,0.78449,-0.18430,28,34,10.29500,12.52724,25.56946,88.18522,98.48022,68.65435,76.66927,,,,,,,,,,,,102.07210,0.40641,0.25982,0.85381,0.89796,1.55707,0.18532,
9c16_45-43cm_20um_rec_voi_1068.bmp,21.99160,60,128.44811,30.15514,23.47651,45.31810,229.83400,7.62172,0.50259,0.79994,-0.17786,25,35,6.56805,13.51590,17.88530,91.72492,98.29297,71.41010,76.52349,,,,,,,,,,,,104.08980,0.41298,0.26241,0.85534,0.89466,1.55386,0.18532,
9c16_45-43cm_20um_rec_voi_1067.bmp,21.97101,64,128.44811,30.18556,23.50020,45.31810,225.95354,7.48548,0.47165,0.77493,-2.17857,28,36,10.02465,21.88022,24.93060,88.23790,98.26255,68.69537,76.49980,,,,,,,,,,,,106.32410,0.41457,0.26718,0.86976,0.87955,1.55814,0.18532,
9c16_45-43cm_20um_rec_voi_1066.bmp,21.95042,63,128.44811,30.15689,23.47788,45.31810,221.33728,7.33953,0.47868,0.78069,-2.11772,29,34,9.19831,19.51853,23.37255,89.09291,98.29122,69.36101,76.52212,,,,,,,,,,,,109.05985,0.41433,0.27250,0.88816,0.86158,1.55380,0.16473,
9c16_45-43cm_20um_rec_voi_1065.bmp,21.92982,60,128.44811,30.13166,23.45823,45.31810,218.33458,7.24602,0.50219,0.79963,-2.04546,29,31,6.62890,13.59705,18.03263,91.68756,98.31645,71.38101,76.54177,,,,,,,,,,,,111.31254,0.40780,0.27601,0.90060,0.84989,1.54949,0.14414,
9c16_45-43cm_20um_rec_voi_1064.bmp,21.90923,63,128.44811,30.13696,23.46236,45.31810,220.63132,7.32096,0.47836,0.78043,-1.61404,33,30,4.93378,7.99918,14.06807,93.37738,98.31115,72.69657,76.53764,,,,,,,,,,,,113.20509,0.40996,0.27319,0.89118,0.85883,1.57025,0.12355,
9c16_45-43cm_20um_rec_voi_1063.bmp,21.88864,54,128.44811,30.15662,23.47767,45.31810,222.76248,7.38685,0.55846,0.84324,-2.71963,21,33,6.90710,18.82327,18.63574,91.38439,98.29149,71.14499,76.52233,,,,,,,,,,,,114.40043,0.42159,0.27075,0.88248,0.86713,1.55152,0.10296,
