
<<<<< Begin of task (b98bab96-b4b1-44d4-a1c3-159883081161) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_46-44cm_20um_redo\9c16_46-44cm_20um_redo_Rec\VOI\9c16_46-44cm_20um_redo_rec_voi_0083.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 573, 658
Total number of images, 731
Total Z-position range, 40, 770
Number of images inside VOI, 731
Z-position range of VOI, 40, 770
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 14:39:59 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 14:40:00 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 14:40:00 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1535 speckles removed
[ 01/28/21 14:40:02 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:40:02 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3329 speckles removed
[ 01/28/21 14:40:04 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 14:40:48 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:44
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_46-44cm_20um_redo\9c16_46-44cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_46-44cm_20um_redo_rec_voi_0770.bmp,15.85537,55,159.86435,25.93533,16.22334,50.67186,203.30464,7.83891,0.47155,0.77485,-0.63886,38,17,5.21510,3.35209,16.74167,128.71391,133.92901,80.51446,83.77666,,,,,,,,,,,,175.69349,0.29379,0.25514,1.31752,0.63587,1.53641,0.18532,
9c16_46-44cm_20um_redo_rec_voi_0769.bmp,15.83477,57,159.86435,25.96851,16.24409,50.67186,204.36954,7.86990,0.45559,0.76162,-0.34122,39,18,5.31013,1.84282,16.97687,128.58570,133.89583,80.43426,83.75591,,,,,,,,,,,,179.63402,0.27919,0.25413,1.31033,0.63920,1.54193,0.18532,
9c16_46-44cm_20um_redo_rec_voi_0768.bmp,15.81418,62,159.86435,25.94890,16.23183,50.67186,203.69356,7.84980,0.41853,0.72999,-0.92043,44,18,10.11284,9.32817,28.04313,123.80260,133.91544,77.44229,83.76817,,,,,,,,,,,,3.08312,0.26407,0.25478,1.31487,0.63708,1.53835,0.08237,
9c16_46-44cm_20um_redo_rec_voi_0767.bmp,15.79359,66,159.86435,25.92012,16.21382,50.67186,205.42873,7.92545,0.39273,0.70713,-4.32153,46,20,1.72793,7.46729,6.24972,132.21630,133.94422,82.70531,83.78618,,,,,,,,,,,,4.47638,0.25643,0.25235,1.30405,0.64251,1.53941,0.00000,
9c16_46-44cm_20um_redo_rec_voi_0766.bmp,15.77300,66,159.86435,25.87168,16.18352,50.67186,205.38755,7.93870,0.39200,0.70647,-0.74042,47,19,10.13213,7.50200,28.14183,123.86053,133.99267,77.47852,83.81648,,,,,,,,,,,,1.55767,0.25773,0.25193,1.30478,0.64238,1.53778,0.00000,
9c16_46-44cm_20um_redo_rec_voi_0765.bmp,15.75241,54,159.86435,25.77835,16.12514,50.67186,203.00758,7.87512,0.47738,0.77962,-1.30766,36,18,6.95178,9.09057,21.23969,127.13422,134.08600,79.52632,83.87486,,,,,,,,,,,,179.41199,0.27779,0.25396,1.32100,0.63494,1.53004,0.00000,
9c16_46-44cm_20um_redo_rec_voi_0764.bmp,15.73182,59,159.86435,25.57652,15.99889,50.67186,203.65359,7.96252,0.43350,0.74293,-0.96610,40,19,5.75009,5.55527,18.35530,128.53773,134.28783,80.40425,84.00111,,,,,,,,,,,,0.25202,0.28482,0.25118,1.31879,0.63696,1.53117,0.00000,
9c16_46-44cm_20um_redo_rec_voi_0763.bmp,15.71123,63,159.86435,25.49914,15.95048,50.67186,204.36369,8.01453,0.40475,0.71787,0.88385,45,18,5.57084,6.26415,17.92999,128.79436,134.36521,80.56478,84.04952,,,,,,,,,,,,4.03905,0.30776,0.24955,1.31496,0.63918,1.53114,0.00000,
