
<<<<< Begin of task (8cefbc17-8cd6-492e-9552-d13a92773b83) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_48-46cm_20um\9c16_48-46cm_20um_Rec\VOI\9c16_48-46cm_20um_rec_voi_0176.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 569, 546
Total number of images, 881
Total Z-position range, 120, 1000
Number of images inside VOI, 881
Z-position range of VOI, 120, 1000
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:00:06 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 15:00:07 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:00:07 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
8347 speckles removed
[ 01/28/21 15:00:09 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:00:09 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
18023 speckles removed
[ 01/28/21 15:00:11 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:00:41 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:30
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_48-46cm_20um\9c16_48-46cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_48-46cm_20um_rec_voi_1000.bmp,20.59138,94,131.72737,29.71179,22.55552,45.89466,269.65220,9.07560,0.31608,0.63439,-1.75453,67,27,6.81657,11.99763,18.66104,95.19901,102.01558,72.26973,77.44448,,,,,,,,,,,,162.30466,0.30404,0.22037,0.75665,1.02352,1.61782,0.14414,
9c16_48-46cm_20um_rec_voi_0999.bmp,20.57079,95,131.72737,29.95003,22.73637,45.89466,270.88562,9.04459,0.31526,0.63357,-1.92014,62,33,6.88812,13.26431,18.69834,94.88922,101.77734,72.03455,77.26363,,,,,,,,,,,,161.31472,0.30455,0.22113,0.75144,1.02821,1.61031,0.14414,
9c16_48-46cm_20um_rec_voi_0998.bmp,20.55020,108,131.72737,30.19749,22.92423,45.89466,274.50934,9.09047,0.27961,0.59666,-1.81679,69,39,6.98628,12.73064,18.78852,94.54360,101.52988,71.77218,77.07577,,,,,,,,,,,,161.77737,0.29658,0.22001,0.73972,1.04196,1.61446,0.14414,
9c16_48-46cm_20um_rec_voi_0997.bmp,20.52961,104,131.72737,30.45719,23.12138,45.89466,277.04612,9.09625,0.29286,0.61064,-1.58970,64,40,7.00918,11.17862,18.70792,94.26100,101.27018,71.55765,76.87862,,,,,,,,,,,,162.65887,0.29084,0.21987,0.73107,1.05159,1.61554,0.12355,
9c16_48-46cm_20um_rec_voi_0996.bmp,20.50902,110,131.72737,30.67629,23.28771,45.89466,276.15908,9.00236,0.27888,0.59588,-0.90354,76,34,6.97605,6.33596,18.52753,94.07502,101.05107,71.41646,76.71229,,,,,,,,,,,,164.00181,0.27954,0.22216,0.73183,1.04822,1.62023,0.12355,
9c16_48-46cm_20um_rec_voi_0995.bmp,20.48843,109,131.72737,30.89285,23.45212,45.89466,272.61565,8.82455,0.28342,0.60072,-0.97306,76,33,6.94213,6.78776,18.34844,93.89238,100.83451,71.27781,76.54788,,,,,,,,,,,,160.84386,0.29171,0.22664,0.73976,1.03477,1.61993,0.10296,
9c16_48-46cm_20um_rec_voi_0994.bmp,20.46784,99,131.72737,31.14927,23.64677,45.89466,271.35311,8.71138,0.31464,0.63294,-1.17960,54,45,6.82760,8.08648,17.97830,93.75050,100.57810,71.17010,76.35323,,,,,,,,,,,,159.28851,0.30262,0.22958,0.74131,1.02998,1.61928,0.08237,
9c16_48-46cm_20um_rec_voi_0993.bmp,20.44724,103,131.72737,31.49250,23.90734,45.89466,270.30306,8.58309,0.30575,0.62394,-1.14510,61,42,6.86671,7.89591,17.90107,93.36815,100.23486,70.87985,76.09266,,,,,,,,,,,,157.59072,0.31516,0.23302,0.74165,1.02599,1.62227,0.08237,
