
-----------------------------------------------------------------
Loaded dataset:, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_5-3cm_20um\9c16_5-3cm_20um_Rec\VOI\9c16_5-3cm_20um_rec_voi_

<<<<< Begin of task (2f5eb1a3-62f7-4606-b407-2af49a039883) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_5-3cm_20um\9c16_5-3cm_20um_Rec\VOI\9c16_5-3cm_20um_rec_voi_0080.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1023
Total Z-position range, 76, 1098
Number of images inside VOI, 1023
Z-position range of VOI, 76, 1098
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 14:41:31 ] Thresholding
Mode, Global
Lower grey threshold, 93
Upper grey threshold, 200
[ 12/24/20 14:41:32 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 14:41:32 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
20778 speckles removed
[ 12/24/20 14:41:35 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 14:41:35 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 14:41:38 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 14:42:38 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:01:00
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_5-3cm_20um\9c16_5-3cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,93
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_5-3cm_20um_rec_voi_1098.bmp,22.60934,224,95.03969,32.34560,34.03378,36.46641,330.96926,10.23228,0.14440,0.42878,-3.45788,138,86,8.15908,28.30911,20.14354,54.53501,62.69409,57.38130,65.96622,,,,,,,,,,,,117.33461,0.29703,0.19546,0.37885,1.74122,1.64801,8.07179,
9c16_5-3cm_20um_rec_voi_1097.bmp,22.58875,212,95.03969,32.42028,34.11236,36.46641,324.62818,10.01312,0.15293,0.44126,-3.00516,141,71,8.07592,24.32130,19.94241,54.54349,62.61941,57.39022,65.88764,,,,,,,,,,,,117.95727,0.29929,0.19974,0.38579,1.70786,1.64807,7.96780,
9c16_5-3cm_20um_rec_voi_1096.bmp,22.56816,203,95.03969,32.38079,34.07081,36.46641,321.89805,9.94102,0.15951,0.45066,-3.17041,131,72,8.05748,25.58676,19.92537,54.60142,62.65889,57.45118,65.92919,,,,,,,,,,,,118.68234,0.29967,0.20119,0.38931,1.69349,1.64369,7.96677,
9c16_5-3cm_20um_rec_voi_1095.bmp,22.54757,199,95.03969,32.27283,33.95722,36.46641,320.20820,9.92191,0.16218,0.45441,-3.38771,132,67,8.07417,27.40380,20.01182,54.69269,62.76686,57.54721,66.04278,,,,,,,,,,,,117.00801,0.29786,0.20157,0.39204,1.68460,1.62413,8.16811,
9c16_5-3cm_20um_rec_voi_1094.bmp,22.52697,192,95.03969,32.15597,33.83425,36.46641,317.64644,9.87831,0.16748,0.46178,-3.13768,126,66,8.00018,25.15359,19.92268,54.88354,62.88372,57.74802,66.16575,,,,,,,,,,,,115.54029,0.29934,0.20246,0.39594,1.67113,1.64253,8.26857,
9c16_5-3cm_20um_rec_voi_1093.bmp,22.50638,195,95.03969,32.06608,33.73967,36.46641,317.37815,9.89763,0.16444,0.45757,-2.68403,132,63,7.92566,21.32016,19.81825,55.04795,62.97361,57.92101,66.26033,,,,,,,,,,,,113.97290,0.30092,0.20207,0.39684,1.66971,1.64122,8.40315,
9c16_5-3cm_20um_rec_voi_1092.bmp,22.48579,190,95.03969,31.85699,33.51967,36.46641,309.23330,9.70692,0.16767,0.46204,-2.58091,132,58,7.82692,20.24684,19.72316,55.35578,63.18270,58.24491,66.48033,,,,,,,,,,,,111.73432,0.30787,0.20604,0.40864,1.62686,1.63737,8.18017,
9c16_5-3cm_20um_rec_voi_1091.bmp,22.46520,179,95.03969,31.72751,33.38343,36.46641,306.73614,9.66783,0.17725,0.47506,-2.72704,123,56,7.73873,21.14872,19.60848,55.57345,63.31218,58.47394,66.61657,,,,,,,,,,,,110.28429,0.31698,0.20687,0.41281,1.61373,1.63550,8.15708,
