
<<<<< Begin of task (9ffbde5e-4636-4d3a-86ef-13f00bbcda6d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_50-48cm_20um\9c16_50-48cm_20um_Rec\VOI\9c16_50-48cm_20um_rec_voi_0065.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 609, 584
Total number of images, 901
Total Z-position range, 50, 950
Number of images inside VOI, 901
Z-position range of VOI, 50, 950
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 15:11:13 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 15:11:14 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 15:11:14 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3245 speckles removed
[ 01/28/21 15:11:19 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:11:19 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5681 speckles removed
[ 01/28/21 15:11:22 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 15:12:05 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\50-33cm\9c16_50-48cm_20um\9c16_50-48cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_50-48cm_20um_rec_voi_0950.bmp,19.56182,68,150.79996,33.00668,21.88772,49.10692,252.13274,7.63884,0.48539,0.78614,-0.16051,32,36,0.51856,14.44182,1.54677,117.27473,117.79329,77.76841,78.11228,,,,,,,,,,,,54.07101,0.50084,0.26182,0.93438,0.83598,1.57643,0.16473,
9c16_50-48cm_20um_rec_voi_0949.bmp,19.54122,74,150.79996,33.22684,22.03372,49.10692,257.70169,7.75583,0.44901,0.75611,-0.28343,39,35,9.62481,2.74629,22.46077,107.94831,117.57312,71.58378,77.96628,,,,,,,,,,,,54.48084,0.51096,0.25787,0.91247,0.85445,1.57856,0.14414,
9c16_50-48cm_20um_rec_voi_0948.bmp,19.52063,71,150.79996,33.56525,22.25813,49.10692,263.43331,7.84839,0.47275,0.77584,-1.26238,42,29,8.35836,10.55139,19.93712,108.87635,117.23471,72.19919,77.74187,,,,,,,,,,,,54.05308,0.51868,0.25483,0.89005,0.87345,1.58256,0.00000,
9c16_50-48cm_20um_rec_voi_0947.bmp,19.50004,66,150.79996,33.96159,22.52095,49.10692,265.82484,7.82722,0.51457,0.80943,-1.69218,34,32,6.95400,11.76745,16.99597,109.88437,116.83837,72.86764,77.47905,,,,,,,,,,,,53.09734,0.52609,0.25552,0.87906,0.88138,1.58315,0.00000,
9c16_50-48cm_20um_rec_voi_0946.bmp,19.47945,66,150.79996,34.39153,22.80606,49.10692,268.86166,7.81767,0.52108,0.81453,-1.19999,33,33,8.02891,9.63487,18.92698,108.37952,116.40843,71.86973,77.19394,,,,,,,,,,,,52.42194,0.52787,0.25583,0.86594,0.89145,1.58626,0.00000,
9c16_50-48cm_20um_rec_voi_0945.bmp,19.45886,70,150.79996,34.86435,23.11960,49.10692,271.65295,7.79171,0.49806,0.79634,-1.20468,39,31,7.94941,9.57663,18.56741,107.98621,115.93561,71.60891,76.88040,,,,,,,,,,,,51.69180,0.52550,0.25668,0.85356,0.90071,1.59558,0.00000,
9c16_50-48cm_20um_rec_voi_0944.bmp,19.43827,72,150.79996,35.31910,23.42116,49.10692,275.48466,7.79988,0.49054,0.79030,-0.61532,43,29,9.69058,5.96283,21.53000,105.79028,115.48087,70.15272,76.57884,,,,,,,,,,,,50.85423,0.51327,0.25641,0.83838,0.91341,1.59619,0.00000,
9c16_50-48cm_20um_rec_voi_0943.bmp,19.41768,73,150.79996,35.85027,23.77339,49.10692,279.09683,7.78507,0.49110,0.79075,-0.16121,45,28,8.84130,1.42537,19.78293,106.10839,114.94970,70.36367,76.22661,,,,,,,,,,,,50.95794,0.49825,0.25690,0.82373,0.92539,1.60084,0.00000,
