
<<<<< Begin of task (1c069ae3-55d0-455a-bd40-2c607c950637) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_50-48cm_20um_redo\9c16_50-48cm_20um_redo_Rec\VOI\9c16_50-48cm_20um_redo_rec_voi_0571.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 561, 548
Total number of images, 481
Total Z-position range, 570, 1050
Number of images inside VOI, 481
Z-position range of VOI, 570, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 11:09:05 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 11:09:05 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 11:09:05 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7415 speckles removed
[ 01/28/21 11:09:07 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:09:07 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
10496 speckles removed
[ 01/28/21 11:09:08 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:09:29 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:21
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_50-48cm_20um_redo\9c16_50-48cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_50-48cm_20um_redo_rec_voi_1050.bmp,21.62095,130,130.35105,33.75245,25.89350,45.64757,346.35142,10.26152,0.25963,0.57496,-0.63138,91,39,8.64965,5.48177,20.39911,87.94894,96.59860,67.47084,74.10650,,,,,,,,,,,,69.32879,0.17763,0.19490,0.55781,1.32853,1.68296,0.18532,
9c16_50-48cm_20um_redo_rec_voi_1049.bmp,21.60036,127,130.35105,33.54310,25.73290,45.64757,342.88621,10.22226,0.26412,0.57990,-0.75896,91,36,8.56814,6.50306,20.34644,88.23981,96.80795,67.69398,74.26710,,,,,,,,,,,,57.17081,0.10368,0.19565,0.56467,1.31524,1.68051,0.00000,
9c16_50-48cm_20um_redo_rec_voi_1048.bmp,21.57977,131,130.35105,33.47679,25.68203,45.64757,339.17376,10.13161,0.25555,0.57042,-0.63468,104,27,8.58170,5.44715,20.40421,88.29255,96.87425,67.73444,74.31797,,,,,,,,,,,,19.80942,0.10679,0.19740,0.57124,1.30100,1.68154,0.00000,
9c16_50-48cm_20um_redo_rec_voi_1047.bmp,21.55918,145,130.35105,33.42480,25.64214,45.64757,339.96587,10.17107,0.23052,0.54176,-0.60987,113,32,8.52812,5.20141,20.32784,88.39812,96.92625,67.81543,74.35786,,,,,,,,,,,,10.72424,0.15869,0.19664,0.57021,1.30404,1.67292,0.00000,
9c16_50-48cm_20um_redo_rec_voi_1046.bmp,21.53859,130,130.35105,33.43408,25.64926,45.64757,334.69655,10.01064,0.25719,0.57224,-0.85637,94,36,8.40993,7.20231,20.09829,88.50704,96.91697,67.89899,74.35074,,,,,,,,,,,,5.69499,0.19047,0.19979,0.57913,1.28383,1.67690,0.00000,
9c16_50-48cm_20um_redo_rec_voi_1045.bmp,21.51800,124,130.35105,33.41070,25.63133,45.64757,334.20513,10.00294,0.26944,0.58572,-0.94383,89,35,8.36944,7.89949,20.03209,88.57091,96.94034,67.94798,74.36867,,,,,,,,,,,,2.67410,0.23722,0.19994,0.58012,1.28194,1.67548,0.00000,
9c16_50-48cm_20um_redo_rec_voi_1044.bmp,21.49741,119,130.35105,33.44208,25.65540,45.64757,333.58618,9.97504,0.28103,0.59817,-1.40437,81,38,8.36589,11.74912,20.01027,88.54308,96.90897,67.92664,74.34460,,,,,,,,,,,,179.79475,0.26615,0.20050,0.58101,1.27957,1.67093,0.00000,
9c16_50-48cm_20um_redo_rec_voi_1043.bmp,21.47681,116,130.35105,33.48172,25.68581,45.64757,329.40159,9.83825,0.28864,0.60622,-1.21706,75,41,8.27987,10.07804,19.82651,88.58946,96.86932,67.96221,74.31419,,,,,,,,,,,,178.81717,0.28493,0.20329,0.58815,1.26352,1.66502,0.00000,
