
<<<<< Begin of task (9897d8cf-90bc-42d4-89b0-48bf85c3816d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_52-50cm_20um\9c16_54-52cm_20um_Rec\VOI\9c16_54-52cm_20um_rec_voi_0065.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 584, 540
Total number of images, 1001
Total Z-position range, 50, 1050
Number of images inside VOI, 1001
Z-position range of VOI, 50, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 11:12:41 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 11:12:42 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 11:12:42 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4031 speckles removed
[ 01/28/21 11:12:44 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:12:44 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
8679 speckles removed
[ 01/28/21 11:12:46 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:13:24 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:38
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_52-50cm_20um\9c16_54-52cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_54-52cm_20um_rec_voi_1050.bmp,21.62095,113,133.71425,31.73631,23.73442,46.26531,296.51052,9.34294,0.28085,0.59799,-0.09130,82,31,7.48645,0.71290,19.08700,94.49150,101.97795,70.66674,76.26558,,,,,,,,,,,,142.39332,0.35493,0.21407,0.68785,1.10875,1.63423,0.08237,
9c16_54-52cm_20um_rec_voi_1049.bmp,21.60036,114,133.71425,31.52287,23.57480,46.26531,292.69915,9.28529,0.27652,0.59336,-0.01119,85,29,7.42565,0.08310,19.06530,94.76573,102.19138,70.87182,76.42520,,,,,,,,,,,,144.08565,0.35108,0.21539,0.69827,1.09449,1.63147,0.00000,
9c16_54-52cm_20um_rec_voi_1048.bmp,21.57977,108,133.71425,31.44523,23.51673,46.26531,290.13325,9.22662,0.29116,0.60886,0.12015,85,23,7.36550,-0.88495,18.97800,94.90353,102.26903,70.97488,76.48327,,,,,,,,,,,,145.36247,0.32954,0.21676,0.70498,1.08490,1.63206,0.00000,
9c16_54-52cm_20um_rec_voi_1047.bmp,21.55918,93,133.71425,31.41041,23.49069,46.26531,286.88845,9.13355,0.33775,0.65577,-0.06569,71,22,7.27974,0.47823,18.81550,95.02411,102.30385,71.06505,76.50931,,,,,,,,,,,,148.28266,0.28904,0.21897,0.71320,1.07277,1.62887,0.00000,
9c16_54-52cm_20um_rec_voi_1046.bmp,21.53859,92,133.71425,31.38263,23.46992,46.26531,284.88755,9.07787,0.34112,0.65903,0.02125,74,18,7.22982,-0.15365,18.72406,95.10180,102.33162,71.12316,76.53008,,,,,,,,,,,,151.12656,0.24563,0.22032,0.71840,1.06528,1.62683,0.00000,
9c16_54-52cm_20um_rec_voi_1045.bmp,21.51800,97,133.71425,31.36716,23.45835,46.26531,281.20129,8.96483,0.32337,0.64166,0.43476,82,15,7.12880,-3.09932,18.51830,95.21830,102.34710,71.21028,76.54165,,,,,,,,,,,,155.02185,0.18280,0.22309,0.72793,1.05150,1.62531,0.00000,
9c16_54-52cm_20um_rec_voi_1044.bmp,21.49741,96,133.71425,31.28336,23.39568,46.26531,279.53607,8.93561,0.32587,0.64413,0.31176,79,17,7.11507,-2.21828,18.52959,95.31582,102.43089,71.28322,76.60432,,,,,,,,,,,,176.90247,0.14454,0.22382,0.73286,1.04527,1.63165,0.00000,
9c16_54-52cm_20um_rec_voi_1043.bmp,21.47681,98,133.71425,31.29311,23.40298,46.26531,285.15085,9.11226,0.31932,0.63763,-0.13138,74,24,7.27561,0.95586,18.86401,95.14553,102.42114,71.15586,76.59702,,,,,,,,,,,,14.97777,0.13959,0.21948,0.71836,1.06627,1.61822,0.00000,
