
<<<<< Begin of task (8c8502b4-981c-4aa4-8b73-c969e07aac8d) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_56-54cm_20um_redo\9c16_56-54cm_20um_redo_Rec\VOI\9c16_56-54cm_20um_redo_rec_voi_0125.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 941
Total Z-position range, 110, 1050
Number of images inside VOI, 941
Z-position range of VOI, 110, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 11:28:48 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 11:28:48 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 11:28:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3582 speckles removed
[ 01/28/21 11:28:51 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:28:51 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5672 speckles removed
[ 01/28/21 11:28:52 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:29:24 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_56-54cm_20um_redo\9c16_56-54cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_56-54cm_20um_redo_rec_voi_1050.bmp,21.62095,87,93.99345,29.58946,31.48034,36.26756,264.12514,8.92632,0.34011,0.65806,-0.38632,62,25,6.70235,2.61973,18.46795,57.70164,64.40399,61.38900,68.51966,,,,,,,,,,,,153.59301,0.45384,0.22406,0.48768,1.40502,1.61701,10.75356,
9c16_56-54cm_20um_redo_rec_voi_1049.bmp,21.60036,91,93.99345,29.26515,31.13531,36.26756,265.76867,9.08140,0.32160,0.63990,-0.72200,59,32,7.11428,5.16821,19.55577,57.61403,64.72830,61.29579,68.86469,,,,,,,,,,,,154.47682,0.46360,0.22023,0.48710,1.41376,1.61858,10.37146,
9c16_56-54cm_20um_redo_rec_voi_1048.bmp,21.57977,92,93.99345,28.93496,30.78401,36.26756,263.16123,9.09492,0.31451,0.63281,-0.77969,64,28,6.84164,5.35414,19.12323,58.21686,65.05850,61.93714,69.21599,,,,,,,,,,,,155.23106,0.46508,0.21990,0.49444,1.39989,1.61638,10.40058,
9c16_56-54cm_20um_redo_rec_voi_1047.bmp,21.55918,96,93.99345,28.54471,30.36883,36.26756,262.30260,9.18918,0.29734,0.61529,-0.47909,63,33,6.63335,3.19679,18.85649,58.81539,65.44874,62.57392,69.63117,,,,,,,,,,,,155.30424,0.45309,0.21765,0.49903,1.39532,1.61622,10.51207,
9c16_56-54cm_20um_redo_rec_voi_1046.bmp,21.53859,99,93.99345,28.17541,29.97592,36.26756,259.75412,9.21918,0.28460,0.60197,0.00411,66,33,6.80936,-0.01097,19.46379,59.00869,65.81805,62.77957,70.02408,,,,,,,,,,,,156.37515,0.44112,0.21694,0.50677,1.38177,1.61406,10.88418,
9c16_56-54cm_20um_redo_rec_voi_1045.bmp,21.51800,96,93.99345,27.87865,29.66021,36.26756,256.76640,9.21014,0.29040,0.60807,0.47949,71,25,6.95914,-3.32144,19.97584,59.15566,66.11480,62.93593,70.33979,,,,,,,,,,,,157.33634,0.42580,0.21715,0.51498,1.36587,1.60764,10.82094,
9c16_56-54cm_20um_redo_rec_voi_1044.bmp,21.49741,101,93.99345,27.45688,29.21148,36.26756,253.27172,9.22435,0.27185,0.58833,0.38477,81,20,6.55300,-2.50571,19.26793,59.98358,66.53658,63.81676,70.78852,,,,,,,,,,,,157.56106,0.40483,0.21682,0.52542,1.34728,1.60402,10.91787,
9c16_56-54cm_20um_redo_rec_voi_1043.bmp,21.47681,98,93.99345,27.08015,28.81067,36.26756,250.19372,9.23901,0.27633,0.59315,0.46947,80,18,6.58946,-3.07813,19.57095,60.32384,66.91331,64.17877,71.18933,,,,,,,,,,,,156.54863,0.37812,0.21647,0.53489,1.33091,1.59753,11.22320,
