
<<<<< Begin of task (1b96c08a-2f6d-4f60-baad-15b1be66b0e6) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_57-55cm_20um\9c16_57-55cm_20um_Rec\VOI\9c16_57-55cm_20um_rec_voi_0052.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 554, 534
Total number of images, 1001
Total Z-position range, 50, 1050
Number of images inside VOI, 1001
Z-position range of VOI, 50, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 11:32:57 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 11:32:57 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 11:32:57 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4102 speckles removed
[ 01/28/21 11:33:00 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:33:00 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5923 speckles removed
[ 01/28/21 11:33:02 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:33:34 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_57-55cm_20um\9c16_57-55cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_57-55cm_20um_rec_voi_1050.bmp,21.62095,105,125.43598,23.56557,18.78693,44.78273,228.04386,9.67699,0.22443,0.53456,0.55352,79,26,6.64511,-3.63591,21.99591,95.22530,101.87041,75.91546,81.21307,,,,,,,,,,,,81.06387,0.41604,0.20668,0.89343,0.90901,1.56943,0.20591,
9c16_57-55cm_20um_rec_voi_1049.bmp,21.60036,93,125.43598,23.73840,18.92472,44.78273,228.86545,9.64115,0.25525,0.57008,0.25288,73,20,6.40189,-1.59055,21.24032,95.29568,101.69757,75.97157,81.07528,,,,,,,,,,,,79.88853,0.40091,0.20744,0.88871,0.91228,1.57628,0.08237,
9c16_57-55cm_20um_rec_voi_1048.bmp,21.57977,91,125.43598,23.86682,19.02710,44.78273,228.15671,9.55958,0.26227,0.57787,0.54444,72,19,6.70432,-3.62264,21.93021,94.86484,101.56915,75.62809,80.97290,,,,,,,,,,,,79.51514,0.38379,0.20921,0.89035,0.90945,1.57654,0.08237,
9c16_57-55cm_20um_rec_voi_1047.bmp,21.55918,90,125.43598,24.05853,19.17993,44.78273,228.23408,9.48662,0.26732,0.58340,0.53764,71,19,6.16869,-3.28904,20.40774,95.20876,101.37745,75.90227,80.82007,,,,,,,,,,,,79.48720,0.36404,0.21082,0.88836,0.90976,1.57507,0.08237,
9c16_57-55cm_20um_rec_voi_1046.bmp,21.53859,92,125.43598,24.27816,19.35502,44.78273,229.94427,9.47124,0.26389,0.57965,1.00500,65,27,7.53367,-7.54570,23.68197,93.62415,101.15782,74.63899,80.64498,,,,,,,,,,,,78.84993,0.34224,0.21117,0.87985,0.91658,1.57638,0.10296,
9c16_57-55cm_20um_rec_voi_1045.bmp,21.51800,85,125.43598,24.53161,19.55708,44.78273,228.85475,9.32897,0.28861,0.60619,-0.31474,60,25,7.35644,2.34573,23.06957,93.54793,100.90437,74.57823,80.44292,,,,,,,,,,,,79.30743,0.33676,0.21439,0.88182,0.91224,1.56607,0.12355,
9c16_57-55cm_20um_rec_voi_1044.bmp,21.49741,82,125.43598,24.73821,19.72178,44.78273,227.48401,9.19565,0.30169,0.61977,-0.69785,51,31,7.56213,5.30932,23.41193,93.13564,100.69777,74.24954,80.27822,,,,,,,,,,,,80.98828,0.34361,0.21749,0.88532,0.90677,1.57581,0.14414,
9c16_57-55cm_20um_rec_voi_1043.bmp,21.47681,87,125.43598,25.00766,19.93659,44.78273,227.30222,9.08930,0.28744,0.60497,0.91350,52,35,6.98548,-6.35640,21.83431,93.44283,100.42832,74.49444,80.06341,,,,,,,,,,,,80.75804,0.34891,0.22004,0.88365,0.90605,1.57784,0.16473,
