
<<<<< Begin of task (1361fe32-8313-4378-8442-f6a5036b7027) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_61.5-59.5cm_20um\9c16_61.5-59.5cm_20um_Rec\VOI\9c16_61.5-59.5cm_20um_rec_voi_0315.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 561
Total number of images, 751
Total Z-position range, 300, 1050
Number of images inside VOI, 751
Z-position range of VOI, 300, 1050
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 11:52:58 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 11:52:59 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 11:52:59 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2146 speckles removed
[ 01/28/21 11:53:01 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:53:01 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4100 speckles removed
[ 01/28/21 11:53:02 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:53:24 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:22
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_61.5-59.5cm_20um\9c16_61.5-59.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_61.5-59.5cm_20um_rec_voi_1050.bmp,21.62095,81,127.49664,27.15488,21.29850,45.15337,233.07795,8.58328,0.33525,0.65334,-0.77168,54,27,8.64531,6.69212,24.14877,91.69646,100.34177,71.92069,78.70150,,,,,,,,,,,,132.83517,0.18036,0.23301,0.86101,0.91406,1.54878,0.16473,
9c16_61.5-59.5cm_20um_rec_voi_1049.bmp,21.60036,83,127.49664,27.06435,21.22750,45.15337,230.53996,8.51821,0.32608,0.64434,1.06421,62,21,9.36739,-9.96913,25.71216,91.06490,100.43229,71.42533,78.77250,,,,,,,,,,,,157.20829,0.09937,0.23479,0.87128,0.90410,1.53187,0.00000,
9c16_61.5-59.5cm_20um_rec_voi_1048.bmp,21.57977,87,127.49664,26.89920,21.09797,45.15337,233.26438,8.67180,0.30919,0.62743,-0.52321,63,24,8.94550,4.68052,24.95627,91.65194,100.59744,71.88577,78.90203,,,,,,,,,,,,29.67359,0.15117,0.23063,0.86252,0.91479,1.55140,0.00000,
9c16_61.5-59.5cm_20um_rec_voi_1047.bmp,21.55918,90,127.49664,26.78859,21.01121,45.15337,237.32285,8.85910,0.29765,0.61561,-0.64308,68,22,8.47279,5.44872,24.02852,92.23526,100.70805,72.34329,78.98879,,,,,,,,,,,,40.42739,0.22441,0.22576,0.84870,0.93070,1.55898,0.00000,
9c16_61.5-59.5cm_20um_rec_voi_1046.bmp,21.53859,89,127.49664,26.80062,21.02065,45.15337,239.44815,8.93443,0.30113,0.61920,-0.14814,69,20,6.24326,0.92488,18.89385,94.45276,100.69602,74.08255,78.97935,,,,,,,,,,,,46.32217,0.28371,0.22385,0.84107,0.93904,1.56292,0.00000,
9c16_61.5-59.5cm_20um_rec_voi_1045.bmp,21.51800,85,127.49664,26.84101,21.05233,45.15337,243.42097,9.06900,0.31578,0.63408,-0.04740,66,19,6.28678,0.29800,18.97735,94.36886,100.65564,74.01674,78.94767,,,,,,,,,,,,49.44727,0.31664,0.22053,0.82701,0.95462,1.56548,0.00000,
9c16_61.5-59.5cm_20um_rec_voi_1044.bmp,21.49741,90,127.49664,26.76564,20.99321,45.15337,242.91093,9.07548,0.29740,0.61535,0.42486,72,18,6.63971,-2.80448,19.87618,94.09129,100.73100,73.79904,79.00679,,,,,,,,,,,,52.68664,0.33569,0.22037,0.82937,0.95262,1.56831,0.00000,
9c16_61.5-59.5cm_20um_rec_voi_1043.bmp,21.47681,86,127.49664,26.68439,20.92949,45.15337,242.66712,9.09397,0.31028,0.62854,0.44712,64,22,6.82733,-3.03623,20.37296,93.98492,100.81225,73.71560,79.07051,,,,,,,,,,,,56.46265,0.33938,0.21993,0.83087,0.95166,1.52001,0.00000,
