
<<<<< Begin of task (0c9e82d1-dbc0-46ce-b4b3-c2ebc5f52137) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_63-61cm_20um\9c16_63-61cm_20um_Rec\VOI\9c16_63-61cm_20um_rec_voi_0073.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 538, 615
Total number of images, 961
Total Z-position range, 70, 1030
Number of images inside VOI, 961
Z-position range of VOI, 70, 1030
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 11:58:49 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 11:58:50 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 11:58:50 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5979 speckles removed
[ 01/28/21 11:58:52 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:58:52 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
14437 speckles removed
[ 01/28/21 11:58:54 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 11:59:24 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:30
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_63-61cm_20um\9c16_63-61cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_63-61cm_20um_rec_voi_1030.bmp,21.20913,117,140.29057,29.70564,21.17437,47.45961,284.74466,9.58554,0.25389,0.56857,0.30747,92,25,7.24264,-2.22692,19.60211,103.34229,110.58493,73.66303,78.82563,,,,,,,,,,,,145.86564,0.30619,0.20865,0.77673,1.01484,1.63156,0.00000,
9c16_63-61cm_20um_rec_voi_1029.bmp,21.18853,115,140.29057,29.64273,21.12952,47.45961,283.02120,9.54774,0.25776,0.57288,0.33516,97,18,7.24975,-2.42991,19.65102,103.39810,110.64785,73.70281,78.87048,,,,,,,,,,,,140.34433,0.29907,0.20947,0.78191,1.00870,1.54175,0.00000,
9c16_63-61cm_20um_rec_voi_1028.bmp,21.16794,119,140.29057,29.68677,21.16092,47.45961,286.38320,9.64683,0.24947,0.56359,0.37318,101,18,7.28594,-2.71904,19.70627,103.31786,110.60380,73.64562,78.83908,,,,,,,,,,,,136.43517,0.29186,0.20732,0.77242,1.02068,1.63246,0.00000,
9c16_63-61cm_20um_rec_voi_1027.bmp,21.14735,108,140.29057,29.82961,21.26273,47.45961,289.76790,9.71410,0.27620,0.59302,0.05411,82,26,7.31992,-0.39610,19.70393,103.14105,110.46097,73.51958,78.73727,,,,,,,,,,,,132.04601,0.28020,0.20589,0.76241,1.03274,1.63400,0.00000,
9c16_63-61cm_20um_rec_voi_1026.bmp,21.12676,107,140.29057,29.92480,21.33058,47.45961,289.37070,9.66993,0.27967,0.59673,-0.05641,80,27,7.30773,0.41221,19.62727,103.05805,110.36578,73.46042,78.66942,,,,,,,,,,,,124.87696,0.25612,0.20683,0.76280,1.03133,1.63693,0.00000,
9c16_63-61cm_20um_rec_voi_1025.bmp,21.10617,98,140.29057,29.98156,21.37104,47.45961,285.55005,9.52419,0.30593,0.62412,0.01465,74,24,7.15795,-0.10490,19.27314,103.15106,110.30901,73.52672,78.62896,,,,,,,,,,,,113.84432,0.22875,0.20999,0.77261,1.01771,1.63600,0.00000,
9c16_63-61cm_20um_rec_voi_1024.bmp,21.08558,95,140.29057,29.95909,21.35503,47.45961,281.49950,9.39613,0.31536,0.63366,-0.46747,69,26,7.12313,3.32998,19.20901,103.20836,110.33148,73.56756,78.64497,,,,,,,,,,,,103.98391,0.24407,0.21285,0.78388,1.00327,1.62742,0.00000,
9c16_63-61cm_20um_rec_voi_1023.bmp,21.06499,99,140.29057,29.82261,21.25774,47.45961,280.25267,9.39732,0.30124,0.61931,-0.02652,75,24,7.07092,0.18752,19.16575,103.39704,110.46796,73.70206,78.74226,,,,,,,,,,,,96.59360,0.24983,0.21283,0.78835,0.99883,1.63266,0.00000,
