
<<<<< Begin of task (7e989dd2-8f77-4918-865e-e05f7e769135) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_65-63cm_20um\9c16_65-63cm_20um_Rec\VOI\9c16_65-63cm_20um_rec_voi_0235.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 763, 571
Total number of images, 821
Total Z-position range, 220, 1040
Number of images inside VOI, 821
Z-position range of VOI, 220, 1040
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 09:26:30 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 09:26:31 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 09:26:31 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2324 speckles removed
[ 01/28/21 09:26:34 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 09:26:34 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5739 speckles removed
[ 01/28/21 09:26:36 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 09:27:16 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:40
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_65-63cm_20um\9c16_65-63cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_65-63cm_20um_rec_voi_1040.bmp,21.41504,122,184.72758,28.42917,15.38978,54.91369,278.61642,9.80037,0.23303,0.54470,0.41945,110,12,8.89367,-3.73055,23.82902,147.40474,156.29841,79.79574,84.61022,,,,,,,,,,,,40.97124,0.31026,0.20407,1.12196,0.75413,1.60623,0.00000,
9c16_65-63cm_20um_rec_voi_1039.bmp,21.39445,118,184.72758,28.83510,15.60953,54.91369,283.96033,9.84773,0.24437,0.55780,0.41981,109,9,7.99833,-3.35783,21.71486,147.89415,155.89248,80.06068,84.39047,,,,,,,,,,,,41.58353,0.30059,0.20309,1.09799,0.76859,1.61127,0.00000,
9c16_65-63cm_20um_rec_voi_1038.bmp,21.37386,119,184.72758,29.25222,15.83533,54.91369,286.95254,9.80960,0.24582,0.55945,0.13225,108,11,7.65668,-1.01263,20.74482,147.81868,155.47536,80.01982,84.16467,,,,,,,,,,,,42.47611,0.29231,0.20388,1.08363,0.77669,1.61426,0.00000,
9c16_65-63cm_20um_rec_voi_1037.bmp,21.35327,120,184.72758,29.62132,16.03513,54.91369,287.52668,9.70675,0.24684,0.56062,0.67702,107,13,10.00588,-6.77429,25.25004,145.10038,155.10627,78.54830,83.96487,,,,,,,,,,,,42.55398,0.29156,0.20604,1.07890,0.77825,1.61768,0.00000,
9c16_65-63cm_20um_rec_voi_1036.bmp,21.33267,112,184.72758,30.02380,16.25302,54.91369,286.21418,9.53291,0.26807,0.58422,0.21379,95,17,8.48519,-1.81409,22.03431,146.21859,154.70378,79.15363,83.74698,,,,,,,,,,,,39.32562,0.28890,0.20980,1.08104,0.77469,1.61661,0.00000,
9c16_65-63cm_20um_rec_voi_1035.bmp,21.31208,120,184.72758,30.21593,16.35702,54.91369,287.11984,9.50227,0.25180,0.56622,1.03029,111,9,8.52505,-8.78326,22.00525,145.98661,154.51165,79.02805,83.64298,,,,,,,,,,,,33.37142,0.28244,0.21048,1.07629,0.77714,1.61974,0.00000,
9c16_65-63cm_20um_rec_voi_1034.bmp,21.29149,119,184.72758,30.32829,16.41785,54.91369,286.54864,9.44823,0.25486,0.56965,0.05450,105,14,8.89012,-0.48453,22.66822,145.50918,154.39929,78.76960,83.58215,,,,,,,,,,,,26.08353,0.28449,0.21168,1.07765,0.77560,1.62196,0.00000,
9c16_65-63cm_20um_rec_voi_1033.bmp,21.27090,124,184.72758,30.54957,16.53763,54.91369,288.86451,9.45560,0.24637,0.56008,1.25856,113,11,8.80696,-11.08450,22.37737,145.37106,154.17801,78.69483,83.46237,,,,,,,,,,,,17.02653,0.29265,0.21151,1.06748,0.78187,1.62774,0.00000,
