
<<<<< Begin of task (9cbce14d-b637-4514-9584-9b5b79850ef9) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_65-63cm_20um_redo2\9c16_65-63cm_20um_redo2_Rec\VOI\9c16_65-63cm_20um_redo2_rec_voi_0086.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 544, 582
Total number of images, 481
Total Z-position range, 70, 550
Number of images inside VOI, 481
Z-position range of VOI, 70, 550
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 12:10:43 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 01/28/21 12:10:44 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 12:10:44 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1123 speckles removed
[ 01/28/21 12:10:45 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 12:10:45 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2620 speckles removed
[ 01/28/21 12:10:46 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 12:11:01 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:15
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\65-48cm\9c16_65-63cm_20um_redo2\9c16_65-63cm_20um_redo2_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_65-63cm_20um_redo2_rec_voi_0550.bmp,11.32526,108,134.24341,30.15413,22.46228,46.34767,277.02735,9.18704,0.27920,0.59623,0.83728,94,14,7.18455,-5.95022,19.24158,96.90473,104.08928,72.18583,77.53772,,,,,,,,,,,,120.82866,0.29017,0.21770,0.75147,1.03181,1.62074,0.16473,
9c16_65-63cm_20um_redo2_rec_voi_0549.bmp,11.30467,116,134.24341,29.83332,22.22330,46.34767,279.52965,9.36971,0.25718,0.57224,0.66828,100,16,7.30778,-4.84570,19.67573,97.10231,104.41009,72.33302,77.77670,,,,,,,,,,,,120.78971,0.31534,0.21345,0.74704,1.04113,1.62017,0.16473,
9c16_65-63cm_20um_redo2_rec_voi_0548.bmp,11.28408,110,134.24341,29.62487,22.06802,46.34767,275.51065,9.29998,0.26932,0.58558,0.77508,93,17,7.14475,-5.50049,19.43113,97.47379,104.61855,72.60974,77.93198,,,,,,,,,,,,121.96334,0.33235,0.21505,0.75945,1.02616,1.61697,0.18532,
9c16_65-63cm_20um_redo2_rec_voi_0547.bmp,11.26349,117,134.24341,29.15729,21.71972,46.34767,269.78282,9.25267,0.24921,0.56329,0.85891,98,19,7.01845,-5.99140,19.40098,98.06767,105.08612,73.05213,78.28028,,,,,,,,,,,,121.85338,0.33797,0.21615,0.77904,1.00483,1.61100,0.18532,
9c16_65-63cm_20um_redo2_rec_voi_0546.bmp,11.24290,113,134.24341,28.94969,21.56507,46.34767,268.86645,9.28737,0.25619,0.57113,1.09148,98,15,6.94605,-7.55806,19.35063,98.34767,105.29372,73.26070,78.43493,,,,,,,,,,,,118.04300,0.34204,0.21535,0.78324,1.00141,1.61045,0.18532,
9c16_65-63cm_20um_redo2_rec_voi_0545.bmp,11.22230,107,134.24341,28.81730,21.46645,46.34767,268.51115,9.31771,0.26932,0.58558,0.96855,92,15,6.90609,-6.66446,19.33212,98.52003,105.42612,73.38910,78.53355,,,,,,,,,,,,115.66472,0.32202,0.21465,0.78526,1.00009,1.61005,0.16473,
9c16_65-63cm_20um_redo2_rec_voi_0544.bmp,11.20171,111,134.24341,28.73705,21.40668,46.34767,268.29474,9.33620,0.25889,0.57414,0.87373,93,18,6.89872,-6.02759,19.35898,98.60764,105.50636,73.45436,78.59332,,,,,,,,,,,,116.89957,0.29101,0.21422,0.78650,0.99928,1.61034,0.00000,
9c16_65-63cm_20um_redo2_rec_voi_0543.bmp,11.18112,109,134.24341,28.66545,21.35334,46.34767,270.85428,9.44881,0.26299,0.57866,0.75414,91,18,6.95782,-5.24718,19.53167,98.62015,105.57796,73.46368,78.64666,,,,,,,,,,,,116.63285,0.26849,0.21167,0.77959,1.00882,1.61185,0.00000,
