
<<<<< Begin of task (f2586c9c-1bd8-4142-b1a5-e9bfaaaea769) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_67-65cm_20um\9c16_67-65cm_20um_Rec\VOI\9c16_67-65cm_20um_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 627, 569
Total number of images, 941
Total Z-position range, 60, 1000
Number of images inside VOI, 941
Z-position range of VOI, 60, 1000
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 09:53:48 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 09:53:48 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 09:53:48 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1570 speckles removed
[ 01/28/21 09:53:51 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 09:53:51 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6140 speckles removed
[ 01/28/21 09:53:53 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 09:54:25 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_67-65cm_20um\9c16_67-65cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_67-65cm_20um_rec_voi_1000.bmp,20.59138,99,151.26934,32.41355,21.42771,49.23047,296.12211,9.13575,0.32741,0.64566,-0.57120,69,30,7.67582,4.40315,19.14677,111.17997,118.85579,73.49802,78.57229,,,,,,,,,,,,1.05992,0.35681,0.21892,0.80275,0.97879,1.65093,0.06177,
9c16_67-65cm_20um_rec_voi_0999.bmp,20.57079,104,151.26934,32.58114,21.53849,49.23047,294.98847,9.05397,0.31328,0.63157,-0.07947,85,19,7.65870,0.62590,19.03263,111.02950,118.68820,73.39855,78.46151,,,,,,,,,,,,4.35271,0.36113,0.22090,0.80470,0.97504,1.64746,0.06177,
9c16_67-65cm_20um_rec_voi_0998.bmp,20.55020,102,151.26934,32.59174,21.54550,49.23047,294.63367,9.04013,0.31953,0.63784,0.91931,85,17,8.16284,-7.48953,20.02926,110.51476,118.67760,73.05827,78.45450,,,,,,,,,,,,8.27408,0.36070,0.22124,0.80559,0.97387,1.64937,0.06177,
9c16_67-65cm_20um_rec_voi_0997.bmp,20.52961,111,151.26934,32.63053,21.57115,49.23047,296.67918,9.09207,0.29397,0.61179,0.17281,96,15,7.92010,-1.35209,19.53138,110.71871,118.63881,73.19309,78.42885,,,,,,,,,,,,10.15608,0.34971,0.21997,0.79978,0.98063,1.64944,0.06177,
9c16_67-65cm_20um_rec_voi_0996.bmp,20.50902,110,151.26934,32.91186,21.75713,49.23047,297.74065,9.04661,0.29920,0.61721,0.32312,96,14,7.63480,-2.45075,18.82965,110.72268,118.35748,73.19572,78.24287,,,,,,,,,,,,11.31874,0.33788,0.22108,0.79504,0.98414,1.65293,0.06177,
9c16_67-65cm_20um_rec_voi_0995.bmp,20.48843,105,151.26934,33.19955,21.94731,49.23047,300.05395,9.03789,0.31619,0.63449,0.35101,89,16,7.79708,-2.72076,19.01884,110.27271,118.06979,72.89825,78.05269,,,,,,,,,,,,13.72410,0.31285,0.22129,0.78699,0.99179,1.65845,0.06177,
9c16_67-65cm_20um_rec_voi_0994.bmp,20.46784,104,151.26934,33.41335,22.08865,49.23047,302.36311,9.04917,0.32128,0.63959,0.22738,86,18,7.83180,-1.76442,18.98841,110.02419,117.85599,72.73396,77.91135,,,,,,,,,,,,17.48571,0.27808,0.22101,0.77957,0.99942,1.66139,0.06177,
9c16_67-65cm_20um_rec_voi_0993.bmp,20.44724,102,151.26934,33.55460,22.18202,49.23047,301.63752,8.98945,0.32897,0.64719,0.21240,89,13,7.75633,-1.63088,18.77548,109.95841,117.71474,72.69048,77.81798,,,,,,,,,,,,19.00357,0.24129,0.22248,0.78050,0.99702,1.66065,0.04118,
