
<<<<< Begin of task (5ecfe82d-d5e3-4d2d-9f78-2e376fed9585) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_69-67cm_20um\9c16_69-67cm_20um_Rec\VOI\9c16_69-67cm_20um_rec_voi_0155.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 552, 552
Total number of images, 901
Total Z-position range, 140, 1040
Number of images inside VOI, 901
Z-position range of VOI, 140, 1040
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 10:05:06 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 10:05:07 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 10:05:07 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4599 speckles removed
[ 01/28/21 10:05:09 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:05:09 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
13193 speckles removed
[ 01/28/21 10:05:11 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:05:47 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_69-67cm_20um\9c16_69-67cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_69-67cm_20um_rec_voi_1040.bmp,21.41504,174,101.18416,27.61545,27.29227,37.62538,328.04998,11.87922,0.15871,0.44953,1.23612,161,13,8.35211,-10.32615,23.22122,65.21660,73.56870,64.45337,72.70773,,,,,,,,,,,,95.17191,0.41524,0.16836,0.44852,1.62105,1.66875,4.04848,
9c16_69-67cm_20um_rec_voi_1039.bmp,21.39445,174,101.18416,27.14990,26.83216,37.62538,325.00781,11.97087,0.15603,0.44572,1.69728,166,8,8.29916,-14.07221,23.41151,65.73510,74.03426,64.96581,73.16784,,,,,,,,,,,,92.21716,0.42660,0.16707,0.45558,1.60602,1.65480,4.07303,
9c16_69-67cm_20um_rec_voi_1038.bmp,21.37386,178,101.18416,26.63245,26.32077,37.62538,320.45878,12.03264,0.14962,0.43647,1.90940,171,7,8.44295,-16.10758,24.07086,66.10876,74.55171,65.33509,73.67923,,,,,,,,,,,,90.73101,0.44393,0.16621,0.46528,1.58354,1.64770,3.99066,
9c16_69-67cm_20um_rec_voi_1037.bmp,21.35327,192,101.18416,26.24088,25.93378,37.62538,317.56771,12.10202,0.13667,0.41715,1.84591,181,11,8.29142,-15.29306,24.01062,66.65186,74.94328,65.87183,74.06622,,,,,,,,,,,,89.03590,0.46517,0.16526,0.47198,1.56926,1.64172,3.93742,
9c16_69-67cm_20um_rec_voi_1036.bmp,21.33267,177,101.18416,25.88069,25.57781,37.62538,308.63832,11.92543,0.14622,0.43148,1.84803,166,11,8.52452,-15.74022,24.77682,66.77895,75.30347,65.99744,74.42219,,,,,,,,,,,,88.55501,0.47076,0.16771,0.48797,1.52513,1.62813,3.73857,
9c16_69-67cm_20um_rec_voi_1035.bmp,21.31208,165,101.18416,25.76918,25.46760,37.62538,303.64179,11.78314,0.15618,0.44593,1.95197,156,9,7.94919,-15.50326,23.57526,67.46579,75.41498,66.67623,74.53240,,,,,,,,,,,,87.88296,0.45698,0.16973,0.49674,1.50044,1.62723,3.69739,
9c16_69-67cm_20um_rec_voi_1034.bmp,21.29149,168,101.18416,25.80453,25.50254,37.62538,306.48840,11.87731,0.15360,0.44223,1.89472,156,12,8.03967,-15.23411,23.75494,67.33996,75.37963,66.55188,74.49746,,,,,,,,,,,,86.75686,0.44208,0.16839,0.49189,1.51451,1.62829,3.69739,
9c16_69-67cm_20um_rec_voi_1033.bmp,21.27090,169,101.18416,26.00317,25.69886,37.62538,306.76376,11.79717,0.15386,0.44261,1.66819,156,13,7.80811,-13.02644,23.09320,67.37288,75.18098,66.58441,74.30114,,,,,,,,,,,,84.15183,0.42027,0.16953,0.49016,1.51587,1.62706,3.54119,
