
<<<<< Begin of task (e5cad7c9-52bb-4771-b876-2e2904cbf6cb) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_7-5cm_20um\9c16_7-5cm_20um_Rec\VOI\9c16_7-5cm_20um_rec_voi_0024.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1074
Total Z-position range, 24, 1097
Number of images inside VOI, 1074
Z-position range of VOI, 24, 1097
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 14:54:07 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/24/20 14:54:08 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 14:54:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7100 speckles removed
[ 12/24/20 14:54:11 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 14:54:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 14:54:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 14:54:56 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:43
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_7-5cm_20um\9c16_7-5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_7-5cm_20um_rec_voi_1097.bmp,22.58875,240,95.03969,32.71401,34.42142,36.46641,309.16436,9.45052,0.13631,0.41660,-2.36565,161,79,7.73009,18.36721,19.11302,54.59559,62.32568,57.44504,65.57858,,,,,,,,,,,,35.92809,0.21935,0.21163,0.40319,1.62650,1.63585,10.79828,
9c16_7-5cm_20um_rec_voi_1096.bmp,22.56816,235,95.03969,32.61559,34.31786,36.46641,304.39993,9.33296,0.13879,0.42037,-2.03637,170,65,7.69278,15.74514,19.08482,54.73132,62.42410,57.58786,65.68214,,,,,,,,,,,,42.51307,0.22154,0.21429,0.41015,1.60144,1.63178,11.05537,
9c16_7-5cm_20um_rec_voi_1095.bmp,22.54757,218,95.03969,32.48118,34.17644,36.46641,299.85176,9.23155,0.14900,0.43555,-1.78071,166,52,7.60114,13.59985,18.96382,54.95737,62.55851,57.82571,65.82356,,,,,,,,,,,,48.01036,0.23025,0.21665,0.41726,1.57751,1.63163,11.32452,
9c16_7-5cm_20um_rec_voi_1094.bmp,22.52697,202,95.03969,32.46517,34.15959,36.46641,300.62545,9.25994,0.16072,0.45236,-2.25765,133,69,7.55800,17.13279,18.88406,55.01652,62.57452,57.88794,65.84041,,,,,,,,,,,,52.50409,0.24383,0.21598,0.41630,1.58158,1.62832,11.66751,
9c16_7-5cm_20um_rec_voi_1093.bmp,22.50638,183,95.03969,32.41365,34.10539,36.46641,299.45992,9.23870,0.17712,0.47489,-1.79583,117,66,8.59798,15.55179,20.96473,54.02806,62.62603,56.84789,65.89461,,,,,,,,,,,,54.58004,0.26936,0.21648,0.41826,1.57545,1.62617,11.95975,
9c16_7-5cm_20um_rec_voi_1092.bmp,22.48579,175,95.03969,32.40692,34.09831,36.46641,291.98642,9.01000,0.18518,0.48557,-2.68295,110,65,7.36603,19.87327,18.52020,55.26674,62.63276,58.15122,65.90169,,,,,,,,,,,,53.76833,0.29855,0.22198,0.42901,1.53613,1.62242,11.61177,
9c16_7-5cm_20um_rec_voi_1091.bmp,22.46520,171,95.03969,32.30606,33.99218,36.46641,290.13576,8.98085,0.18892,0.49045,-3.05065,110,61,7.57554,23.26917,18.99507,55.15808,62.73362,58.03690,66.00782,,,,,,,,,,,,53.92616,0.31198,0.22270,0.43244,1.52639,1.56312,11.11465,
9c16_7-5cm_20um_rec_voi_1090.bmp,22.44461,159,95.03969,32.14319,33.82081,36.46641,286.88682,8.92527,0.20216,0.50734,-2.08583,104,55,7.77503,16.31706,19.47741,55.12146,62.89650,57.99836,66.17919,,,,,,,,,,,,54.22025,0.32188,0.22408,0.43848,1.50930,1.55982,11.24173,
