
<<<<< Begin of task (a84c40fc-009f-4d5c-a0cf-86f04f4aa727) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_71-69cm_20um\9c16_71-69cm_20um_Rec\VOI\9c16_71-69cm_20um_rec_voi_0085.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 536, 561
Total number of images, 881
Total Z-position range, 70, 950
Number of images inside VOI, 881
Z-position range of VOI, 70, 950
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 10:09:29 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 10:09:30 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 10:09:30 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1850 speckles removed
[ 01/28/21 10:09:32 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:09:32 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9447 speckles removed
[ 01/28/21 10:09:34 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:10:07 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_71-69cm_20um\9c16_71-69cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_71-69cm_20um_rec_voi_0950.bmp,19.56182,225,127.49664,32.27479,25.31423,45.15337,393.05043,12.17825,0.14344,0.42736,0.48001,201,24,10.19701,-4.84012,24.00889,85.02485,95.22185,66.68791,74.68577,,,,,,,,,,,,37.89932,0.42833,0.16423,0.48453,1.54141,1.72983,0.22651,
9c16_71-69cm_20um_rec_voi_0949.bmp,19.54122,214,127.49664,32.72874,25.67028,45.15337,398.86683,12.18705,0.15294,0.44128,0.74324,196,18,10.39173,-7.69808,24.09929,84.37617,94.76790,66.17913,74.32972,,,,,,,,,,,,39.86618,0.40758,0.16411,0.47519,1.56422,1.73314,0.16473,
9c16_71-69cm_20um_rec_voi_0948.bmp,19.52063,220,127.49664,33.06514,25.93412,45.15337,402.54517,12.17431,0.15030,0.43745,0.54188,208,12,10.36094,-5.58812,23.85879,84.07057,94.43150,65.93944,74.06588,,,,,,,,,,,,42.18298,0.38732,0.16428,0.46917,1.57865,1.73313,0.16473,
9c16_71-69cm_20um_rec_voi_0947.bmp,19.50004,230,127.49664,33.21015,26.04786,45.15337,401.67397,12.09492,0.14439,0.42877,1.15637,217,13,10.25764,-11.83856,23.59825,84.02886,94.28650,65.90672,73.95214,,,,,,,,,,,,44.57776,0.37511,0.16536,0.46947,1.57523,1.73746,0.16473,
9c16_71-69cm_20um_rec_voi_0946.bmp,19.47945,218,127.49664,33.49036,26.26764,45.15337,401.68704,11.99411,0.15363,0.44227,1.07548,204,14,10.24269,-10.99199,23.42094,83.76359,94.00628,65.69866,73.73236,,,,,,,,,,,,47.96901,0.36148,0.16675,0.46806,1.57528,1.73416,0.14414,
9c16_71-69cm_20um_rec_voi_0945.bmp,19.45886,229,127.49664,33.86078,26.55818,45.15337,402.34975,11.88247,0.14786,0.43390,1.10727,212,17,10.24979,-11.32559,23.23659,83.38607,93.63586,65.40256,73.44182,,,,,,,,,,,,52.28990,0.35789,0.16832,0.46545,1.57788,1.74241,0.14414,
9c16_71-69cm_20um_rec_voi_0944.bmp,19.43827,216,127.49664,34.59304,27.13251,45.15337,411.40854,11.89281,0.16015,0.45157,0.57984,197,19,10.47335,-6.04613,23.23983,82.43025,92.90360,64.65288,72.86749,,,,,,,,,,,,58.40586,0.35999,0.16817,0.45164,1.61341,1.74715,0.12355,
9c16_71-69cm_20um_rec_voi_0943.bmp,19.41768,226,127.49664,35.10672,27.53541,45.15337,414.34957,11.80257,0.15534,0.44473,0.93167,206,20,10.56658,-9.81753,23.13513,81.82334,92.38992,64.17686,72.46459,,,,,,,,,,,,65.26759,0.36458,0.16945,0.44595,1.62494,1.74219,0.04118,
