
<<<<< Begin of task (0e599779-b3e7-4514-8dc9-01ce4d2b4f42) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_75-73cm_20um\9c16_75-73cm_20um_Rec\VOI\9c16_75-73cm_20um_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 546, 573
Total number of images, 841
Total Z-position range, 60, 900
Number of images inside VOI, 841
Z-position range of VOI, 60, 900
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 10:26:59 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 10:27:00 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 10:27:00 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
3006 speckles removed
[ 01/28/21 10:27:02 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:27:02 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
12881 speckles removed
[ 01/28/21 10:27:04 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:27:35 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:31
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_75-73cm_20um\9c16_75-73cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_75-73cm_20um_rec_voi_0900.bmp,18.53225,251,132.65339,29.54468,22.27209,46.05939,428.90894,14.51730,0.11771,0.38713,0.60604,233,18,10.56197,-6.30292,26.33471,92.54675,103.10872,69.76584,77.72791,,,,,,,,,,,,87.82155,0.40068,0.13777,0.48080,1.61665,1.70471,0.00000,
9c16_75-73cm_20um_rec_voi_0899.bmp,18.51165,252,132.65339,29.76866,22.44093,46.05939,426.35510,14.32228,0.11813,0.38782,0.96154,238,14,10.96085,-10.51285,26.91133,91.92389,102.88474,69.29629,77.55907,,,,,,,,,,,,85.86500,0.40830,0.13964,0.48262,1.60703,1.70598,0.04118,
9c16_75-73cm_20um_rec_voi_0898.bmp,18.49106,256,132.65339,29.95559,22.58185,46.05939,428.00428,14.28796,0.11701,0.38599,0.73155,239,17,11.02896,-8.02518,26.91004,91.66885,102.69780,69.10403,77.41815,,,,,,,,,,,,84.99117,0.41052,0.13998,0.47989,1.61324,1.49848,0.04118,
9c16_75-73cm_20um_rec_voi_0897.bmp,18.47047,251,132.65339,30.24757,22.80196,46.05939,425.36550,14.06280,0.12051,0.39171,1.05383,231,20,10.80752,-11.19504,26.32443,91.59830,102.40582,69.05086,77.19804,,,,,,,,,,,,84.06473,0.41727,0.14222,0.48150,1.60330,1.70429,0.04118,
9c16_75-73cm_20um_rec_voi_0896.bmp,18.44988,241,132.65339,30.26331,22.81382,46.05939,425.19628,14.04989,0.12557,0.39986,0.43657,227,14,10.83455,-4.63184,26.36281,91.55553,102.39008,69.01861,77.18618,,,,,,,,,,,,83.53075,0.42260,0.14235,0.48161,1.60266,1.70375,0.04118,
9c16_75-73cm_20um_rec_voi_0895.bmp,18.42929,238,132.65339,30.18625,22.75573,46.05939,423.70613,14.03640,0.12683,0.40186,0.69727,222,16,10.80503,-7.53427,26.35934,91.66212,102.46714,69.09896,77.24427,,,,,,,,,,,,83.47942,0.42760,0.14249,0.48367,1.59704,1.70373,0.00000,
9c16_75-73cm_20um_rec_voi_0894.bmp,18.40870,254,132.65339,30.04479,22.64909,46.05939,424.88887,14.14185,0.11829,0.38808,0.85015,243,11,10.82321,-9.20242,26.48333,91.78539,102.60860,69.19189,77.35091,,,,,,,,,,,,83.44063,0.43744,0.14142,0.48299,1.60150,1.70394,0.00000,
9c16_75-73cm_20um_rec_voi_0893.bmp,18.38811,264,132.65339,29.79616,22.46167,46.05939,426.48465,14.31341,0.11286,0.37908,0.94560,252,12,10.67862,-10.09845,26.38339,92.17861,102.85723,69.48831,77.53833,,,,,,,,,,,,82.53406,0.44644,0.13973,0.48235,1.60752,1.70749,0.00000,
