
<<<<< Begin of task (f9bbf3db-40c8-4491-afcc-752b25708cf0) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_77.5-75.5cm_20um\9c16_77.5-75.5cm_20um_Rec\VOI\9c16_77.5-75.5cm_20um_rec_voi_0152.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 575, 599
Total number of images, 911
Total Z-position range, 150, 1060
Number of images inside VOI, 911
Z-position range of VOI, 150, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 10:34:01 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 10:34:02 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 10:34:02 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1917 speckles removed
[ 01/28/21 10:34:05 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:34:05 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
10195 speckles removed
[ 01/28/21 10:34:07 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:34:44 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_77.5-75.5cm_20um\9c16_77.5-75.5cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_77.5-75.5cm_20um_rec_voi_1060.bmp,21.82687,246,146.03796,24.82333,16.99786,48.32445,348.21292,14.02765,0.10091,0.35844,3.35523,241,5,9.00629,-30.19566,26.62251,112.20834,121.21464,76.83505,83.00214,,,,,,,,,,,,100.88016,0.24932,0.14258,0.69621,1.19220,1.59969,0.00000,
9c16_77.5-75.5cm_20um_rec_voi_1059.bmp,21.80628,231,146.03796,24.82423,16.99848,48.32445,345.10044,13.90176,0.10746,0.36990,2.96756,225,6,8.90040,-26.41341,26.39139,112.31334,121.21374,76.90695,83.00152,,,,,,,,,,,,97.52863,0.24552,0.14387,0.70248,1.18154,1.67958,0.00000,
9c16_77.5-75.5cm_20um_rec_voi_1058.bmp,21.78568,221,146.03796,24.81988,16.99550,48.32445,339.74447,13.68840,0.11231,0.37815,2.49938,211,10,8.80876,-22.01720,26.19422,112.40932,121.21808,76.97267,83.00450,,,,,,,,,,,,97.35358,0.25663,0.14611,0.71358,1.16321,1.67231,0.00000,
9c16_77.5-75.5cm_20um_rec_voi_1057.bmp,21.76509,219,146.03796,24.77647,16.96578,48.32445,335.21664,13.52963,0.11313,0.37954,2.74886,211,8,8.63645,-23.74067,25.84764,112.62503,121.26149,77.12038,83.03422,,,,,,,,,,,,97.72033,0.26324,0.14782,0.72348,1.14770,1.64185,0.00000,
9c16_77.5-75.5cm_20um_rec_voi_1056.bmp,21.74450,226,146.03796,24.89520,17.04707,48.32445,333.06686,13.37876,0.11016,0.37451,2.73048,216,10,8.61737,-23.53012,25.71386,112.52539,121.14277,77.05215,82.95293,,,,,,,,,,,,100.17344,0.24544,0.14949,0.72744,1.14034,1.66883,0.00000,
9c16_77.5-75.5cm_20um_rec_voi_1055.bmp,21.72391,224,146.03796,25.10619,17.19155,48.32445,333.64427,13.28932,0.11208,0.37776,2.70996,212,12,8.58849,-23.27560,25.48915,112.34328,120.93177,76.92745,82.80845,,,,,,,,,,,,106.44102,0.24210,0.15050,0.72491,1.14232,1.66769,0.00000,
9c16_77.5-75.5cm_20um_rec_voi_1054.bmp,21.70332,231,146.03796,25.25200,17.29139,48.32445,337.31211,13.35784,0.10932,0.37308,2.96304,222,9,8.71823,-25.83307,25.66434,112.06773,120.78597,76.73877,82.70861,,,,,,,,,,,,109.93267,0.23026,0.14972,0.71617,1.15488,1.67209,0.00000,
9c16_77.5-75.5cm_20um_rec_voi_1053.bmp,21.68273,237,146.03796,25.58320,17.51818,48.32445,342.57709,13.39071,0.10795,0.37073,3.03290,233,4,8.85996,-26.87263,25.72342,111.59481,120.45477,76.41493,82.48182,,,,,,,,,,,,108.62289,0.20827,0.14936,0.70323,1.17290,1.67478,0.00000,
