
<<<<< Begin of task (7f142845-3cda-4675-bc47-0c20eaf4b542) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_78-76cm_20um\9c16_78-76cm_20um_Rec\VOI\9c16_78-76cm_20um_rec_voi_0076.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 567, 550
Total number of images, 1011
Total Z-position range, 60, 1070
Number of images inside VOI, 1011
Z-position range of VOI, 60, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 10:44:23 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 10:44:23 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 10:44:23 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1980 speckles removed
[ 01/28/21 10:44:26 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:44:26 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
10870 speckles removed
[ 01/28/21 10:44:29 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:45:06 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:37
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_78-76cm_20um\9c16_78-76cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_78-76cm_20um_rec_voi_1070.bmp,22.03278,199,132.22600,26.17410,19.79497,45.97703,336.82377,12.86859,0.13153,0.40923,2.54634,192,7,8.63921,-21.97859,24.81582,97.41268,106.05190,73.67136,80.20503,,,,,,,,,,,,155.29644,0.36476,0.15542,0.62972,1.27367,1.69023,0.10296,
9c16_78-76cm_20um_rec_voi_1069.bmp,22.01219,198,132.22600,26.28376,19.87791,45.97703,339.83804,12.92958,0.13275,0.41112,2.46294,193,5,8.69703,-21.40118,24.86231,97.24520,105.94224,73.54469,80.12209,,,,,,,,,,,,155.86713,0.35290,0.15468,0.62349,1.28507,1.61227,0.10296,
9c16_78-76cm_20um_rec_voi_1068.bmp,21.99160,197,132.22600,26.36453,19.93899,45.97703,344.37864,13.06219,0.13383,0.41279,2.24608,187,10,8.78300,-19.72217,24.98895,97.07846,105.86146,73.41859,80.06101,,,,,,,,,,,,158.23197,0.34396,0.15311,0.61480,1.30223,1.68638,0.18532,
9c16_78-76cm_20um_rec_voi_1067.bmp,21.97101,200,132.22600,26.24152,19.84596,45.97703,342.16098,13.03892,0.13121,0.40873,2.40540,192,8,8.77224,-21.09619,25.05370,97.21224,105.98448,73.51976,80.15404,,,,,,,,,,,,160.67842,0.31806,0.15339,0.61950,1.29385,1.68645,0.18532,
9c16_78-76cm_20um_rec_voi_1066.bmp,21.95042,206,132.22600,26.00068,19.66382,45.97703,338.28587,13.01065,0.12622,0.40088,2.30914,200,6,8.72815,-20.15020,25.13228,97.49717,106.22531,73.73525,80.33618,,,,,,,,,,,,165.65468,0.30531,0.15372,0.62802,1.27920,1.67943,0.18532,
9c16_78-76cm_20um_rec_voi_1065.bmp,21.92982,213,132.22600,25.89060,19.58057,45.97703,335.85058,12.97191,0.12155,0.39340,2.67810,207,6,8.68437,-23.25647,25.11750,97.65103,106.33540,73.85161,80.41943,,,,,,,,,,,,167.04235,0.29672,0.15418,0.63323,1.26999,1.68277,0.18532,
9c16_78-76cm_20um_rec_voi_1064.bmp,21.90923,198,132.22600,25.89606,19.58470,45.97703,334.80532,12.92881,0.13079,0.40807,2.27724,187,11,8.66931,-19.73716,25.08092,97.66062,106.32994,73.85887,80.41530,,,,,,,,,,,,171.11973,0.29796,0.15469,0.63517,1.26603,1.68208,0.18532,
9c16_78-76cm_20um_rec_voi_1063.bmp,21.88864,204,132.22600,25.93994,19.61789,45.97703,332.17326,12.80547,0.12716,0.40237,2.27153,192,12,8.65633,-19.65858,25.02099,97.62972,106.28605,73.83550,80.38211,,,,,,,,,,,,177.41930,0.29540,0.15618,0.63994,1.25608,1.67963,0.18532,
