
<<<<< Begin of task (48b4fa67-2b71-470a-b295-ec39a2041df8) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_80-78cm_20um_redo\9c16_80-78cm_20um_redo_Rec\VOI\9c16_80-78cm_20um_redo_rec_voi_0071.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 575, 620
Total number of images, 811
Total Z-position range, 70, 880
Number of images inside VOI, 811
Z-position range of VOI, 70, 880
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/28/21 10:52:14 ] Thresholding
Mode, Global
Lower grey threshold, 76
Upper grey threshold, 200
[ 01/28/21 10:52:14 ]	Thresholding done

-----------------------------------------------------------------
[ 01/28/21 10:52:14 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1598 speckles removed
[ 01/28/21 10:52:17 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:52:17 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9486 speckles removed
[ 01/28/21 10:52:19 ]	Despeckle done

-----------------------------------------------------------------
[ 01/28/21 10:52:50 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:31
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\80-63cm\9c16_80-78cm_20um_redo\9c16_80-78cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,76
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_80-78cm_20um_redo_rec_voi_0880.bmp,18.12042,217,151.15782,38.84258,25.69670,49.18928,476.45288,12.26625,0.17900,0.47740,0.97967,200,17,11.93564,-11.59924,23.50543,100.37961,112.31525,66.40715,74.30330,,,,,,,,,,,,16.12321,0.24511,0.16305,0.47146,1.57601,1.76473,0.18532,
9c16_80-78cm_20um_redo_rec_voi_0879.bmp,18.09983,229,151.15782,38.78921,25.66140,49.18928,478.14930,12.32686,0.16939,0.46440,0.87711,217,12,12.23260,-10.71770,23.97524,100.13602,112.36862,66.24600,74.33860,,,,,,,,,,,,23.59182,0.22957,0.16225,0.47001,1.58162,1.76794,0.18532,
9c16_80-78cm_20um_redo_rec_voi_0878.bmp,18.07924,224,151.15782,38.73822,25.62766,49.18928,478.32281,12.34757,0.17294,0.46925,0.78491,209,15,12.18199,-9.54909,23.92368,100.23762,112.41960,66.31322,74.37234,,,,,,,,,,,,28.15124,0.20125,0.16198,0.47006,1.58220,1.76811,0.18532,
9c16_80-78cm_20um_redo_rec_voi_0877.bmp,18.05864,224,151.15782,38.54408,25.49923,49.18928,475.34801,12.33258,0.17207,0.46807,1.09691,212,12,12.13349,-13.29808,23.94252,100.48026,112.61375,66.47374,74.50077,,,,,,,,,,,,28.90903,0.16063,0.16217,0.47382,1.57236,1.76724,0.18532,
9c16_80-78cm_20um_redo_rec_voi_0876.bmp,18.03805,246,151.15782,38.16878,25.25095,49.18928,480.42535,12.58687,0.15516,0.44447,1.09179,238,8,12.30707,-13.38251,24.38209,100.68198,112.98904,66.60719,74.74905,,,,,,,,,,,,15.64237,0.13757,0.15890,0.47037,1.58915,1.76720,0.10296,
9c16_80-78cm_20um_redo_rec_voi_0875.bmp,18.01746,243,151.15782,38.10327,25.20761,49.18928,481.25486,12.63028,0.15680,0.44682,0.58812,229,14,12.49146,-7.34677,24.68924,100.56310,113.05455,66.52854,74.79239,,,,,,,,,,,,9.24409,0.12873,0.15835,0.46983,1.59190,1.76774,0.00000,
9c16_80-78cm_20um_redo_rec_voi_0874.bmp,17.99687,239,151.15782,37.91496,25.08303,49.18928,479.80625,12.65480,0.15864,0.44943,1.02171,231,8,12.45192,-12.72273,24.72243,100.79095,113.24286,66.67928,74.91697,,,,,,,,,,,,0.89963,0.14298,0.15804,0.47204,1.58710,1.76566,0.00000,
9c16_80-78cm_20um_redo_rec_voi_0873.bmp,17.97628,244,151.15782,37.72570,24.95782,49.18928,480.00303,12.72350,0.15461,0.44369,1.14219,235,9,12.38021,-14.14086,24.70808,101.05192,113.43213,66.85193,75.04218,,,,,,,,,,,,171.87694,0.15841,0.15719,0.47263,1.58775,1.72770,0.00000,
