
<<<<< Begin of task (c1793322-a9f0-4b2e-b19a-c8e390dcd14f) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_81-79cm_20um\9c16_81-79cm_20um_Rec\VOI\9c16_81-79cm_20um_rec_voi_0064.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 575, 623
Total number of images, 1021
Total Z-position range, 50, 1070
Number of images inside VOI, 1021
Z-position range of VOI, 50, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:35:52 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:35:53 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:35:53 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2186 speckles removed
[ 01/27/21 17:35:57 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:35:57 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
10135 speckles removed
[ 01/27/21 17:36:00 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:36:38 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:38
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_81-79cm_20um\9c16_81-79cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_81-79cm_20um_rec_voi_1070.bmp,22.03278,218,151.88923,25.12395,16.54097,49.31283,324.75885,12.92627,0.11525,0.38306,3.09516,208,10,8.39000,-25.95091,25.03436,118.37529,126.76529,77.93527,83.45903,,,,,,,,,,,,83.32610,0.25856,0.15472,0.78067,1.06906,1.65667,0.10296,
9c16_81-79cm_20um_rec_voi_1069.bmp,22.01219,218,151.88923,25.01577,16.46975,49.31283,323.28298,12.92317,0.11475,0.38224,2.95304,207,11,8.37325,-24.70665,25.07786,118.50021,126.87346,78.01752,83.53025,,,,,,,,,,,,79.68323,0.28753,0.15476,0.78491,1.06421,1.65453,0.08237,
9c16_81-79cm_20um_rec_voi_1068.bmp,21.99160,219,151.88923,24.83642,16.35166,49.31283,323.42601,13.02225,0.11341,0.37999,3.22178,212,7,8.32863,-26.83402,25.11267,118.72419,127.05282,78.16498,83.64834,,,,,,,,,,,,76.18942,0.29053,0.15358,0.78567,1.06468,1.64858,0.00000,
9c16_81-79cm_20um_rec_voi_1067.bmp,21.97101,223,151.88923,24.59203,16.19077,49.31283,322.40023,13.10995,0.11028,0.37471,3.19247,215,8,8.34421,-26.63931,25.33443,118.95299,127.29720,78.31562,83.80923,,,,,,,,,,,,74.17956,0.29317,0.15256,0.78968,1.06130,1.65619,0.00000,
9c16_81-79cm_20um_rec_voi_1066.bmp,21.95042,212,151.88923,24.44114,16.09142,49.31283,317.73593,13.00005,0.11529,0.38313,3.14463,203,9,8.19443,-25.76912,25.10889,119.25367,127.44809,78.51357,83.90858,,,,,,,,,,,,74.22452,0.28537,0.15385,0.80223,1.04595,1.64868,0.00000,
9c16_81-79cm_20um_rec_voi_1065.bmp,21.92982,200,151.88923,24.49324,16.12572,49.31283,313.40089,12.79540,0.12247,0.39488,2.95988,193,7,8.09781,-23.96914,24.84673,119.29819,127.39599,78.54289,83.87428,,,,,,,,,,,,75.69289,0.27072,0.15631,0.81299,1.03168,1.64627,0.00000,
9c16_81-79cm_20um_rec_voi_1064.bmp,21.90923,203,151.88923,24.65357,16.23128,49.31283,312.58880,12.67925,0.12145,0.39323,2.92060,196,7,8.07417,-23.58144,24.67073,119.16150,127.23567,78.45289,83.76872,,,,,,,,,,,,75.88720,0.27232,0.15774,0.81408,1.02900,1.64893,0.00000,
9c16_81-79cm_20um_rec_voi_1063.bmp,21.88864,203,151.88923,24.71653,16.27273,49.31283,315.48673,12.76420,0.12176,0.39373,2.88800,193,10,8.12632,-23.46910,24.74305,119.04638,127.17270,78.37710,83.72727,,,,,,,,,,,,80.13408,0.26524,0.15669,0.80620,1.03854,1.65143,0.00000,
