
<<<<< Begin of task (b01dba77-e574-4198-ae30-8273505084f0) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_83-81cm_20um\9c16_83-81cm_20um_Rec\VOI\9c16_83-81cm_20um_rec_voi_0065.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 641, 579
Total number of images, 831
Total Z-position range, 50, 880
Number of images inside VOI, 831
Z-position range of VOI, 50, 880
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:52:10 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:52:11 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:52:11 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2420 speckles removed
[ 01/27/21 17:52:13 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:52:13 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9907 speckles removed
[ 01/27/21 17:52:15 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:52:48 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:33
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_83-81cm_20um\9c16_83-81cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_83-81cm_20um_rec_voi_0880.bmp,18.12042,207,157.36484,26.25259,16.68263,50.21885,333.19883,12.69203,0.12682,0.40184,1.35683,192,15,8.53008,-11.55043,24.52394,122.58216,131.11224,77.89679,83.31737,,,,,,,,,,,,120.40052,0.23589,0.15758,0.78699,1.05868,1.66417,0.12355,
9c16_83-81cm_20um_rec_voi_0879.bmp,18.09983,199,157.36484,26.00286,16.52393,50.21885,326.76504,12.56651,0.13067,0.40789,1.70089,186,13,8.38375,-14.26056,24.38085,122.97823,131.36198,78.14848,83.47607,,,,,,,,,,,,132.90048,0.21810,0.15915,0.80401,1.03824,1.66455,0.00000,
9c16_83-81cm_20um_rec_voi_0878.bmp,18.07924,200,157.36484,25.83993,16.42040,50.21885,326.06907,12.61881,0.12920,0.40559,1.54034,187,13,8.37479,-12.90068,24.47715,123.15011,131.52490,78.25771,83.57960,,,,,,,,,,,,137.58474,0.19421,0.15849,0.80673,1.03603,1.66029,0.00000,
9c16_83-81cm_20um_rec_voi_0877.bmp,18.05864,212,157.36484,25.98939,16.51538,50.21885,330.00606,12.69772,0.12259,0.39508,1.65780,203,9,8.50056,-14.09291,24.64648,122.87488,131.37544,78.08281,83.48462,,,,,,,,,,,,148.76779,0.15979,0.15751,0.79620,1.04854,1.66101,0.00000,
9c16_83-81cm_20um_rec_voi_0876.bmp,18.03805,211,157.36484,26.15746,16.62218,50.21885,333.77968,12.76040,0.12397,0.39729,1.84329,200,11,8.59427,-15.84307,24.73047,122.61311,131.20738,77.91646,83.37782,,,,,,,,,,,,173.39901,0.12388,0.15673,0.78619,1.06053,1.66542,0.00000,
9c16_83-81cm_20um_rec_voi_0875.bmp,18.01746,210,157.36484,26.17299,16.63204,50.21885,333.40525,12.73852,0.12463,0.39836,1.60469,200,10,8.56888,-13.75138,24.66442,122.62297,131.19185,77.92273,83.36796,,,,,,,,,,,,24.82060,0.17012,0.15700,0.78698,1.05934,1.66194,0.00000,
9c16_83-81cm_20um_rec_voi_0874.bmp,17.99687,204,157.36484,26.37407,16.75983,50.21885,334.18530,12.67098,0.12928,0.40572,1.70857,194,10,8.58849,-14.67496,24.56482,122.40227,130.99076,77.78248,83.24017,,,,,,,,,,,,22.93079,0.24013,0.15784,0.78394,1.06182,1.66576,0.00000,
9c16_83-81cm_20um_rec_voi_0873.bmp,17.97628,208,157.36484,26.35727,16.74915,50.21885,335.02394,12.71087,0.12672,0.40167,1.71500,196,12,8.62193,-14.78766,24.64874,122.38563,131.00756,77.77191,83.25085,,,,,,,,,,,,21.99414,0.27796,0.15735,0.78208,1.06448,1.66672,0.00000,
