
<<<<< Begin of task (cfca760f-685b-46cd-8934-ba66cb6e90c1) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_85-83cm_20um\9c16_85-83cm_20um_Rec\VOI\9c16_85-83cm_20um_rec_voi_0115.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 961
Total Z-position range, 100, 1060
Number of images inside VOI, 961
Z-position range of VOI, 100, 1060
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 18:08:32 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 18:08:33 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 18:08:33 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1448 speckles removed
[ 01/27/21 18:08:36 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:08:36 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6870 speckles removed
[ 01/27/21 18:08:39 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:09:14 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:35
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_85-83cm_20um\9c16_85-83cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_85-83cm_20um_rec_voi_1060.bmp,21.82687,199,93.99345,25.18315,26.79245,36.26756,325.28388,12.91673,0.12655,0.40141,3.22810,190,9,8.87814,-28.63436,26.06519,59.93217,68.81031,63.76207,73.20755,,,,,,,,,,,,17.29703,0.18946,0.15484,0.42308,1.73035,1.68834,7.97487,
9c16_85-83cm_20um_rec_voi_1059.bmp,21.80628,196,93.99345,25.24537,26.85865,36.26756,324.07787,12.83712,0.12880,0.40497,2.53587,188,8,8.50544,-21.53386,25.20069,60.24265,68.74808,64.09239,73.14135,,,,,,,,,,,,37.87236,0.19456,0.15580,0.42427,1.72394,1.68529,8.66334,
9c16_85-83cm_20um_rec_voi_1058.bmp,21.78568,193,93.99345,25.18522,26.79465,36.26756,321.35481,12.75966,0.13049,0.40761,2.77254,185,8,9.27962,-25.69660,26.92489,59.52862,68.80824,63.33273,73.20535,,,,,,,,,,,,58.21541,0.20759,0.15674,0.42824,1.70945,1.68452,9.40902,
9c16_85-83cm_20um_rec_voi_1057.bmp,21.76509,199,93.99345,25.14456,26.75140,36.26756,319.74783,12.71638,0.12635,0.40110,2.66907,192,7,8.51095,-22.69576,25.28842,60.33794,68.84889,64.19377,73.24860,,,,,,,,,,,,66.92317,0.24877,0.15728,0.43064,1.70090,1.68579,9.59184,
9c16_85-83cm_20um_rec_voi_1056.bmp,21.74450,206,93.99345,25.14001,26.74655,36.26756,318.98363,12.68829,0.12204,0.39419,2.45741,197,9,8.73307,-21.43943,25.78175,60.12037,68.85345,63.96230,73.25345,,,,,,,,,,,,68.66248,0.28172,0.15763,0.43171,1.69684,1.68075,9.71789,
9c16_85-83cm_20um_rec_voi_1055.bmp,21.72391,204,93.99345,25.23095,26.84331,36.26756,317.94820,12.60151,0.12368,0.39683,2.99564,198,6,8.56003,-25.61560,25.33228,60.20247,68.76250,64.04964,73.15669,,,,,,,,,,,,69.83485,0.31473,0.15871,0.43254,1.69133,1.68153,9.80026,
9c16_85-83cm_20um_rec_voi_1054.bmp,21.70332,194,93.99345,25.15103,26.75828,36.26756,313.81772,12.47733,0.12964,0.40629,2.60898,187,7,8.63614,-22.49812,25.56040,60.20629,68.84243,64.05370,73.24172,,,,,,,,,,,,69.20075,0.32633,0.16029,0.43874,1.66936,1.67524,9.74098,
9c16_85-83cm_20um_rec_voi_1053.bmp,21.68273,189,93.99345,24.77319,26.35629,36.26756,308.19794,12.44079,0.13108,0.40852,2.38967,183,6,8.91423,-21.27884,26.46160,60.30604,69.22027,64.15982,73.64371,,,,,,,,,,,,66.92548,0.32467,0.16076,0.44919,1.63946,1.67035,9.70729,
