
<<<<< Begin of task (404056f1-d317-49b3-a053-6c9d6eef1705) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_87-85cm_20um\9c16_87-85cm_20um_Rec\VOI\9c16_87-85cm_20um_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 532, 532
Total number of images, 1011
Total Z-position range, 60, 1070
Number of images inside VOI, 1011
Z-position range of VOI, 60, 1070
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 18:13:25 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 18:13:26 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 18:13:26 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1751 speckles removed
[ 01/27/21 18:13:30 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:13:30 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7145 speckles removed
[ 01/27/21 18:13:32 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:14:18 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:46
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_87-85cm_20um\9c16_87-85cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_87-85cm_20um_rec_voi_1070.bmp,22.03278,156,93.99345,21.40669,22.77466,36.26756,253.50676,11.84241,0.13722,0.41799,-1.89963,145,11,6.52258,-20.46048,23.35391,66.06418,72.58676,70.28594,77.22534,,,,,,,,,,,,97.42381,0.22844,0.16888,0.57266,1.34853,1.60209,6.99836,
9c16_87-85cm_20um_rec_voi_1069.bmp,22.01219,160,93.99345,21.46017,22.83156,36.26756,256.53223,11.95388,0.13413,0.41325,3.12446,153,7,7.27232,-22.72210,25.31045,65.26096,72.53328,69.43139,77.16844,,,,,,,,,,,,89.43436,0.23504,0.16731,0.56549,1.36463,1.60791,7.35841,
9c16_87-85cm_20um_rec_voi_1068.bmp,21.99160,160,93.99345,21.39763,22.76502,36.26756,257.15390,12.01787,0.13374,0.41265,4.59842,150,10,9.38212,-43.11348,30.48147,63.21370,72.59582,67.25330,77.23498,,,,,,,,,,,,82.49522,0.24355,0.16642,0.56461,1.36794,1.60836,7.43225,
9c16_87-85cm_20um_rec_voi_1067.bmp,21.97101,159,93.99345,21.26460,22.62349,36.26756,255.54434,12.01736,0.13374,0.41265,3.14874,147,12,7.62791,-24.00033,26.40098,65.10095,72.72886,69.26115,77.37651,,,,,,,,,,,,78.26715,0.28335,0.16643,0.56921,1.35937,1.60754,7.82891,
9c16_87-85cm_20um_rec_voi_1066.bmp,21.95042,166,93.99345,21.23174,22.58853,36.26756,257.96171,12.14982,0.12790,0.40355,3.16265,155,11,6.63303,-20.96174,23.80436,66.12869,72.76172,70.35457,77.41147,,,,,,,,,,,,75.21855,0.29916,0.16461,0.56413,1.37223,1.61023,8.14071,
9c16_87-85cm_20um_rec_voi_1065.bmp,21.92982,161,93.99345,21.12340,22.47327,36.26756,257.41341,12.18617,0.13120,0.40872,3.21441,153,8,7.40021,-23.75909,25.94416,65.46984,72.87005,69.65361,77.52673,,,,,,,,,,,,76.66095,0.31010,0.16412,0.56617,1.36932,1.61057,7.68976,
9c16_87-85cm_20um_rec_voi_1064.bmp,21.90923,163,93.99345,21.03691,22.38125,36.26756,256.41675,12.18890,0.12906,0.40537,3.37460,154,9,7.93208,-26.73924,27.38127,65.02447,72.95655,69.17979,77.61875,,,,,,,,,,,,76.05144,0.30804,0.16408,0.56905,1.36401,1.61053,7.63755,
9c16_87-85cm_20um_rec_voi_1063.bmp,21.88864,169,93.99345,20.97956,22.32024,36.26756,259.06879,12.34863,0.12414,0.39757,-0.19834,161,8,6.70405,-21.30533,24.21668,66.30984,73.01389,70.54730,77.67976,,,,,,,,,,,,76.19855,0.30395,0.16196,0.56366,1.37812,1.61184,7.76963,
