
<<<<< Begin of task (b597afe9-7659-49e5-803a-6249321584fe) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_89-87cm_20um\9c16_89-87cm_20um_Rec\VOI\9c16_89-87cm_20um_rec_voi_0076.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 598, 538
Total number of images, 841
Total Z-position range, 60, 900
Number of images inside VOI, 841
Z-position range of VOI, 60, 900
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 18:18:45 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 18:18:45 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 18:18:45 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1826 speckles removed
[ 01/27/21 18:18:47 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:18:47 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6497 speckles removed
[ 01/27/21 18:18:49 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:19:14 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:25
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_89-87cm_20um\9c16_89-87cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_89-87cm_20um_rec_voi_0900.bmp,18.53225,99,136.41262,15.89320,11.65082,46.75950,184.00932,11.57787,0.16054,0.45211,3.23089,95,4,5.80262,-18.73444,26.74533,114.71681,120.51943,84.09545,88.34918,,,,,,,,,,,,99.53650,0.45406,0.17274,1.30993,0.67446,1.45595,0.16473,
9c16_89-87cm_20um_rec_voi_0899.bmp,18.51165,98,136.41262,15.89267,11.65044,46.75950,186.52197,11.73636,0.16217,0.45440,2.26286,96,2,7.78277,-17.59116,32.87277,112.73718,120.51996,82.64425,88.34956,,,,,,,,,,,,99.94595,0.42755,0.17041,1.29229,0.68367,1.46400,0.12355,
9c16_89-87cm_20um_rec_voi_0898.bmp,18.49106,101,136.41262,15.75661,11.55070,46.75950,188.26906,11.94857,0.15601,0.44568,3.79070,100,1,7.84929,-29.75507,33.25138,112.80672,120.65601,82.69522,88.44930,,,,,,,,,,,,98.58082,0.39653,0.16738,1.28174,0.69007,1.46440,0.00000,
9c16_89-87cm_20um_rec_voi_0897.bmp,18.47047,102,136.41262,15.65135,11.47354,46.75950,188.07435,12.01649,0.15344,0.44201,2.27894,100,2,7.54204,-17.18812,32.51806,113.21922,120.76127,82.99762,88.52646,,,,,,,,,,,,95.81077,0.37796,0.16644,1.28419,0.68936,1.35999,0.00000,
9c16_89-87cm_20um_rec_voi_0896.bmp,18.44988,100,136.41262,15.59894,11.43511,46.75950,186.17081,11.93484,0.15599,0.44566,3.03602,96,4,6.60139,-20.04194,29.73555,114.21230,120.81369,83.72561,88.56489,,,,,,,,,,,,91.84840,0.36737,0.16758,1.29788,0.68238,1.45987,0.00000,
9c16_89-87cm_20um_rec_voi_0895.bmp,18.42929,100,136.41262,15.55993,11.40652,46.75950,186.73909,12.00128,0.15560,0.44510,1.87258,95,5,5.49548,-10.29111,26.10008,115.35722,120.85269,84.56491,88.59348,,,,,,,,,,,,88.76606,0.36938,0.16665,1.29435,0.68446,1.45752,0.00000,
9c16_89-87cm_20um_rec_voi_0894.bmp,18.40870,107,136.41262,15.56093,11.40725,46.75950,185.55100,11.92415,0.14543,0.43031,2.72030,103,4,9.16614,-24.93497,37.06925,111.68555,120.85169,81.87332,88.59275,,,,,,,,,,,,88.61619,0.36148,0.16773,1.30263,0.68011,1.46112,0.00000,
9c16_89-87cm_20um_rec_voi_0893.bmp,18.38811,103,136.41262,15.62125,11.45147,46.75950,186.36809,11.93042,0.15166,0.43943,1.91171,100,3,7.51183,-14.36064,32.47225,113.27954,120.79137,83.04183,88.54853,,,,,,,,,,,,88.69663,0.37354,0.16764,1.29627,0.68310,1.46546,0.00000,
