
<<<<< Begin of task (ed2fc09a-91cd-45d0-bf2e-c4fe4578f79c) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_9-7cm_20um\9c16_9-7cm_20um_Rec\VOI\9c16_9-7cm_20um_rec_voi_0016.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 535, 535
Total number of images, 1005
Total Z-position range, 15, 1019
Number of images inside VOI, 1005
Z-position range of VOI, 15, 1019
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 12/24/20 14:59:07 ] Thresholding
Mode, Global
Lower grey threshold, 75
Upper grey threshold, 200
[ 12/24/20 14:59:08 ]	Thresholding done

-----------------------------------------------------------------
[ 12/24/20 14:59:08 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
4798 speckles removed
[ 12/24/20 14:59:10 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 14:59:10 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
0 speckles removed
[ 12/24/20 14:59:13 ]	Despeckle done

-----------------------------------------------------------------
[ 12/24/20 14:59:49 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:36
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\20-3cm_NEW\9c16_9-7cm_20um\9c16_9-7cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,75
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_9-7cm_20um_rec_voi_1019.bmp,20.98262,2,95.03969,0.31307,0.32941,36.46641,3.44073,10.99011,0.15654,0.44644,0.00000,2,0,0.00000,0.00000,0.00000,94.72661,94.72661,99.67059,99.67059,,,,,,,,,,,,142.97595,0.99836,0.18198,55.06198,0.01810,0.77626,0.68951,
9c16_9-7cm_20um_rec_voi_1018.bmp,20.96203,2,95.03969,0.34837,0.36656,36.46641,3.62252,10.39838,0.17419,0.47094,0.00000,2,0,0.00000,0.00000,0.00000,94.69131,94.69131,99.63344,99.63344,,,,,,,,,,,,143.10417,0.99830,0.19234,52.27930,0.01906,0.78942,0.79496,
9c16_9-7cm_20um_rec_voi_1017.bmp,20.94144,2,95.03969,0.38955,0.40989,36.46641,3.81637,9.79674,0.19478,0.49799,0.00000,2,0,0.00000,0.00000,0.00000,94.65013,94.65013,99.59011,99.59011,,,,,,,,,,,,143.19269,0.99822,0.20415,49.60220,0.02008,0.79999,0.85071,
9c16_9-7cm_20um_rec_voi_1016.bmp,20.92085,3,95.03969,0.43492,0.45762,36.46641,4.39585,10.10719,0.14497,0.42964,0.00000,3,0,0.00000,0.00000,0.00000,94.60476,94.60476,99.54238,99.54238,,,,,,,,,,,,143.27967,0.99806,0.19788,43.04273,0.02313,0.75209,1.00587,
9c16_9-7cm_20um_rec_voi_1015.bmp,20.90026,3,95.03969,0.48776,0.51322,36.46641,4.98034,10.21052,0.16259,0.45499,0.00000,3,0,0.00000,0.00000,0.00000,94.55192,94.55192,99.48678,99.48678,,,,,,,,,,,,143.31068,0.99783,0.19588,37.97010,0.02620,0.79305,1.03499,
9c16_9-7cm_20um_rec_voi_1014.bmp,20.87966,4,95.03969,0.53727,0.56531,36.46641,5.30980,9.88297,0.13432,0.41354,0.00000,4,0,0.00000,0.00000,0.00000,94.50242,94.50242,99.43469,99.43469,,,,,,,,,,,,143.29069,0.99746,0.20237,35.59549,0.02793,0.81206,1.08471,
9c16_9-7cm_20um_rec_voi_1013.bmp,20.85907,6,95.03969,0.61338,0.64539,36.46641,6.43465,10.49054,0.10223,0.36078,0.00000,6,0,0.00000,0.00000,0.00000,94.42631,94.42631,99.35461,99.35461,,,,,,,,,,,,143.28382,0.99665,0.19065,29.34932,0.03385,0.83223,1.14898,
9c16_9-7cm_20um_rec_voi_1012.bmp,20.83848,7,95.03969,0.70602,0.74287,36.46641,7.99425,11.32295,0.10086,0.35836,-0.00000,7,0,0.00000,0.00000,0.00000,94.33367,94.33367,99.25713,99.25713,,,,,,,,,,,,143.29122,0.99571,0.17663,23.60039,0.04206,0.89608,1.19869,
