
<<<<< Begin of task (3f66b01f-fb6b-4853-91fc-59cfe911bb49) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_91-89cm_20um_redo\9c16_91-89cm_20um_redo_Rec\VOI\9c16_91-89cm_20um_redo_rec_voi_0135.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 554, 536
Total number of images, 961
Total Z-position range, 120, 1080
Number of images inside VOI, 961
Z-position range of VOI, 120, 1080
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 18:26:14 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 18:26:15 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 18:26:15 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
2217 speckles removed
[ 01/27/21 18:26:17 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:26:17 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
7204 speckles removed
[ 01/27/21 18:26:19 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:26:43 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:24
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_91-89cm_20um_redo\9c16_91-89cm_20um_redo_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_91-89cm_20um_redo_rec_voi_1080.bmp,22.23870,172,125.90578,23.63495,18.77193,44.86509,291.90976,12.35077,0.13741,0.41828,1.46612,154,18,7.49901,-10.99557,24.08627,94.77182,102.27083,75.27202,81.22807,,,,,,,,,,,,139.35287,0.24816,0.16193,0.70070,1.15924,1.62889,0.00000,
9c16_91-89cm_20um_redo_rec_voi_1079.bmp,22.21810,162,125.90578,23.61873,18.75905,44.86509,287.50805,12.17288,0.14579,0.43085,1.85297,146,16,7.39566,-13.70414,23.84589,94.89139,102.28705,75.36699,81.24095,,,,,,,,,,,,139.60463,0.24848,0.16430,0.71154,1.14176,1.62725,0.00000,
9c16_91-89cm_20um_redo_rec_voi_1078.bmp,22.19751,166,125.90578,23.49688,18.66227,44.86509,285.08447,12.13287,0.14155,0.42453,1.84978,149,17,7.30137,-13.50615,23.70709,95.10753,102.40890,75.53865,81.33773,,,,,,,,,,,,137.32069,0.26171,0.16484,0.71845,1.13213,1.62423,0.00000,
9c16_91-89cm_20um_redo_rec_voi_1077.bmp,22.17692,169,125.90578,23.25069,18.46674,44.86509,279.02218,12.00060,0.13758,0.41853,2.05050,156,13,7.18572,-14.73456,23.60896,95.46936,102.65508,75.82604,81.53326,,,,,,,,,,,,130.31009,0.28337,0.16666,0.73582,1.10806,1.61737,0.00000,
9c16_91-89cm_20um_redo_rec_voi_1076.bmp,22.15633,172,125.90578,22.98558,18.25618,44.86509,275.42243,11.98240,0.13364,0.41249,2.40656,162,10,7.07389,-17.02424,23.53298,95.84630,102.92019,76.12542,81.74382,,,,,,,,,,,,122.72401,0.30734,0.16691,0.74736,1.09376,1.61261,0.00000,
9c16_91-89cm_20um_redo_rec_voi_1075.bmp,22.13574,175,125.90578,22.70998,18.03728,44.86509,273.50340,12.04331,0.12977,0.40648,2.27368,160,15,7.02947,-15.98347,23.63687,96.16632,103.19580,76.37960,81.96272,,,,,,,,,,,,120.94758,0.32235,0.16607,0.75462,1.08614,1.61336,0.00000,
9c16_91-89cm_20um_redo_rec_voi_1074.bmp,22.11515,173,125.90578,22.68581,18.01809,44.86509,274.52176,12.10103,0.13113,0.40861,2.17782,158,15,7.07574,-15.41019,23.77478,96.14422,103.21996,76.36204,81.98191,,,,,,,,,,,,121.65723,0.31759,0.16528,0.75200,1.09019,1.61322,0.00000,
9c16_91-89cm_20um_redo_rec_voi_1073.bmp,22.09456,174,125.90578,22.58670,17.93937,44.86509,273.08208,12.09039,0.12981,0.40654,2.03957,154,20,7.05163,-14.38269,23.79226,96.26745,103.31908,76.45991,82.06063,,,,,,,,,,,,121.94627,0.33272,0.16542,0.75669,1.08447,1.55985,0.00000,
