
<<<<< Begin of task (bb148aa3-c070-46fe-a05a-73f21f8542c4) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_94-92cm_20um\9c16_94-92cm_20um_Rec\VOI\9c16_94-92cm_20um_rec_voi_0062.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 563, 532
Total number of images, 781
Total Z-position range, 60, 840
Number of images inside VOI, 781
Z-position range of VOI, 60, 840
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 18:37:40 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 18:37:40 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 18:37:40 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
1361 speckles removed
[ 01/27/21 18:37:42 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:37:42 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
5033 speckles removed
[ 01/27/21 18:37:44 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 18:38:05 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:21
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\95-78cm\9c16_94-92cm_20um\9c16_94-92cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_94-92cm_20um_rec_voi_0840.bmp,17.29676,203,126.99632,25.00300,19.68797,45.07101,326.04793,13.04035,0.12317,0.39601,1.83716,191,12,8.40622,-15.42953,25.16138,93.58710,101.99332,73.69277,80.31203,,,,,,,,,,,,58.50286,0.11699,0.15337,0.62563,1.28369,1.67344,0.37064,
9c16_94-92cm_20um_rec_voi_0839.bmp,17.27617,205,126.99632,25.12161,19.78137,45.07101,327.08457,13.02005,0.12254,0.39500,2.02591,199,6,8.42832,-17.06235,25.12172,93.44638,101.87470,73.58196,80.21863,,,,,,,,,,,,84.58891,0.11021,0.15361,0.62293,1.28777,1.66928,0.30887,
9c16_94-92cm_20um_rec_voi_0838.bmp,17.25558,198,126.99632,25.25046,19.88283,45.07101,326.52007,12.93125,0.12753,0.40296,1.92386,182,16,8.40956,-16.14805,24.98382,93.33630,101.74586,73.49528,80.11717,,,,,,,,,,,,106.02006,0.16790,0.15466,0.62321,1.28555,1.67657,0.24710,
9c16_94-92cm_20um_rec_voi_0837.bmp,17.23499,209,126.99632,25.07439,19.74419,45.07101,324.09322,12.92527,0.11997,0.39084,2.18111,197,12,8.37490,-18.26129,25.03759,93.54703,101.92193,73.66122,80.25581,,,,,,,,,,,,107.02511,0.20970,0.15474,0.62897,1.27599,1.67657,0.18532,
9c16_94-92cm_20um_rec_voi_0836.bmp,17.21440,195,126.99632,25.03491,19.71310,45.07101,323.54335,12.92369,0.12838,0.40431,1.89984,189,6,8.34458,-15.84635,24.99913,93.61683,101.96141,73.71618,80.28690,,,,,,,,,,,,101.54926,0.24808,0.15475,0.63028,1.27383,1.67313,0.18532,
9c16_94-92cm_20um_rec_voi_0835.bmp,17.19381,201,126.99632,25.01890,19.70049,45.07101,325.24598,13.00001,0.12447,0.39810,2.10337,196,5,8.31532,-17.48589,24.94530,93.66209,101.97742,73.75182,80.29951,,,,,,,,,,,,95.77665,0.27626,0.15385,0.62708,1.28053,1.67186,0.18532,
9c16_94-92cm_20um_rec_voi_0834.bmp,17.17321,205,126.99632,25.10911,19.77152,45.07101,329.88065,13.13789,0.12248,0.39491,2.24106,201,4,8.45339,-18.93935,25.18701,93.43382,101.88721,73.57207,80.22848,,,,,,,,,,,,98.25543,0.28682,0.15223,0.61772,1.29878,1.67566,0.18532,
9c16_94-92cm_20um_rec_voi_0833.bmp,17.15262,197,126.99632,24.89551,19.60334,45.07101,328.44168,13.19281,0.12637,0.40113,2.13270,189,8,8.39472,-17.89358,25.21676,93.70609,102.10080,73.78646,80.39666,,,,,,,,,,,,102.37292,0.29260,0.15160,0.62173,1.29311,1.67371,0.08237,
