
<<<<< Begin of task (25c80809-8e52-416a-9ff9-635fe0c62828) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_97-95cm_20um\9c16_97-95cm_20um_Rec\VOI\9c16_97-95cm_20um_rec_voi_0075.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 636, 621
Total number of images, 951
Total Z-position range, 60, 1010
Number of images inside VOI, 951
Z-position range of VOI, 60, 1010
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 16:43:21 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 16:43:22 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 16:43:22 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6399 speckles removed
[ 01/27/21 16:43:25 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 16:43:25 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
9131 speckles removed
[ 01/27/21 16:43:28 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 16:44:06 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:38
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_97-95cm_20um\9c16_97-95cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_97-95cm_20um_rec_voi_1010.bmp,20.79730,195,167.46337,28.36859,16.94018,51.74262,377.29919,13.29989,0.14548,0.43038,0.60386,158,37,9.62497,-5.77041,25.33316,129.46980,139.09477,77.31231,83.05982,,,,,,,,,,,,135.02190,0.24451,0.15038,0.73732,1.12651,1.63153,0.22651,
9c16_97-95cm_20um_rec_voi_1009.bmp,20.77671,193,167.46337,28.27706,16.88552,51.74262,377.86954,13.36311,0.14651,0.43191,0.67883,160,33,9.63207,-6.52341,25.40831,129.55423,139.18631,77.36273,83.11448,,,,,,,,,,,,135.07737,0.26269,0.14967,0.73669,1.12822,1.68718,0.06177,
9c16_97-95cm_20um_rec_voi_1008.bmp,20.75612,190,167.46337,28.14853,16.80877,51.74262,375.17717,13.32848,0.14815,0.43432,0.65685,156,34,9.53227,-6.24548,25.29742,129.78256,139.31483,77.49908,83.19123,,,,,,,,,,,,135.25705,0.26156,0.15005,0.74266,1.12018,1.69774,0.02059,
9c16_97-95cm_20um_rec_voi_1007.bmp,20.73552,199,167.46337,28.17514,16.82466,51.74262,375.21956,13.31740,0.14158,0.42458,0.65890,163,36,9.63806,-6.35075,25.48861,129.65017,139.28823,77.42002,83.17534,,,,,,,,,,,,128.10334,0.25161,0.15018,0.74244,1.12030,1.63185,0.00000,
9c16_97-95cm_20um_rec_voi_1006.bmp,20.71493,201,167.46337,28.06909,16.76133,51.74262,373.78195,13.31650,0.13965,0.42167,1.16793,170,31,9.53720,-11.13931,25.36065,129.85708,139.39428,77.54357,83.23867,,,,,,,,,,,,125.27502,0.23538,0.15019,0.74586,1.11601,1.68721,0.00000,
9c16_97-95cm_20um_rec_voi_1005.bmp,20.69434,202,167.46337,28.05504,16.75294,51.74262,372.86851,13.29061,0.13889,0.42052,0.94173,177,25,9.55252,-8.99644,25.40053,129.85581,139.40832,77.54281,83.24706,,,,,,,,,,,,121.38153,0.22448,0.15048,0.74776,1.11328,1.68828,0.00000,
9c16_97-95cm_20um_rec_voi_1004.bmp,20.67375,208,167.46337,27.92848,16.67736,51.74262,370.99066,13.28360,0.13427,0.41347,0.95380,175,33,9.50370,-9.06503,25.38913,130.03119,139.53489,77.64754,83.32264,,,,,,,,,,,,116.83628,0.22240,0.15056,0.75223,1.10768,1.68453,0.00000,
9c16_97-95cm_20um_rec_voi_1003.bmp,20.65316,192,167.46337,27.79221,16.59599,51.74262,364.35665,13.11003,0.14475,0.42931,0.86394,156,36,9.26430,-8.00392,25.00046,130.40686,139.67116,77.87187,83.40401,,,,,,,,,,,,110.70860,0.20989,0.15255,0.76667,1.08787,1.68193,0.00000,
