
<<<<< Begin of task (a59ab56b-5370-46b9-b68d-588749c374fd) >>>>>

CT Analyser, Version: 1.17.7.2
Dataset name, D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_98-96cm_20um\9c16_98-96cm_20um_Rec\VOI\9c16_98-96cm_20um_rec_voi_0065.bmp
File postfix length, 4
File type, BMP
Image size (W/H), 654, 613
Total number of images, 781
Total Z-position range, 50, 830
Number of images inside VOI, 781
Z-position range of VOI, 50, 830
Z spacing, 1
Pixel size (um), 20.591385

-----------------------------------------------------------------
[ 01/27/21 17:01:54 ] Thresholding
Mode, Global
Lower grey threshold, 74
Upper grey threshold, 200
[ 01/27/21 17:01:54 ]	Thresholding done

-----------------------------------------------------------------
[ 01/27/21 17:01:54 ]	Despeckle
Type: Remove black speckles (2D space)
Area: less than 2 pixels
Apply to: Image
6840 speckles removed
[ 01/27/21 17:01:57 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:01:57 ]	Despeckle
Type: Remove white speckles (2D space)
Area: less than 2 pixels
Apply to: Image
12392 speckles removed
[ 01/27/21 17:01:59 ]	Despeckle done

-----------------------------------------------------------------
[ 01/27/21 17:02:31 ]	2D analysis
Operator identity,Army Corp
Computer name,CRREL-PC
Computation time,00:00:32
Dataset folder,D:\Courville_SnowEx2020\5Feb2020\9c16_5Feb2020\110-93cm\9c16_98-96cm_20um\9c16_98-96cm_20um_Rec\VOI\
Pixel size,20.59138,um
Lower grey threshold,74
Upper grey threshold,200

File name,Z position,Number of objects,Total ROI area,Object area,Percent object area,Total ROI perimeter,Object perimeter,Object perimeter / area ratio,Average object area,Average object area-equivalent circle diameter,Surface convexity index,Euler number,Number of closed pores,Area of closed pores,Perimeter of closed pores,Closed porosity (percent),Area of open pore space,Total area of pore space,Open porosity (percent),Total porosity (percent),Centroid (x),Centroid (y),Moment of inertia (x),Moment of inertia (y),Polar moment of inertia,Radius of gyration (x),Radius of gyration (y),Polar radius of gyration,Product of inertia (xy),Principal moment of inertia (max),Principal moment of inertia (min),Total orientation (phi),Eccentricity,Structure thickness (plate model),Structure separation (plate model),Structure linear density (plate model),Fractal dimension,Intersection perimeter,
,Pos.Z,Obj.N,T.Ar,Obj.Ar,Obj.Ar/T.Ar,T.Pm,Obj.Pm,Obj.Pm/Obj.Ar,Av.Obj.Ar,Av.Obj.ECDa,SCv.I,Eu.N,Po.N(cl),Po.Ar(cl),Po.Pm(cl),Po(cl),Po.Ar(op),Po.Ar(tot),Po(op),Po(tot),Crd.X,Crd.Y,MMI(x),MMI(y),MMI(polar),Gr.R(x),Gr.R(y),Gr.R(polar),Pr.In(xy),MMI(max),MMI(min),T.Or(phi),Ecc,St.Th(pl),St.Sp(pl),St.Li.Dn(pl),FD,i.Pm,
,mm,,mm^2,mm^2,%,mm,mm,1/mm,mm^2,mm,1/mm,,,mm^2,mm,%,mm^2,mm^2,%,%,mm,mm,mm^4,mm^4,mm^4,mm,mm,mm,mm^4,mm^4,mm^4,°,,mm,mm,1/mm,,mm,
9c16_98-96cm_20um_rec_voi_0830.bmp,17.09085,192,169.98450,28.03633,16.49346,52.15444,359.58773,12.82578,0.14602,0.43119,0.80736,156,36,9.17648,-7.38118,24.65946,132.77169,141.94817,78.10812,83.50654,,,,,,,,,,,,141.42198,0.30412,0.15594,0.78951,1.05771,1.68268,0.02059,
9c16_98-96cm_20um_rec_voi_0829.bmp,17.07026,188,169.98450,28.21680,16.59963,52.15444,360.17050,12.76440,0.15009,0.43715,0.40531,148,40,9.15369,-3.71006,24.49443,132.61401,141.76770,78.01536,83.40037,,,,,,,,,,,,140.78171,0.33860,0.15669,0.78723,1.05942,1.68581,0.00000,
9c16_98-96cm_20um_rec_voi_0828.bmp,17.04967,173,169.98450,28.44640,16.73470,52.15444,361.37065,12.70356,0.16443,0.45756,0.11053,139,34,9.25227,-1.02269,24.54270,132.28583,141.53810,77.82229,83.26530,,,,,,,,,,,,139.36576,0.36341,0.15744,0.78334,1.06295,1.68581,0.00000,
9c16_98-96cm_20um_rec_voi_0827.bmp,17.02908,180,169.98450,28.59798,16.82387,52.15444,364.49448,12.74546,0.15888,0.44977,0.27324,147,33,9.30432,-2.54231,24.54816,132.08221,141.38652,77.70250,83.17613,,,,,,,,,,,,139.34892,0.38057,0.15692,0.77580,1.07214,1.68437,0.00000,
9c16_98-96cm_20um_rec_voi_0826.bmp,17.00848,173,169.98450,28.64510,16.85159,52.15444,368.46302,12.86304,0.16558,0.45915,0.25647,139,34,9.37910,-2.40549,24.66613,131.96030,141.33940,77.63079,83.14841,,,,,,,,,,,,139.55095,0.38353,0.15548,0.76718,1.08381,1.68544,0.00000,
9c16_98-96cm_20um_rec_voi_0825.bmp,16.98789,179,169.98450,28.60402,16.82743,52.15444,369.66624,12.92358,0.15980,0.45107,0.25563,141,38,9.44037,-2.41326,24.81409,131.94011,141.38048,77.61891,83.17257,,,,,,,,,,,,140.03418,0.37943,0.15476,0.76491,1.08735,1.68491,0.00000,
9c16_98-96cm_20um_rec_voi_0824.bmp,16.96730,189,169.98450,28.67223,16.86756,52.15444,375.80919,13.10708,0.15170,0.43950,-0.03585,148,41,9.64108,0.34563,25.16379,131.67119,141.31227,77.46070,83.13244,,,,,,,,,,,,139.69722,0.36324,0.15259,0.75204,1.10542,1.68264,0.00000,
9c16_98-96cm_20um_rec_voi_0823.bmp,16.94671,199,169.98450,28.64202,16.84978,52.15444,382.51178,13.35491,0.14393,0.42809,-0.28514,141,58,9.81980,2.80004,25.53129,131.52268,141.34248,77.37334,83.15022,,,,,,,,,,,,140.33534,0.33100,0.14976,0.73902,1.12514,1.68930,0.00000,
